Metric,Band,Region,MeanDwellAbove_s_MODULATION,MeanDwellBelow_s_MODULATION,FracAbove_MODULATION,ACF_tau_1overE_s_MODULATION,ACF_tau_1overE_censored_MODULATION,ACF_half_life_s_MODULATION,ACF_half_life_censored_MODULATION,ACF_search_horizon_s_MODULATION,MeanDwellAbove_s_BASELINE_EC,MeanDwellBelow_s_BASELINE_EC,FracAbove_BASELINE_EC,ACF_tau_1overE_s_BASELINE_EC,ACF_tau_1overE_censored_BASELINE_EC,ACF_half_life_s_BASELINE_EC,ACF_half_life_censored_BASELINE_EC,ACF_search_horizon_s_BASELINE_EC,Delta_MeanDwellAbove_s,Delta_MeanDwellBelow_s,Delta_FracAbove,Delta_ACF_tau_1overE_s,Delta_ACF_tau_1overE_s_status,Delta_ACF_tau_1overE_s_bound_s,Delta_ACF_tau_1overE_s_plot,Delta_ACF_tau_1overE_s_label,Delta_ACF_half_life_s,Delta_ACF_half_life_s_status,Delta_ACF_half_life_s_bound_s,Delta_ACF_half_life_s_plot,Delta_ACF_half_life_s_label
Entropy,Theta,Frontal,8.125,218.125,0.03591160220994475,9.381057605936116,False,7.5640714321372515,False,120.0,16.454545454545453,16.454545454545453,0.5,6.080827891663624,False,4.653648761293902,False,120.0,-8.329545454545453,201.67045454545456,-0.46408839779005523,3.3002297142724917,exact,,3.3002297142724917,3.30,2.9104226708433494,exact,,2.9104226708433494,2.91
Entropy,Theta,Temporal,6.428571428571429,220.625,0.024861878453038673,5.767114627591978,False,4.560152204619808,False,120.0,16.454545454545453,16.454545454545453,0.5,6.487872337916414,False,5.0516932680833415,False,120.0,-10.025974025974024,204.17045454545456,-0.47513812154696133,-0.7207577103244365,exact,,-0.7207577103244365,-0.72,-0.49154106346353377,exact,,-0.49154106346353377,-0.49
Entropy,Theta,Central,25.0,27.5,0.48342541436464087,74.53049712370958,False,13.803726667076395,False,120.0,15.083333333333334,14.836065573770492,0.5,6.740623737879918,False,5.28827394493883,False,120.0,9.916666666666666,12.663934426229508,-0.01657458563535913,67.78987338582967,exact,,67.78987338582967,67.79,8.515452722137566,exact,,8.515452722137566,8.52
Entropy,Theta,Parietal,8.076923076923077,131.15384615384616,0.058011049723756904,27.806621597620126,False,9.847483228217476,False,120.0,22.073170731707318,22.073170731707318,0.5,9.876020878554243,False,7.799138116530676,False,120.0,-13.996247654784241,109.08067542213884,-0.4419889502762431,17.930600719065882,exact,,17.930600719065882,17.93,2.0483451116867997,exact,,2.0483451116867997,2.05
Entropy,Theta,Occipital,13.947368421052632,17.80701754385965,0.43922651933701656,6.479491263296078,False,5.165220987816433,False,120.0,22.625,22.625,0.5,8.420614245568244,False,6.8387509521159675,False,120.0,-8.677631578947368,-4.817982456140349,-0.06077348066298344,-1.9411229822721658,exact,,-1.9411229822721658,-1.94,-1.6735299642995347,exact,,-1.6735299642995347,-1.67
Entropy,Alpha,Frontal,9.615384615384615,120.35714285714286,0.06906077348066299,,True,81.89772679859755,False,120.0,15.60344827586207,15.60344827586207,0.5,6.834990597834373,False,5.412950481815106,False,120.0,-5.988063660477454,104.7536945812808,-0.430939226519337,,lower_bound,113.16500940216562,113.16500940216562,>+113.17,76.48477631678244,exact,,76.48477631678244,76.48
Entropy,Alpha,Temporal,5.0,297.5,0.013812154696132596,9.059545508716557,False,7.279762113413786,False,120.0,16.160714285714285,16.160714285714285,0.5,8.02144697526966,False,6.426428379569845,False,120.0,-11.160714285714285,281.3392857142857,-0.4861878453038674,1.038098533446897,exact,,1.038098533446897,1.04,0.8533337338439404,exact,,0.8533337338439404,0.85
Entropy,Alpha,Central,35.5,24.833333333333332,0.5883977900552486,,True,58.446201334563376,False,120.0,19.67391304347826,19.67391304347826,0.5,8.186781874339067,False,6.47355392187425,False,120.0,15.826086956521738,5.1594202898550705,0.08839779005524862,,lower_bound,111.81321812566094,111.81321812566094,>+111.81,51.97264741268913,exact,,51.97264741268913,51.97
Entropy,Alpha,Parietal,20.555555555555557,29.72222222222222,0.4088397790055249,,True,13.352500522408864,False,120.0,16.160714285714285,16.160714285714285,0.5,6.483172110798828,False,5.159076052424812,False,120.0,4.394841269841272,13.561507936507937,-0.09116022099447513,,lower_bound,113.51682788920117,113.51682788920117,>+113.52,8.193424469984052,exact,,8.193424469984052,8.19
Entropy,Alpha,Occipital,10.0,91.11111111111111,0.09392265193370165,13.86887504004137,False,8.871530996444392,False,120.0,23.81578947368421,23.81578947368421,0.5,49.207332829055105,False,10.448068003630212,False,120.0,-13.815789473684209,67.29532163742691,-0.40607734806629836,-35.33845778901373,exact,,-35.33845778901373,-35.34,-1.57653700718582,exact,,-1.57653700718582,-1.58
