t_mid_s,Session,Band,Region,Value
1050.0,MODULATION,Theta,Frontal,5.244482775402627
1060.0,MODULATION,Theta,Frontal,5.17938957304376
1070.0,MODULATION,Theta,Frontal,5.157051633053801
1080.0,MODULATION,Theta,Frontal,5.112021452873906
1090.0,MODULATION,Theta,Frontal,5.054120093118451
1100.0,MODULATION,Theta,Frontal,5.072231197153946
1110.0,MODULATION,Theta,Frontal,5.153394744476514
1120.0,MODULATION,Theta,Frontal,4.963521454615674
1130.0,MODULATION,Theta,Frontal,4.933079940003226
1140.0,MODULATION,Theta,Frontal,4.954642711597874
1150.0,MODULATION,Theta,Frontal,4.872269695355226
1160.0,MODULATION,Theta,Frontal,4.701272006312956
1170.0,MODULATION,Theta,Frontal,4.5516270017540705
1180.0,MODULATION,Theta,Frontal,4.465647148601064
1190.0,MODULATION,Theta,Frontal,5.3757002143632695
1200.0,MODULATION,Theta,Frontal,5.4517363362644495
1210.0,MODULATION,Theta,Frontal,5.444265394511694
1220.0,MODULATION,Theta,Frontal,5.587293475055214
1230.0,MODULATION,Theta,Frontal,5.531951349429577
1240.0,MODULATION,Theta,Frontal,5.509804305625866
1250.0,MODULATION,Theta,Frontal,5.5514748215521
1260.0,MODULATION,Theta,Frontal,5.228713908739512
1270.0,MODULATION,Theta,Frontal,5.157477257574486
1280.0,MODULATION,Theta,Frontal,5.175243904909584
1290.0,MODULATION,Theta,Frontal,5.127321199845236
1300.0,MODULATION,Theta,Frontal,5.168579934019342
1310.0,MODULATION,Theta,Frontal,5.228712368625734
1320.0,MODULATION,Theta,Frontal,5.302662708474329
1330.0,MODULATION,Theta,Frontal,5.293858004187297
1340.0,MODULATION,Theta,Frontal,5.2730954385628195
1350.0,MODULATION,Theta,Frontal,5.480739773814706
1360.0,MODULATION,Theta,Frontal,5.501763488285681
1370.0,MODULATION,Theta,Frontal,4.837508197215438
1380.0,MODULATION,Theta,Frontal,4.841307607346102
1390.0,MODULATION,Theta,Frontal,5.017801291173943
1400.0,MODULATION,Theta,Frontal,4.978641489634078
1410.0,MODULATION,Theta,Frontal,4.686291604481519
1420.0,MODULATION,Theta,Frontal,4.688087920102186
1430.0,MODULATION,Theta,Frontal,4.633100599218125
1440.0,MODULATION,Theta,Frontal,4.639254017297099
1450.0,MODULATION,Theta,Frontal,4.53172482611876
1460.0,MODULATION,Theta,Frontal,4.6910219952306695
1470.0,MODULATION,Theta,Frontal,4.564973861068776
1480.0,MODULATION,Theta,Frontal,4.709648474036748
1490.0,MODULATION,Theta,Frontal,4.813008929034529
1500.0,MODULATION,Theta,Frontal,4.769161493503884
1510.0,MODULATION,Theta,Frontal,4.712225657600002
1520.0,MODULATION,Theta,Frontal,4.7997571960092635
1530.0,MODULATION,Theta,Frontal,4.78112478611502
1540.0,MODULATION,Theta,Frontal,5.545583989028222
1550.0,MODULATION,Theta,Frontal,5.403718163946729
1560.0,MODULATION,Theta,Frontal,5.494251457222155
1570.0,MODULATION,Theta,Frontal,5.422603956041437
1580.0,MODULATION,Theta,Frontal,5.330839482136807
1590.0,MODULATION,Theta,Frontal,5.32485596283264
1600.0,MODULATION,Theta,Frontal,5.263341239248495
1610.0,MODULATION,Theta,Frontal,5.360034005347715
1620.0,MODULATION,Theta,Frontal,5.29001089987619
1630.0,MODULATION,Theta,Frontal,5.54822212785378
1640.0,MODULATION,Theta,Frontal,5.47655418717236
1650.0,MODULATION,Theta,Frontal,5.243224806407612
1660.0,MODULATION,Theta,Frontal,5.3585983530735515
1670.0,MODULATION,Theta,Frontal,5.162491014255596
1680.0,MODULATION,Theta,Frontal,5.254812066707469
1690.0,MODULATION,Theta,Frontal,5.191283816836885
1700.0,MODULATION,Theta,Frontal,5.153646662359325
1710.0,MODULATION,Theta,Frontal,4.931837333591418
1720.0,MODULATION,Theta,Frontal,4.863198060483154
1730.0,MODULATION,Theta,Frontal,4.788576178356513
1740.0,MODULATION,Theta,Frontal,4.7691731430223445
1750.0,MODULATION,Theta,Frontal,4.830662258351265
1760.0,MODULATION,Theta,Frontal,4.793694029377357
1770.0,MODULATION,Theta,Frontal,4.924337783584887
1780.0,MODULATION,Theta,Frontal,4.902147145141101
30.0,MODULATION,Theta,Central,4.770242121487667
40.0,MODULATION,Theta,Central,4.783675094288063
50.0,MODULATION,Theta,Central,4.773272049171518
60.0,MODULATION,Theta,Central,4.84068806263005
70.0,MODULATION,Theta,Central,4.625137399190028
80.0,MODULATION,Theta,Central,4.504198192339848
90.0,MODULATION,Theta,Central,5.415116664066653
100.0,MODULATION,Theta,Central,5.177469421999876
110.0,MODULATION,Theta,Central,5.022375914687371
120.0,MODULATION,Theta,Central,5.054429736751304
130.0,MODULATION,Theta,Central,5.241062447635369
140.0,MODULATION,Theta,Central,5.35547046997006
150.0,MODULATION,Theta,Central,4.699592671878482
160.0,MODULATION,Theta,Central,4.794309748906162
170.0,MODULATION,Theta,Central,4.871333688869301
180.0,MODULATION,Theta,Central,4.866473925842385
190.0,MODULATION,Theta,Central,4.850651190501064
200.0,MODULATION,Theta,Central,4.938703172218328
210.0,MODULATION,Theta,Central,5.330661666303097
220.0,MODULATION,Theta,Central,5.285060220200246
230.0,MODULATION,Theta,Central,4.872755093718857
240.0,MODULATION,Theta,Central,5.012137461558577
250.0,MODULATION,Theta,Central,5.052819473080184
