Time,Entropy_raw_at_t,Entropy_norm_at_t,v_l2,v_l2_per_s,v_cos,v_cos_per_s
2025-10-05 15:47:51.063610077,4.948552418271135,0.9750508255337739,15.82275636655727,15.82275636655727,0.1090430943837856,0.1090430943837856
2025-10-05 15:47:51.188699961,4.91748151217671,0.968928689184244,17.197251351700544,17.197251351700544,0.07693797165642069,0.07693797165642069
2025-10-05 15:47:51.313689947,4.876493971912412,0.9608526031709397,15.85266725655052,15.85266725655052,0.04833443770604582,0.04833443770604582
2025-10-05 15:47:51.438770056,4.840549698465448,0.9537702302797745,13.689855206292425,13.689855206292425,0.042580398245666805,0.042580398245666805
2025-10-05 15:47:51.563560009,4.813345235863137,0.9484099286245575,12.91377252817428,12.91377252817428,0.04687684014867142,0.04687684014867142
2025-10-05 15:47:51.688640118,4.795939369173395,0.9449803186597725,14.871377577578574,14.871377577578574,0.05960174249947876,0.05960174249947876
2025-10-05 15:47:51.813529968,4.782521462136101,0.9423364866402625,15.223257633069627,15.223257633069627,0.05589721714775723,0.05589721714775723
2025-10-05 15:47:51.938620090,4.7732009550350485,0.9404999964154203,13.579534212413462,13.579534212413462,0.037476385684908416,0.037476385684908416
2025-10-05 15:47:52.063600063,4.771829938231171,0.9402298545732312,12.366601250673552,12.366601250673552,0.028198667830522956,0.028198667830522956
2025-10-05 15:47:52.188689947,4.7894439306026655,0.9437004731200528,11.205040523999639,11.205040523999639,0.04917272824226083,0.04917272824226083
2025-10-05 15:47:52.313570023,4.8149932675395855,0.9487346528086834,10.719188224214566,10.719188224214566,0.06670846182250359,0.06670846182250359
2025-10-05 15:47:52.438659906,4.830581844750775,0.951806188440507,10.687168365520755,10.687168365520755,0.039747998363563686,0.039747998363563686
2025-10-05 15:47:52.563640118,4.821163823352604,0.9499504842339042,5.0323692448988275,5.0323692448988275,0.00882473226655649,0.00882473226655649
2025-10-05 15:47:52.688730001,4.827294137778123,0.9511583865932515,5.0323693071361655,5.0323693071361655,0.007824263973828302,0.007824263973828302
2025-10-05 15:47:52.813610077,4.830662429385168,0.9518220666423828,5.032369252804509,5.032369252804509,0.0068919931722689,0.0068919931722689
2025-10-05 15:47:52.938699961,4.831958565805217,0.9520774542344608,5.032369266906149,5.032369266906149,0.006073599649929076,0.006073599649929076
2025-10-05 15:47:53.063590049,4.831683664961499,0.9520232884356673,5.03236931648435,5.03236931648435,0.005324637201827154,0.005324637201827154
2025-10-05 15:47:53.188669920,4.830203074188962,0.9517315564031419,5.0323692435573095,5.0323692435573095,0.00467759138445978,0.00467759138445978
2025-10-05 15:47:53.313560009,4.827787195033515,0.9512555374048971,5.032369276190008,5.032369276190008,0.004095171895677246,0.004095171895677246
2025-10-05 15:47:53.438750029,4.824653298114438,0.9506380419193886,5.032369259002411,5.032369259002411,0.003599887636136994,0.003599887636136994
2025-10-05 15:47:53.563529968,4.820951584951175,0.949908665291508,5.032369301052868,5.032369301052868,0.003148902672468219,0.003148902672468219
2025-10-05 15:47:53.688620090,4.816831380302947,0.949096830111428,5.032369283745569,5.032369283745569,0.002773446995379176,0.002773446995379176
2025-10-05 15:47:53.813509941,4.812370619669381,0.9482178926019035,5.032369259323611,5.032369259323611,0.002435992538721428,0.002435992538721428
2025-10-05 15:47:53.938590050,4.807667544942875,0.947291210108313,5.032369260398125,5.032369260398125,0.0021497669601078452,0.0021497669601078452
2025-10-05 15:47:54.063580036,4.802772121065718,0.9463266276022986,5.032369291675442,5.032369291675442,0.0018962212596493138,0.0018962212596493138
2025-10-05 15:47:54.188659906,4.79774710802885,0.9453365111610085,5.03236928379049,5.03236928379049,0.0016782276811713314,0.0016782276811713314
2025-10-05 15:47:54.313549995,4.7926273399322055,0.9443277244114242,5.032369276189996,5.032369276189996,0.0014850545078868742,0.0014850545078868742
2025-10-05 15:47:54.438640118,4.787458367589075,0.9433092425758631,5.0323692435157,5.0323692435157,0.0013209816303292627,0.0013209816303292627
2025-10-05 15:47:54.563519955,4.78225168272571,0.9422833299563316,5.032369276234347,5.032369276234347,0.0011736915898538985,0.0011736915898538985
2025-10-05 15:47:54.688610077,4.777046750823347,0.9412577627360051,5.032369283745541,5.032369283745541,0.0010486001726533688,0.0010486001726533688
2025-10-05 15:47:54.813499928,4.77184424782754,0.9402326741015644,5.032369259323646,5.032369259323646,0.0009357813811217896,0.0009357813811217896
2025-10-05 15:47:54.938580036,4.766675971158129,0.9392143293398743,5.032369300631226,5.032369300631226,0.0008395230216554221,0.0008395230216554221
2025-10-05 15:47:55.063469887,4.7615376760204295,0.9382018920668341,5.032369259323573,5.032369259323573,0.0007524765704854203,0.0007524765704854203
2025-10-05 15:47:55.188549995,4.7564545642946765,0.937200328000103,5.0323693006313395,5.0323693006313395,0.0006779370319749511,0.0006779370319749511
2025-10-05 15:47:55.313440084,4.751418816417909,0.936208096391867,5.032369276189944,5.032369276189944,0.0006101849261741599,0.0006101849261741599
2025-10-05 15:47:55.438529968,4.746451808263357,0.9352294090925979,5.032369266906186,5.032369266906186,0.0005520368005519727,0.0005520368005519727
2025-10-05 15:47:55.563410044,4.741542804846708,0.9342621509068952,5.032369252804491,5.032369252804491,0.0004987863374376811,0.0004987863374376811
2025-10-05 15:47:55.688499928,4.736711531834443,0.9333102085324757,5.032369266906175,5.032369266906175,0.00045306700835425265,0.00045306700835425265
2025-10-05 15:47:55.813689947,4.731944513954907,0.9323709268343341,5.032369299200216,5.032369299200216,0.00041190727728548346,0.00041190727728548346
2025-10-05 15:47:55.938770056,4.727248207063788,0.9314455778586946,5.032369260398119,5.032369260398119,0.0003745517148147985,0.0003745517148147985
2025-10-05 15:47:56.063460112,4.722631858778039,0.9305359837336832,5.032369268610168,5.032369268610168,0.0003404943341541172,0.0003404943341541172
2025-10-05 15:47:56.188549995,4.71810620249793,0.9296442593425847,5.032369307136189,5.032369307136189,0.0003120413642050512,0.0003120413642050512
2025-10-05 15:47:56.313430071,4.713642996136782,0.9287648399327998,5.032369252804399,5.032369252804399,0.0002850372704304559,0.0002850372704304559
2025-10-05 15:47:56.438519955,4.70926422594602,0.9279020576222475,5.032369266906332,5.032369266906332,0.0002616777907994992,0.0002616777907994992
2025-10-05 15:47:56.563400030,4.704954940797201,0.9270529664766627,5.032369293102177,5.032369293102177,0.00023981145126210278,0.00023981145126210278
2025-10-05 15:47:56.688489914,4.7007291147029715,0.926220319901772,5.03236926690594,5.03236926690594,0.00022085545936073155,0.00022085545936073155
2025-10-05 15:47:56.813369989,4.696571864663648,0.9254011853872367,5.032369293102188,5.032369293102188,0.0002030226947703396,0.0002030226947703396
2025-10-05 15:47:56.938460112,4.692496290733699,0.9245981441361734,5.032369243515742,5.032369243515742,0.00018753323614132384,0.00018753323614132384
2025-10-05 15:47:57.063250064,4.688487710724241,0.9238083032055188,5.032369324453096,5.032369324453096,0.0001727704773269955,0.0001727704773269955
2025-10-05 15:47:57.188339949,4.684561312560573,0.9230346551874191,5.032369226676328,5.032369226676328,0.00016015786260734202,0.00016015786260734202
