Time,Entropy_raw_at_t,Entropy_norm_at_t,v_l2,v_cos
2025-10-09 15:29:43.947309971,4.453349875989707,0.877477311737062,3.275647466826521,0.0017274668699259754
2025-10-09 15:29:44.072200060,4.49222277383895,0.8851367337124357,4.499871079129379,0.002622643098055155
2025-10-09 15:29:44.197190046,4.553825190812694,0.8972747252801011,5.760509325290429,0.005878801204075801
2025-10-09 15:29:44.322079897,4.624841667671141,0.9112676404873163,6.07761978451762,0.010753355297018263
2025-10-09 15:29:44.447069883,4.68999667818108,0.924105626511434,5.187896474126193,0.012116161124308578
2025-10-09 15:29:44.572060108,4.727979893861515,0.9315897476594474,3.8280565895284258,0.00762208192832714
2025-10-09 15:29:44.697050095,4.733077849963248,0.9325942366261958,3.5165716870618464,0.003946593548236232
2025-10-09 15:29:44.821939945,4.716192609713069,0.9292672096385691,3.9964162558207073,0.0035183926117143827
2025-10-09 15:29:44.947030067,4.692814465999735,0.9246608366227009,4.121994900233138,0.003961782328422481
2025-10-09 15:29:45.071919918,4.673612765423207,0.9208773798829748,4.013633348155384,0.004772299291699644
2025-10-09 15:29:45.197010040,4.661735559939027,0.918537123979122,4.547241357538546,0.0066133307439602
2025-10-09 15:29:45.322000027,4.653436564053401,0.9169019098588261,5.593534894481753,0.009786471885019465
2025-10-09 15:29:45.447089911,4.641014408916682,0.9144542783906325,6.060398203292999,0.012555506373237102
2025-10-09 15:29:45.571980000,4.614996248367883,0.9093277228289881,5.582073484722142,0.011913532571631857
2025-10-09 15:29:45.696969986,4.572673978893858,0.9009886449934688,4.779037096785501,0.00859866564936107
2025-10-09 15:29:45.821959972,4.523007945083672,0.8912025695567799,4.484874317686952,0.006337632140429816
2025-10-09 15:29:45.946949959,4.478750291951729,0.8824821483962084,4.468542340206815,0.005492192416567954
2025-10-09 15:29:46.071939945,4.446004976926021,0.8760300905519197,3.9877420736548403,0.004396455008299549
2025-10-09 15:29:46.197040081,4.424204288478423,0.8717345355145414,3.058310515389829,0.0027768715524248977
2025-10-09 15:29:46.321929932,4.414368159401679,0.8697964483800241,2.6864721832088634,0.001398145464876932
2025-10-09 15:29:46.447020054,4.4187549097854415,0.8706608030885457,3.292144977902249,0.000814569872219173
2025-10-09 15:29:46.572010040,4.439150914522463,0.8746795826376913,4.014052226043404,0.0013517563868038485
2025-10-09 15:29:46.697000027,4.480090293583608,0.8827461790837597,4.448865570430736,0.003449848041928827
2025-10-09 15:29:46.821990013,4.53491454566469,0.8935486173995707,4.507383553647393,0.006949542686983112
2025-10-09 15:29:46.947079897,4.589484955924873,0.90430103933562,4.174301337293344,0.009524204718572293
2025-10-09 15:29:47.071969986,4.6293780381624545,0.9121614759807328,3.4803662654996526,0.008686989395547684
2025-10-09 15:29:47.197060108,4.651814628966408,0.9165823276837044,2.691489414062593,0.0060616467072730496
2025-10-09 15:29:47.322050095,4.663176596122709,0.9188210622709214,2.36236519266116,0.005841947932654357
2025-10-09 15:29:47.447149992,4.666775870935334,0.9195302546934194,2.4722773772121522,0.007883136638364707
2025-10-09 15:29:47.571939945,4.655757846950484,0.9173592898386242,2.5096889649922756,0.007416890684065369
2025-10-09 15:29:47.696929932,4.628540440490532,0.9119964377569368,2.2170093129766055,0.004421612217252346
2025-10-09 15:29:47.821919918,4.601315664534491,0.9066321336075258,1.757056378131333,0.002497606713361855
2025-10-09 15:29:47.946909904,4.592805560681768,0.9049553232828865,1.4927219424189484,0.0022021655413350105
2025-10-09 15:29:48.071899891,4.608963571985418,0.9081390588340019,1.7865866882827155,0.002974632081174655
2025-10-09 15:29:48.196990013,4.640582484743053,0.9143691730938774,2.2879274649136065,0.004715622145158305
2025-10-09 15:29:48.321990013,4.6755329669471335,0.921255731756986,2.6615787396682444,0.007875349687487043
2025-10-09 15:29:48.446870089,4.70397642276631,0.9268601616454363,0.6774180108192829,0.00029276982780301886
2025-10-09 15:29:48.571969986,4.719688865373056,0.9299561034158607,0.6786104455128554,0.0003233066948712393
2025-10-09 15:29:48.696959972,4.734469545380236,0.932868452932406,0.6780142281660659,0.0003550574004711482
2025-10-09 15:29:48.821949959,4.748351134414626,0.9356036477335617,0.6780142281660724,0.0003903686593966782
2025-10-09 15:29:48.946939945,4.761386034892363,0.9381720130649345,0.6780142281660718,0.00042880571552295077
2025-10-09 15:29:49.071929932,4.773592172617401,0.9405770809836725,0.6780142281660675,0.00047043532209734007
2025-10-09 15:29:49.196919918,4.784972262212563,0.9428193863725054,0.6780142281660666,0.0005152513379496071
2025-10-09 15:29:49.321919918,4.7955167818284306,0.9448970530692038,0.6780685473169727,0.0005632440127887328
2025-10-09 15:29:49.446909904,4.805206182694164,0.9468062292311412,0.6780142281660705,0.000613918132529756
2025-10-09 15:29:49.571899891,4.81400838671758,0.9485405942684518,0.6780142281660715,0.0006671731484411136
2025-10-09 15:29:49.696890116,4.8218832889173004,0.9500922459923954,0.6780155214791879,0.0007223846497066422
2025-10-09 15:29:49.821880102,4.828778810884597,0.9514509229990031,0.6780142281660693,0.0007788167871831675
2025-10-09 15:29:49.946870089,4.834630200619591,0.9526038667104935,0.6780142281660649,0.0008355520055699506
2025-10-09 15:29:50.071860075,4.839357795760973,0.953535380647453,0.6780142281660769,0.0008914672688314917
2025-10-09 15:29:50.196850061,4.84286343860113,0.9542261240520699,0.6780142281660632,0.0009452688237895357
2025-10-09 15:29:50.321840048,4.845025069837808,0.954652046654009,0.6780142281660739,0.000995531199407984
2025-10-09 15:29:50.446830034,4.845688108808268,0.9547826902525534,0.6780142281660719,0.0010407604031351658
2025-10-09 15:29:50.571820021,4.844650899199358,0.9545783209744418,0.6780142281660662,0.0010794764693510261
2025-10-09 15:29:50.696810007,4.841637813169896,0.9539846297750552,0.6780142281660682,0.0011103095566840082
2025-10-09 15:29:50.821810007,4.83624220631347,0.9529214924219598,0.6780685473169704,0.0011322822511778963
2025-10-09 15:29:50.946899891,4.82777287641408,0.9512527160986805,1.9046997192620678,0.004565864155233745
2025-10-09 15:29:51.071890116,4.835754099759353,0.9528253170845455,1.8676622824231366,0.004755899854460455
2025-10-09 15:29:51.196680069,4.839217178026684,0.953507673668459,1.6178054782092932,0.00485112730805215
2025-10-09 15:29:51.321670055,4.8374657093713855,0.9531625685116581,1.3218433404098988,0.005339508162736428
2025-10-09 15:29:51.446660042,4.833347897129169,0.9523512047254846,1.100931241889338,0.005980206672275612
2025-10-09 15:29:51.571660042,4.830633559552632,0.9518163782002553,0.9939005258520593,0.006413346156729172
2025-10-09 15:29:51.696650028,4.830850731195099,0.9518591691765593,0.40024266030858674,0.0005652984677830819
2025-10-09 15:29:51.821640015,4.833788648717539,0.9524380493547361,0.40024266030858796,0.0004982205381734994
2025-10-09 15:29:51.946630001,4.835274762046543,0.9527308695384592,0.40024266030858763,0.0004390999994281497
2025-10-09 15:29:52.071619987,4.835608023979329,0.9527965346653926,0.4002426603085866,0.0003871709500227194
2025-10-09 15:29:52.196609974,4.835014051155985,0.95267949969379,0.40024266030858907,0.0003416668015978619
2025-10-09 15:29:52.321599960,4.83366807266007,0.9524142913393736,0.4002426603085895,0.00030185282056738316
2025-10-09 15:29:52.446589947,4.831708849360683,0.9520282507089017,0.4002426603085821,0.00026704534281019043
2025-10-09 15:29:52.571579933,4.829247828308294,0.9515433370602299,0.40024266030858824,0.0002366214972890912
2025-10-09 15:29:52.696470022,4.826375495316083,0.9509773794996061,0.3999227691226374,0.00020969669574810723
2025-10-09 15:29:52.821460009,4.823168635964011,0.9503455076723899,0.40024266030858496,0.00018677000475630923
2025-10-09 15:29:52.946350098,4.819683196426865,0.9496587450778392,0.39992276912263625,0.00016613288829459005
2025-10-09 15:29:53.071340084,4.815975359635925,0.9489281618651402,0.40024266030858496,0.00014853837420203408
2025-10-09 15:29:53.196330070,4.812081425589891,0.9481609104984291,0.40024266030858957,0.00013285157562969996
2025-10-09 15:29:53.321320057,4.8080396422559275,0.9473645272648477,0.40024266030858824,0.00011905861475547397
2025-10-09 15:29:53.446310043,4.803879701848121,0.9465448626465995,0.40024266030858907,0.00010691079523827973
2025-10-09 15:29:53.571300030,4.799626599241914,0.9457068415736186,0.4002426603085847,9.619327079712914e-05
2025-10-09 15:29:53.696290016,4.7953014184928495,0.9448546183973243,0.4002426603085826,8.672058484815448e-05
2025-10-09 15:29:53.821379900,4.790921971123181,0.9439917026570745,0.4005625514945444,7.845483215218607e-05
2025-10-09 15:29:53.946369886,4.786499773854008,0.9431203635798001,0.40024266030857986,7.08858563562842e-05
2025-10-09 15:29:54.071360111,4.782054635404863,0.9422445042277909,1.6064823607724423,0.0056887329813006815
2025-10-09 15:29:54.196350098,4.776806257248295,0.9412103764623903,1.3643050152729777,0.0035209728680858365
2025-10-09 15:29:54.321340084,4.773753802683487,0.940608928181812,1.5183731630106612,0.0033507350984486317
2025-10-09 15:29:54.446330070,4.776780398802197,0.9412052813765784,1.6977544895308037,0.003670229379649226
2025-10-09 15:29:54.571419954,4.786074180658488,0.9430365057236924,1.6887443545288314,0.004191962633346424
2025-10-09 15:29:54.696409941,4.798960587854625,0.945575612297236,1.4703196008368384,0.005122499898251198
2025-10-09 15:29:54.821399927,4.810472236388142,0.9478438397417746,1.154262411001935,0.006226707317781521
