Session,Metric,Band,Flux_mean_per_s,Flux_median_per_s,Flux_p25_per_s,Flux_p75_per_s,Flux_IQR_per_s,n_steps,dt_s
MODULATION,COS,Theta,0.04909142589184372,0.03343158622979221,0.019030844702526604,0.05743760584108215,0.03840676113855554,14537,0.124989987
MODULATION,COS,Alpha,0.03770936700315487,0.0286373446601183,0.01587525353812574,0.049587239687471925,0.03371198614934618,14537,0.124989987
MODULATION,COS,BetaL,0.03949581013006875,0.031658888031964365,0.019142115816901634,0.05099416970516041,0.03185205388825877,14537,0.124989987
MODULATION,COS,BetaH,0.02372837175105821,0.019528895237497457,0.012322955005893641,0.030144390092567645,0.017821435086674,14537,0.124989987
MODULATION,COS,Gamma,0.019201383185021934,0.015856350171176297,0.010960810655241748,0.023345402488398954,0.012384591833157207,14537,0.124989987
