Session,Metric,Band,Flux_mean_per_s,Flux_median_per_s,Flux_p25_per_s,Flux_p75_per_s,Flux_IQR_per_s,n_steps,dt_s
BASELINE_EC,L2,Theta,23.94096389240922,16.17869040378916,10.403794656700704,26.48858177132024,16.084787114619537,14537,0.124989987
BASELINE_EC,L2,Alpha,52.50308708844223,42.868060658401724,24.805239138777306,70.30303470256543,45.49779556378813,14537,0.124989987
BASELINE_EC,L2,BetaL,11.546602640380238,9.504042353261244,6.395385927681532,14.160518019968999,7.765132092287467,14537,0.124989987
BASELINE_EC,L2,BetaH,6.640732913924348,5.841171115972525,4.193766317239235,8.20755593888156,4.013789621642325,14537,0.124989987
BASELINE_EC,L2,Gamma,1.1795651078200358,1.0374061533221386,0.8041289361314191,1.3651533364676132,0.5610244003361939,14537,0.124989987
