Representation,Level,Band,Channel,Feature,Window_Length_s,Entropy_Bins,Baseline_Median_Entropy_bits,Modulation_Median_Entropy_bits,Delta_Entropy_ModMinusBase_bits,Delta_Sign,Baseline_N_Valid_Windows,Modulation_N_Valid_Windows,Entropy_Definition
FFT-derived POW,Feature,BetaH,F3,POW.F3.BetaH,60,64,4.693826446,3.978949228,-0.7148772187,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,F3,POW.F3.BetaH,120,16,2.887840315,2.177120616,-0.710719699,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,F3,POW.F3.BetaH,120,32,3.856726563,3.097020271,-0.7597062918,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,F3,POW.F3.BetaH,120,64,4.836201426,4.056579367,-0.7796220593,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,10,16,2.113179752,1.446425107,-0.6667546441,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,10,32,2.967819192,2.181385487,-0.7864337054,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,10,64,3.838514105,3.037123729,-0.8013903764,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,30,16,2.300263399,1.529479897,-0.7707835021,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,30,32,3.256526625,2.348592848,-0.9079337771,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,30,64,4.164292799,3.247708938,-0.9165838604,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,60,16,2.339154187,1.620035276,-0.7191189113,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,60,32,3.283982532,2.496168582,-0.7878139502,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,60,64,4.238965474,3.438200259,-0.8007652153,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,120,16,2.391723805,1.749809658,-0.6419141467,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,120,32,3.325218863,2.605932477,-0.7192863856,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,F3,POW.F3.Gamma,120,64,4.299605639,3.548060707,-0.751544932,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,10,16,0.8485481783,0.5776539034,-0.2708942749,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,10,32,1.686940882,1.401996033,-0.2849448487,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,10,64,2.508488711,2.229252291,-0.2792364193,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,30,16,0.9251057985,0.6150051049,-0.3101006936,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,30,32,1.813555211,1.501944714,-0.3116104971,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,30,64,2.673065916,2.304368033,-0.3686978837,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,60,16,0.9714934041,0.6197855905,-0.3517078136,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,60,32,1.862236768,1.529372604,-0.3328641639,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,60,64,2.793632187,2.354072357,-0.4395598302,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,120,16,0.9581489528,0.5914593769,-0.3666895759,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,120,32,1.880535577,1.543156571,-0.3373790054,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,FC1,POW.FC1.Theta,120,64,2.760109066,2.439928097,-0.3201809686,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,10,16,2.269439568,2.000097872,-0.2693416963,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,10,32,3.116209143,2.809987708,-0.3062214348,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,10,64,3.957985005,3.717730753,-0.240254252,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,30,16,2.464221461,2.107199492,-0.3570219697,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,30,32,3.395374795,3.009096025,-0.3862787703,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,30,64,4.341067136,3.952320846,-0.3887462898,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,60,16,2.610256817,2.148130064,-0.4621267528,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,60,32,3.5319296,3.066951671,-0.4649779281,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,60,64,4.480285715,4.02822416,-0.4520615552,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,120,16,2.578235127,2.154094935,-0.4241401923,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,120,32,3.535262113,3.095978002,-0.4392841111,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,FC1,POW.FC1.Alpha,120,64,4.509880673,4.074910392,-0.4349702815,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,FC1,POW.FC1.BetaL,10,16,2.385689758,2.022732083,-0.3629576746,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,FC1,POW.FC1.BetaL,10,32,3.243593557,2.84757141,-0.3960221468,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,FC1,POW.FC1.BetaL,10,64,4.090757166,3.737866562,-0.3528906034,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,FC1,POW.FC1.BetaL,30,16,2.577834396,2.239718142,-0.3381162534,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,FC1,POW.FC1.BetaL,30,32,3.481670639,3.144365626,-0.3373050133,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,FC1,POW.FC1.BetaL,30,64,4.408741422,4.035993399,-0.3727480234,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,FC1,POW.FC1.BetaL,60,16,2.611510208,2.292446029,-0.3190641793,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,FC1,POW.FC1.BetaL,60,32,3.545363303,3.234584831,-0.3107784712,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,FC1,POW.FC1.BetaL,60,64,4.491901996,4.164981626,-0.3269203701,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,FC1,POW.FC1.BetaL,120,16,2.621071691,2.301347931,-0.3197237598,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,FC1,POW.FC1.BetaL,120,32,3.568261839,3.228882999,-0.3393788395,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,FC1,POW.FC1.BetaL,120,64,4.543988782,4.194935293,-0.3490534883,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,FC1,POW.FC1.BetaH,10,16,2.595606783,2.360698151,-0.2349086317,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,FC1,POW.FC1.BetaH,10,32,3.4797238,3.223998362,-0.2557254382,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,FC1,POW.FC1.BetaH,10,64,4.314439529,4.095515984,-0.2189235451,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,FC1,POW.FC1.BetaH,30,16,2.753968669,2.49947111,-0.2544975589,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,FC1,POW.FC1.BetaH,30,32,3.694409559,3.426488673,-0.2679208858,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,FC1,POW.FC1.BetaH,30,64,4.627532232,4.360594673,-0.266937559,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,FC1,POW.FC1.BetaH,60,16,2.841698783,2.61895849,-0.2227402931,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,FC1,POW.FC1.BetaH,60,32,3.784827361,3.559671907,-0.2251554537,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,FC1,POW.FC1.BetaH,60,64,4.745265487,4.52633314,-0.218932347,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,FC1,POW.FC1.BetaH,120,16,2.912511231,2.604556955,-0.3079542762,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,FC1,POW.FC1.BetaH,120,32,3.87686411,3.565602282,-0.3112618285,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,FC1,POW.FC1.BetaH,120,64,4.847486192,4.535059504,-0.312426688,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,FC1,POW.FC1.Gamma,10,16,2.169517334,1.905648212,-0.2638691224,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,FC1,POW.FC1.Gamma,10,32,3.029236211,2.7704647,-0.2587715108,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,FC1,POW.FC1.Gamma,10,64,3.901964627,3.652655597,-0.2493090309,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,FC1,POW.FC1.Gamma,30,16,2.343349113,2.04267232,-0.3006767929,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,FC1,POW.FC1.Gamma,30,32,3.278822777,2.972006002,-0.3068167751,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,FC1,POW.FC1.Gamma,30,64,4.228539989,3.912732817,-0.315807172,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,FC1,POW.FC1.Gamma,60,16,2.39347172,2.046364583,-0.3471071376,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,FC1,POW.FC1.Gamma,60,32,3.334482122,2.975674354,-0.3588077682,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,FC1,POW.FC1.Gamma,60,64,4.295610456,3.941982403,-0.3536280532,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,FC1,POW.FC1.Gamma,120,16,2.382905659,2.102155571,-0.280750088,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,FC1,POW.FC1.Gamma,120,32,3.332994532,3.041361546,-0.2916329857,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Gamma,FC1,POW.FC1.Gamma,120,64,4.308680093,4.021718245,-0.2869618483,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,C3,POW.C3.Theta,10,16,0,0,0,zero,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,C3,POW.C3.Theta,10,32,0.7899332675,0.09694460606,-0.6929886614,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,C3,POW.C3.Theta,10,64,1.629934992,0.9447388286,-0.6851961632,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,C3,POW.C3.Theta,30,16,0.1621429309,0,-0.1621429309,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,C3,POW.C3.Theta,30,32,0.8358604515,0.2104526587,-0.6254077928,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,C3,POW.C3.Theta,30,64,1.762988639,0.9808923281,-0.7820963105,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,C3,POW.C3.Theta,60,16,0.1923879889,0,-0.1923879889,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,C3,POW.C3.Theta,60,32,0.8546316804,0.2513669527,-0.6032647277,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,C3,POW.C3.Theta,60,64,1.785881135,1.060182286,-0.7256988498,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,C3,POW.C3.Theta,120,16,0.2099394995,0,-0.2099394995,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,C3,POW.C3.Theta,120,32,0.926824077,0.2108423003,-0.7159817767,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Theta,C3,POW.C3.Theta,120,64,1.874389048,1.056820754,-0.8175682942,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,C3,POW.C3.Alpha,10,16,2.119488361,1.413490293,-0.7059980677,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,C3,POW.C3.Alpha,10,32,2.95986361,2.208480134,-0.7513834765,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,C3,POW.C3.Alpha,10,64,3.815338894,3.057677414,-0.7576614806,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,C3,POW.C3.Alpha,30,16,2.333689629,1.562716478,-0.7709731509,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,C3,POW.C3.Alpha,30,32,3.227672592,2.38012825,-0.8475443416,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,C3,POW.C3.Alpha,30,64,4.134714584,3.26094729,-0.8737672941,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,C3,POW.C3.Alpha,60,16,2.441493093,1.581756319,-0.8597367736,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,C3,POW.C3.Alpha,60,32,3.337515254,2.436653926,-0.9008613277,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,C3,POW.C3.Alpha,60,64,4.289846555,3.387537673,-0.9023088818,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,C3,POW.C3.Alpha,120,16,2.43117521,1.653167267,-0.778007943,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,C3,POW.C3.Alpha,120,32,3.398884508,2.523652395,-0.875232113,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,Alpha,C3,POW.C3.Alpha,120,64,4.377276612,3.484125681,-0.8931509306,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,C3,POW.C3.BetaL,10,16,1.961501643,1.337115938,-0.6243857054,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,C3,POW.C3.BetaL,10,32,2.778641603,2.140402904,-0.6382386992,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,C3,POW.C3.BetaL,10,64,3.635119448,2.956296174,-0.6788232738,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,C3,POW.C3.BetaL,30,16,2.121094364,1.397600903,-0.7234934607,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,C3,POW.C3.BetaL,30,32,2.988934484,2.275689733,-0.7132447512,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,C3,POW.C3.BetaL,30,64,3.909494721,3.157770564,-0.7517241569,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,C3,POW.C3.BetaL,60,16,2.121207645,1.539387555,-0.5818200892,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,C3,POW.C3.BetaL,60,32,3.02838373,2.401636279,-0.6267474515,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,C3,POW.C3.BetaL,60,64,3.987440517,3.334249147,-0.6531913704,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,C3,POW.C3.BetaL,120,16,2.11136752,1.456971193,-0.6543963271,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,C3,POW.C3.BetaL,120,32,3.042509846,2.340696265,-0.7018135813,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaL,C3,POW.C3.BetaL,120,64,4.007875598,3.244597724,-0.7632778738,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,C3,POW.C3.BetaH,10,16,2.205411789,1.644082558,-0.5613292316,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,C3,POW.C3.BetaH,10,32,3.072575947,2.526495461,-0.5460804856,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,C3,POW.C3.BetaH,10,64,3.914220252,3.381234696,-0.5329855565,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,C3,POW.C3.BetaH,30,16,2.445042456,1.766111251,-0.6789312056,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,C3,POW.C3.BetaH,30,32,3.385371539,2.669825623,-0.715545916,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,C3,POW.C3.BetaH,30,64,4.311319002,3.586046996,-0.7252720058,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,C3,POW.C3.BetaH,60,16,2.476651903,1.853864566,-0.622787337,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,C3,POW.C3.BetaH,60,32,3.425385893,2.757694551,-0.6676913421,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,C3,POW.C3.BetaH,60,64,4.388159377,3.723338104,-0.6648212725,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,C3,POW.C3.BetaH,120,16,2.484316442,1.887245687,-0.5970707558,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,C3,POW.C3.BetaH,120,32,3.426006286,2.840604401,-0.5854018855,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Feature,BetaH,C3,POW.C3.BetaH,120,64,4.390637638,3.809387552,-0.5812500861,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
