Representation,Level,Band,Channel,Feature,Window_Length_s,Entropy_Bins,Baseline_Median_Entropy_bits,Modulation_Median_Entropy_bits,Delta_Entropy_ModMinusBase_bits,Delta_Sign,Baseline_N_Valid_Windows,Modulation_N_Valid_Windows,Entropy_Definition
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,10,16,2.128097512,1.564170239,-0.5639272721,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,10,32,2.973962264,2.42913042,-0.5448318442,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,10,64,3.844301965,3.290488214,-0.5538137517,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,30,16,2.318394383,1.692375669,-0.6260187135,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,30,32,3.24467784,2.589488003,-0.6551898377,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,30,64,4.180533026,3.528785903,-0.6517471229,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,60,16,2.361993503,1.747226262,-0.614767241,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,60,32,3.2993703,2.632316046,-0.6670542538,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,60,64,4.262393262,3.584972588,-0.6774206738,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,120,16,2.477314777,1.744687198,-0.7326275791,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,120,32,3.409629749,2.648391295,-0.7612384544,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaL,ALL_CHANNELS_MEDIAN,BandMedian.BetaL,120,64,4.379676171,3.608497042,-0.7711791294,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,10,16,2.477724196,1.987966399,-0.4897577968,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,10,32,3.370563524,2.879280752,-0.4912827722,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,10,64,4.202890051,3.75125848,-0.4516315711,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,30,16,2.691535724,2.133933955,-0.5576017696,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,30,32,3.630794243,3.060733161,-0.5700610814,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,30,64,4.559724625,4.006993067,-0.5527315579,negative,60,60,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,60,16,2.738483387,2.193764174,-0.5447192127,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,60,32,3.678506937,3.137503372,-0.5410035653,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,60,64,4.644688179,4.106584931,-0.5381032483,negative,30,30,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,120,16,2.791734797,2.285941004,-0.505793793,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,120,32,3.753432498,3.21978519,-0.5336473084,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,BetaH,ALL_CHANNELS_MEDIAN,BandMedian.BetaH,120,64,4.727140182,4.208949683,-0.5181904994,negative,15,15,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,10,16,2.039157372,1.525970747,-0.5131866251,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
FFT-derived POW,Band,Gamma,ALL_CHANNELS_MEDIAN,BandMedian.Gamma,10,32,2.918031883,2.322784343,-0.5952475402,negative,181,181,Binned Shannon entropy of the temporal amplitude distribution of FFT-derived POW band-power values; shared baseline/modulation edges
