Representation,Level,Band,Channel,Feature,Window_Length_s,Baseline_Median_LZC,Modulation_Median_LZC,Delta_LZC_ModMinusBase,Baseline_N_Windows,Modulation_N_Windows,Baseline_Sequence_Length_Min,Baseline_Sequence_Length_Median,Baseline_Sequence_Length_Max,Modulation_Sequence_Length_Min,Modulation_Sequence_Length_Median,Modulation_Sequence_Length_Max,Baseline_Distinct_LZC_Values,Modulation_Distinct_LZC_Values,LZC_Normalization
FFT-derived POW,Feature,Theta,Cz,POW.Cz.Theta,120,0.4639725993,0.4437461413,-0.02022645805,15,15,960,960,961,960,960,961,11,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,10,0.5531687083,0.5531687083,0,181,181,80,80,81,80,80,81,9,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,30,0.4612352847,0.4941806622,0.03294537748,60,60,240,240,241,240,240,241,11,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,60,0.4639005519,0.4453445298,-0.01855602207,30,30,480,480,481,480,480,481,12,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,Alpha,Cz,POW.Cz.Alpha,120,0.4231067859,0.4334264636,0.0103196777,15,15,960,960,961,960,960,961,10,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,10,0.5531687083,0.6321928095,0.07902410119,181,181,80,80,81,80,80,81,11,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,30,0.4941806622,0.4941806622,0,60,60,240,240,241,240,240,241,12,12,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,60,0.4453445298,0.4639005519,0.01855602207,30,30,480,480,481,480,480,481,14,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaL,Cz,POW.Cz.BetaL,120,0.4231067859,0.4433515949,0.02024480904,15,15,960,960,961,960,960,961,11,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,10,0.6321928095,0.6321928095,0,181,181,80,80,81,80,80,81,10,10,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,30,0.4941806622,0.4941806622,0,60,60,240,240,241,240,240,241,13,13,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,60,0.4453445298,0.4824565739,0.03711204415,30,30,480,480,481,480,480,481,14,11,c(n)*log2(n)/n; not assumed bounded 0..1
FFT-derived POW,Feature,BetaH,Cz,POW.Cz.BetaH,120,0.4024674304,0.4643854967,0.06191806622,15,15,960,960,961,960,960,961,11,11,c(n)*log2(n)/n; not assumed bounded 0..1
