Track,Metric_X,Metric_Y,N_Matched,Observed_Pearson_r,Bootstrap_Median_r,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Confidence_Level,Block_Length_Windows,Block_Length_Seconds,Bootstrap_Iterations_Requested,Bootstrap_Iterations_Valid,Random_Seed,Resampling_Method,Band,Channel,Feature
POW_Feature_BaselineStandardisedFlux,Delta_LZC,Delta_Flux,181,0.00667399458593588,0.005233362780828744,-0.12725822095722944,0.13938596354070987,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,Cz,POW.Cz.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_LZC,181,-0.1425870127222736,-0.14750910653706734,-0.31819362939461304,0.04251418408095869,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F3,POW.F3.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_Flux,181,0.3835205667932052,0.38316617577470824,0.25396486260630907,0.513181963578647,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F3,POW.F3.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_LZC,Delta_Flux,181,0.057799735021942744,0.06007735908893007,-0.06683166060491434,0.18742750301751482,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F3,POW.F3.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_LZC,181,-0.14192969719719445,-0.14472451739483386,-0.30226150983755273,0.006868077025438186,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F4,POW.F4.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_Flux,181,0.37808628370186115,0.37970858099515364,0.23392033948353022,0.509159587685432,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F4,POW.F4.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_LZC,Delta_Flux,181,0.17703898696428874,0.17268455539139022,0.05508662885905751,0.29107015908894235,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F4,POW.F4.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_LZC,181,-0.06245227175118324,-0.06497254177701303,-0.24521919576250278,0.10027822671708321,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F7,POW.F7.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_Flux,181,0.3254693381410496,0.32402872692594487,0.16976465730685122,0.4665452120621376,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F7,POW.F7.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_LZC,Delta_Flux,181,0.13827646088043793,0.137531586987111,-0.011936393251315198,0.2752277780011827,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F7,POW.F7.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_LZC,181,-0.2088260240632552,-0.2071308597015224,-0.3660503944493692,-0.05669872398559367,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F8,POW.F8.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_Flux,181,0.4777344257091294,0.47953255802963535,0.35522160534809594,0.5814006850307534,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F8,POW.F8.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_LZC,Delta_Flux,181,0.0800025610437471,0.07969011919526194,-0.07178727193543877,0.23408198587617854,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F8,POW.F8.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_LZC,181,-0.1781324875690413,-0.18559201202479192,-0.33997283929903815,-0.014154344535835426,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FC1,POW.FC1.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_Flux,181,0.4474371496676608,0.44982910664275544,0.3078039472001235,0.5789970382200238,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FC1,POW.FC1.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_LZC,Delta_Flux,181,0.04196376252592585,0.0433831156000058,-0.08719241962802084,0.16745947258512422,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FC1,POW.FC1.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_LZC,181,-0.15435010358397683,-0.1580281226874296,-0.2776093545374562,-0.028442815261309495,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FC2,POW.FC2.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_Flux,181,0.4350498820354848,0.4379086950714804,0.30154382540964647,0.5594033857338223,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FC2,POW.FC2.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_LZC,Delta_Flux,181,-0.026819530130046912,-0.025966813039610334,-0.15077309436269537,0.08055987012071936,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FC2,POW.FC2.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_LZC,181,-0.11247149573641088,-0.11492496867799326,-0.24245336888697988,-0.0032000646745576396,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FC5,POW.FC5.Alpha
POW_Feature_BaselineStandardisedFlux,Delta_Shannon_Entropy,Delta_Flux,181,0.3558493876359436,0.35906957944173656,0.21000366633635234,0.49457439641623685,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FC5,POW.FC5.Alpha
