Track,Metric_X,Metric_Y,N_Matched,Observed_Pearson_r,Bootstrap_Median_r,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Confidence_Level,Block_Length_Windows,Block_Length_Seconds,Bootstrap_Iterations_Requested,Bootstrap_Iterations_Valid,Random_Seed,Resampling_Method,Channel
RAW_Channel,Delta_Shannon_Entropy,Delta_Flux,181,0.06717113625461026,0.06323549627214076,-0.07372165655921474,0.20766542811329866,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,F4
RAW_Channel,Delta_LZC,Delta_Flux,181,-0.011922150952959969,-0.003429748953863885,-0.15829241933426094,0.14081767886122507,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,F4
RAW_Channel,Delta_Shannon_Entropy,Delta_LZC,181,-0.7436999878366845,-0.7463183580199968,-0.811681523110792,-0.6455955059171498,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,F7
RAW_Channel,Delta_Shannon_Entropy,Delta_Flux,181,0.09418957321145142,0.09767576164627731,-0.0678738540450469,0.28010214185067733,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,F7
RAW_Channel,Delta_LZC,Delta_Flux,181,-0.03686585682273916,-0.04663147577334017,-0.22199389401081027,0.09485824261829062,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,F7
RAW_Channel,Delta_Shannon_Entropy,Delta_LZC,181,-0.7002937626701122,-0.703353019058444,-0.7918399654125373,-0.5860779864843737,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,F8
RAW_Channel,Delta_Shannon_Entropy,Delta_Flux,181,0.12841803627378653,0.13670645405357268,0.0012852423081859876,0.2751274940112227,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,F8
RAW_Channel,Delta_LZC,Delta_Flux,181,-0.048882273222005355,-0.04891638328179414,-0.19844000478692403,0.10252808280388563,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,F8
RAW_Channel,Delta_Shannon_Entropy,Delta_LZC,181,-0.6535955176384003,-0.6532391868492615,-0.7806090610549349,-0.4958157647889875,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,FC1
RAW_Channel,Delta_Shannon_Entropy,Delta_Flux,181,0.0181159022398627,0.0180282719871983,-0.12018933935638772,0.19337434098250048,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,FC1
