Time,v_l2,dt_s
2025-10-09 15:29:43.947309971,3.275647466826521,0.124989987
2025-10-09 15:29:44.072200060,4.499871079129379,0.124989987
2025-10-09 15:29:44.197190046,5.760509325290429,0.124989987
2025-10-09 15:29:44.322079897,6.07761978451762,0.124989987
2025-10-09 15:29:44.447069883,5.187896474126193,0.124989987
2025-10-09 15:29:44.572060108,3.8280565895284258,0.124989987
2025-10-09 15:29:44.697050095,3.5165716870618464,0.124989987
2025-10-09 15:29:44.821939945,3.9964162558207073,0.124989987
2025-10-09 15:29:44.947030067,4.121994900233138,0.124989987
2025-10-09 15:29:45.071919918,4.013633348155384,0.124989987
2025-10-09 15:29:45.197010040,4.547241357538546,0.124989987
2025-10-09 15:29:45.322000027,5.593534894481753,0.124989987
2025-10-09 15:29:45.447089911,6.060398203292999,0.124989987
2025-10-09 15:29:45.571980000,5.582073484722142,0.124989987
2025-10-09 15:29:45.696969986,4.779037096785501,0.124989987
2025-10-09 15:29:45.821959972,4.484874317686952,0.124989987
2025-10-09 15:29:45.946949959,4.468542340206815,0.124989987
2025-10-09 15:29:46.071939945,3.9877420736548403,0.124989987
2025-10-09 15:29:46.197040081,3.058310515389829,0.124989987
2025-10-09 15:29:46.321929932,2.6864721832088634,0.124989987
2025-10-09 15:29:46.447020054,3.292144977902249,0.124989987
2025-10-09 15:29:46.572010040,4.014052226043404,0.124989987
2025-10-09 15:29:46.697000027,4.448865570430736,0.124989987
2025-10-09 15:29:46.821990013,4.507383553647393,0.124989987
2025-10-09 15:29:46.947079897,4.174301337293344,0.124989987
2025-10-09 15:29:47.071969986,3.4803662654996526,0.124989987
2025-10-09 15:29:47.197060108,2.691489414062593,0.124989987
2025-10-09 15:29:47.322050095,2.36236519266116,0.124989987
2025-10-09 15:29:47.447149992,2.4722773772121522,0.124989987
2025-10-09 15:29:47.571939945,2.5096889649922756,0.124989987
2025-10-09 15:29:47.696929932,2.2170093129766055,0.124989987
2025-10-09 15:29:47.821919918,1.757056378131333,0.124989987
2025-10-09 15:29:47.946909904,1.4927219424189484,0.124989987
2025-10-09 15:29:48.071899891,1.7865866882827155,0.124989987
2025-10-09 15:29:48.196990013,2.2879274649136065,0.124989987
2025-10-09 15:29:48.321990013,2.6615787396682444,0.124989987
2025-10-09 15:29:48.446870089,0.6774180108192829,0.124989987
2025-10-09 15:29:48.571969986,0.6786104455128554,0.124989987
2025-10-09 15:29:48.696959972,0.6780142281660659,0.124989987
2025-10-09 15:29:48.821949959,0.6780142281660724,0.124989987
2025-10-09 15:29:48.946939945,0.6780142281660718,0.124989987
2025-10-09 15:29:49.071929932,0.6780142281660675,0.124989987
2025-10-09 15:29:49.196919918,0.6780142281660666,0.124989987
2025-10-09 15:29:49.321919918,0.6780685473169727,0.124989987
2025-10-09 15:29:49.446909904,0.6780142281660705,0.124989987
2025-10-09 15:29:49.571899891,0.6780142281660715,0.124989987
2025-10-09 15:29:49.696890116,0.6780155214791879,0.124989987
2025-10-09 15:29:49.821880102,0.6780142281660693,0.124989987
2025-10-09 15:29:49.946870089,0.6780142281660649,0.124989987
2025-10-09 15:29:50.071860075,0.6780142281660769,0.124989987
2025-10-09 15:29:50.196850061,0.6780142281660632,0.124989987
2025-10-09 15:29:50.321840048,0.6780142281660739,0.124989987
2025-10-09 15:29:50.446830034,0.6780142281660719,0.124989987
2025-10-09 15:29:50.571820021,0.6780142281660662,0.124989987
2025-10-09 15:29:50.696810007,0.6780142281660682,0.124989987
2025-10-09 15:29:50.821810007,0.6780685473169704,0.124989987
2025-10-09 15:29:50.946899891,1.9046997192620678,0.124989987
2025-10-09 15:29:51.071890116,1.8676622824231366,0.124989987
2025-10-09 15:29:51.196680069,1.6178054782092932,0.124989987
2025-10-09 15:29:51.321670055,1.3218433404098988,0.124989987
2025-10-09 15:29:51.446660042,1.100931241889338,0.124989987
2025-10-09 15:29:51.571660042,0.9939005258520593,0.124989987
2025-10-09 15:29:51.696650028,0.40024266030858674,0.124989987
2025-10-09 15:29:51.821640015,0.40024266030858796,0.124989987
2025-10-09 15:29:51.946630001,0.40024266030858763,0.124989987
2025-10-09 15:29:52.071619987,0.4002426603085866,0.124989987
2025-10-09 15:29:52.196609974,0.40024266030858907,0.124989987
2025-10-09 15:29:52.321599960,0.4002426603085895,0.124989987
2025-10-09 15:29:52.446589947,0.4002426603085821,0.124989987
