Track,Metric_X,Metric_Y,N_Matched,Observed_Pearson_r,Bootstrap_Median_r,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Confidence_Level,Block_Length_Windows,Block_Length_Seconds,Bootstrap_Iterations_Requested,Bootstrap_Iterations_Valid,Random_Seed,Resampling_Method,Band,Channel,Feature
POW_Feature,Delta_Shannon_Entropy,Delta_Flux,181,0.6664202265857507,0.6668794986580426,0.5831506576801688,0.7340932570216804,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F3,POW.F3.Alpha
POW_Feature,Delta_LZC,Delta_Flux,181,0.08780113518280187,0.08982462888037501,-0.0642533912683528,0.23420635128497544,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F3,POW.F3.Alpha
POW_Feature,Delta_Shannon_Entropy,Delta_LZC,181,-0.14192969719719445,-0.14922119333758666,-0.3014318951433735,0.004278557846039967,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F4,POW.F4.Alpha
POW_Feature,Delta_Shannon_Entropy,Delta_Flux,181,0.6101507289240773,0.6123078980098916,0.5159594916159782,0.6885763390307665,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F4,POW.F4.Alpha
POW_Feature,Delta_LZC,Delta_Flux,181,0.12418281327315049,0.12457792198176501,-0.005039500211379262,0.24706633474495843,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F4,POW.F4.Alpha
POW_Feature,Delta_Shannon_Entropy,Delta_LZC,181,-0.06245227175118324,-0.06522458213649748,-0.25139765376146594,0.10751591458070629,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F7,POW.F7.Alpha
POW_Feature,Delta_Shannon_Entropy,Delta_Flux,181,0.6639893887044305,0.6671511716859371,0.5924331103031998,0.727233166834827,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F7,POW.F7.Alpha
POW_Feature,Delta_LZC,Delta_Flux,181,0.11664905075425415,0.11570415024373168,-0.005271458385433476,0.25073438447174373,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F7,POW.F7.Alpha
POW_Feature,Delta_Shannon_Entropy,Delta_LZC,181,-0.2088260240632552,-0.20733030545972347,-0.3689052609904765,-0.057882156309316105,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F8,POW.F8.Alpha
POW_Feature,Delta_Shannon_Entropy,Delta_Flux,181,0.6034788281174266,0.6028767946191403,0.5123782951264607,0.6777392813289842,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F8,POW.F8.Alpha
POW_Feature,Delta_LZC,Delta_Flux,181,0.059260495196250575,0.06695757530201049,-0.06448890527844446,0.1908812393098284,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,F8,POW.F8.Alpha
POW_Feature,Delta_Shannon_Entropy,Delta_LZC,181,-0.1781324875690413,-0.18614388646965924,-0.34055842777391787,-0.02867164405773199,0.95,6,60.0,1000,1000,1919,circular moving-block bootstrap,Alpha,FC1,POW.FC1.Alpha
