Band,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2
Theta,2.7775905,2.7080580000000003,2.1658615,1.29223,1.7845735,1.6946775,1.0729745,0.918772,1.0526075000000001,0.39998849999999997,0.6277539999999999,0.9596135,1.011418,0.2891785,0.718319,1.1034875,1.1842635000000001,1.27809476158402,1.4157955000000002,1.646554,2.3096375,1.7149615,1.4372915,2.470613,2.1468464999999997,2.1010995,2.23603,2.493723,2.934208,2.6751315,2.4262815,2.529862
Alpha,5.3004835,6.0391695,5.9787945,3.748992,4.270272,3.0472515,2.0391715,2.2210475,2.8496375,0.9090185,1.380304,3.0485135000000003,4.262733000000001,1.063426,2.3007755000000003,8.267694500000001,4.1971325,8.912369,10.235692,7.025112999999999,8.672339999999998,6.131991,4.0458110000000005,5.223776,4.0938795,4.236879,4.598478500000001,4.9948665000000005,5.7101365,6.1397575,5.2755015,6.475210000000001
BetaL,1.7365955,1.5291605000000001,1.2431695,0.7959805,1.059778,0.9482635,0.681812,0.5926095,0.5996509999999999,0.26175499999999996,0.5054745,0.748948,0.9568025,0.286006,0.5510625,1.4236415,0.984321,1.58872,1.7675489999999998,1.3053485,1.886244,1.5021650000000002,1.1078695,1.8480325,1.3413135,1.1215540000000002,1.4552019999999999,1.816065,1.6850525,1.606978,1.386929,1.4702229999999998
BetaH,1.7303929999999998,1.3184580000000001,1.1764835,0.7317693679427839,0.9539805,0.8388385,0.5990184999999999,0.524875,0.4195475,0.2187355,0.429842,0.624609,0.7715275,0.21441900000000003,0.4325085,1.2251995,0.7981374999999999,1.419105,1.6629589999999999,0.985552,1.439943,1.263664,0.916511269049172,1.4993825,1.0312275,0.8059280220906551,1.1842380000000001,1.4796285,1.462364,1.407332,1.162254,1.4512299999999998
Gamma,0.22530250000000002,0.183422,0.2958825,0.18934800000000002,0.153367,0.146876,0.114162,0.1039185,0.09393270623328825,0.064118,0.094389,0.125477,0.1333815,0.0593995,0.1468825,0.2825335,0.14321050000000002,0.33865449999999997,0.46996950000000004,0.196958,0.21892050000000002,0.1923185,0.154117,0.1921265,0.1348961174571685,0.1402225,0.1841835,0.192665,0.21406750000000002,0.2316085,0.23296899999999998,0.3404965
