Session,Reference,Band,Channel,Baseline_Median_POW,Session_Median_POW,Fold_Change,Delta_log10,Jensen_Shannon_Distance,Valid_DeltaLog10_All_5_Bands,Valid_JSD_All_5_Bands
MODULATION_DATASET,BASELINE_EC,Gamma,CP2,0.201043,0.154117,0.7665872475,-0.1154384097,0.02936036101,True,True
MODULATION_DATASET,BASELINE_EC,Gamma,CP6,0.299404,0.1921265,0.6416965037,-0.192670327,0.03372770997,True,True
MODULATION_DATASET,BASELINE_EC,Gamma,T8,0.2151865,0.1348961175,0.6268800202,-0.2028155717,0.01270795361,True,True
MODULATION_DATASET,BASELINE_EC,Gamma,FT10,0.178611,0.1402225,0.785072028,-0.1050904962,0.02876911914,True,True
MODULATION_DATASET,BASELINE_EC,Gamma,FC6,0.2675425,0.1841835,0.6884270723,-0.1621420594,0.02003943124,True,True
MODULATION_DATASET,BASELINE_EC,Gamma,C4,0.252416,0.192665,0.763283627,-0.1173140534,0.02146796925,True,True
MODULATION_DATASET,BASELINE_EC,Gamma,FC2,0.2041215,0.2140675,1.048725881,0.02066198605,0.02091689502,True,True
MODULATION_DATASET,BASELINE_EC,Gamma,F4,0.28454,0.2316085,0.813975188,-0.08938883328,0.03388741507,True,True
MODULATION_DATASET,BASELINE_EC,Gamma,F8,0.3236085,0.232969,0.7199100147,-0.1427217849,0.02663191266,True,True
MODULATION_DATASET,BASELINE_EC,Gamma,Fp2,0.3550397897,0.3404965,0.959037578,-0.01816437552,0.03138018793,True,True
