Band,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2
Theta,4.4584600000000005,2.9628680000000003,2.8116250000000003,2.127779,2.9565025,1.978386,1.7272414999999999,1.811607372604425,1.3613244999999998,1.2006489999999999,1.4214864999999999,1.5271460000000001,1.7200593983107901,0.7553559999999999,0.8876925,1.8849589999999998,1.6157664999999999,1.9985300000000001,2.098067,2.0245995,3.0206195,1.8853475,1.553967,3.0740728405514997,2.971273,2.3570219999999997,3.072299,2.7018625,2.2501185,3.1928970000000003,3.3657174999999997,3.2086255
Alpha,9.229986,5.441594,6.531865,4.719561,6.3242975,3.5312205,3.403608,3.480738,2.7319994999999997,2.103486,3.0818054999999998,5.0868115,5.7144075,2.6598655,4.0493115,9.146090000000001,5.560874,9.6402485,11.335223,10.6500555,16.932248,6.537014,4.9651425,7.623535,5.417658,4.292072,5.725287097801045,5.307022839549505,4.0816055,6.0828065,6.3259665,7.0002595
BetaL,2.578196,1.536663,1.5082365,1.183842,1.6035154999999999,1.0800155,1.0746905,1.068165,0.7317895,0.688502,1.0149995,1.169816,1.3961265,0.638953,0.8443265,1.721347,1.269061,1.8357364999999999,2.0392175000000003,1.885485,2.7717295,1.4941119999999999,1.179065,2.2835275,1.8583794999999999,1.3240370000000001,1.8044345,1.7776315,1.267392422285845,1.7591489999999999,1.8361405,1.687585
BetaH,2.4202339999999998,1.2502825,1.3173534999999998,1.0719805,1.4183050000000001,0.878682,0.8979815346645246,0.9063315000000001,0.535850504866025,0.555781846923812,0.8861965,0.9756335,1.1903405,0.5255004999999999,0.7010065,1.512213,1.0573890000000001,1.6180205,1.848736,1.579609,2.3095285,1.2447650000000001,0.976116,1.9191535000000002,1.389751,0.9423919999999999,1.45627,1.4586009999999998,1.0355815,1.42853973620616,1.4585751583046,1.4653580000000002
Gamma,0.4465655,0.225257141263552,0.335643,0.27324800000000005,0.276646,0.17960949999999998,0.18573699999999999,0.1853475,0.1271085,0.12053900000000001,0.17718050000000002,0.202954,0.22719250000000002,0.12920399999999999,0.269095,0.3545515,0.2202155,0.4154455,0.5907279999999999,0.5402365,0.4122715,0.2441605,0.201043,0.299404,0.2151865,0.178611,0.2675425,0.252416,0.2041215,0.28454,0.3236085,0.35503978968997896
