Band,Cz,Fz,Fp1,F7,F3,FC1,C3,FC5,FT9,T7,CP5,CP1,P3,P7,PO9,O1,Pz,Oz,O2,PO10,P8,P4,CP2,CP6,T8,FT10,FC6,C4,FC2,F4,F8,Fp2
Theta,-0.2055166565205396,-0.0390543418300621,-0.11332671484130145,-0.2165866990659171,-0.21924381092413672,-0.0672239666636821,-0.20676366336433818,-0.2948563280399758,-0.11169520055234534,-0.4773685583049752,-0.3549532508230808,-0.20178420990611012,-0.23061276611582057,-0.41698568261875646,-0.09194519664359013,-0.23253449028786974,-0.13493025541298864,-0.19414761700855815,-0.17081882528442718,-0.08976314695632069,-0.11655219944068329,-0.04113703460691958,-0.03389693468655675,-0.09490943166630485,-0.141141563136866,-0.04991701675517772,-0.13798585347677117,-0.03481503277615029,0.11528550649372293,-0.07683977355188558,-0.14213647405112115,-0.10322219891920072
Alpha,-0.24088555536813094,0.045251083296096284,-0.038423573864270255,-0.09998709000970779,-0.1705567524954677,-0.06401653756168219,-0.22248578308295078,-0.1951134879614637,0.01830900175817184,-0.36436690395570587,-0.3488304793665482,-0.2223575218608451,-0.1272830760309249,-0.3981524021535252,-0.24550694277011628,-0.04385105002664556,-0.12219037506459147,-0.03409506965115271,-0.044312859354412086,-0.1806985566682134,-0.290578324700781,-0.02777790631060046,-0.08892612644932027,-0.16417185275874113,-0.1216765304833077,-0.005620937427466224,-0.09518310920419604,-0.026327071546322467,0.14581546363587378,0.0040472169402188864,-0.07886313686443164,-0.03386028188138016
BetaL,-0.17161725896134597,-0.0021255632325839157,-0.08393910012173977,-0.17239131519794465,-0.1798582625640739,-0.056500954098676025,-0.19761876922511776,-0.255869734283074,-0.08648761150662322,-0.4200102199079455,-0.3027665769668301,-0.19366589170493323,-0.16410246915228616,-0.3490937694644673,-0.18530956210117325,-0.0824677875176957,-0.11034574718288585,-0.06276298028939498,-0.06209208732313251,-0.15969660727081986,-0.16715297279751457,0.0023344850185544716,-0.0270491414572627,-0.09189664151212626,-0.14160411038583737,-0.07207993295463067,-0.09341783908464639,0.009289651134674592,0.1237023302681156,-0.03929269459243144,-0.1218516808668564,-0.05988244400624974
BetaH,-0.1457126081414565,0.02305814725603543,-0.04911648898941708,-0.16581265948820154,-0.17223013640643367,-0.02015337489521478,-0.1758271710095326,-0.23723118672898905,-0.1062625066704142,-0.404985084425177,-0.31422118218696476,-0.19367846642690756,-0.18831979974786103,-0.3893098673511182,-0.20972739794539663,-0.091406156329322,-0.12215707178718552,-0.056969489512485635,-0.04599335633008203,-0.2048700559132165,-0.20517802495643703,0.006544244800526725,-0.027363622327564844,-0.10719727469441985,-0.12958250927012127,-0.06793533427756364,-0.08980291021490609,0.0062161809525364785,0.14987120376197563,-0.006495762412075508,-0.09862776309106834,-0.00420749206365016
Gamma,-0.29711915727899507,-0.08922714358140593,-0.05475831466043785,-0.15929626965782326,-0.2561924727127889,-0.08737846736627293,-0.21137685803761364,-0.2512938632290356,-0.13135775897812835,-0.2741476170417525,-0.27349453792036665,-0.2088334884984836,-0.23129839333817462,-0.33749316981217653,-0.2629355725113027,-0.09860937757312119,-0.18687302276633747,-0.08875720832974224,-0.09931788244976396,-0.4382102974934786,-0.27489688203626234,-0.10365434260913182,-0.1154384096897988,-0.19267032695305575,-0.20281557172195816,-0.10509049619147416,-0.16214205941621196,-0.11731405344112446,0.020661986045822815,-0.08938883327913777,-0.14272178488939422,-0.018164375518736627
