Session,Path,n_time,n_dim,n_channels,Standardised_Flux_Definition,STD_L2_Flux_mean_per_s,STD_L2_Flux_median_per_s,STD_L2_Flux_p25_per_s,STD_L2_Flux_p75_per_s,STD_L2_Flux_IQR_per_s,STD_L2_n_steps,STD_L2_dt_s,STD_REG_L2_Flux_mean_per_s,STD_REG_L2_Flux_median_per_s,STD_REG_L2_Flux_p25_per_s,STD_REG_L2_Flux_p75_per_s,STD_REG_L2_Flux_IQR_per_s,STD_REG_L2_n_steps,STD_REG_L2_dt_s
BASELINE_EC,C:\Users\Mike\Desktop\Influence Warfare - Course\Paper 01\NEW-BASELINE-resting-eyes-closed-2025-10-05.xlsx,14538,160,32,L2 velocity after baseline-only median/IQR scaling,22.854660232832916,20.129378130479065,15.840861969872774,26.20732078192572,10.366458812052946,14537,0.124989987,10.083292031527836,9.222906354293588,7.085575792842739,12.072074307951851,4.986498515109112,14537,0.124989987
MODULATION_DATASET,C:\Users\Mike\Desktop\Influence Warfare - Course\Paper 01\NEW-CLEANED-CROP-XLSX-Influence-Paper-resting-eyes-closed-2025-10-09.xlsx,14538,160,32,L2 velocity after baseline-only median/IQR scaling,16.29793700272383,15.067534275879208,12.047119486514715,18.838361682518745,6.7912421960040295,14537,0.124989987,7.604907854498094,7.1733127492709245,5.686234180380012,9.034294251725383,3.3480600713453708,14537,0.124989987
