Scope,Dimension,Baseline_Median,Baseline_Q25,Baseline_Q75,Applied_Scale,Scale_Source,NearZero_Guard_Applied
Whole_State,Alpha.P4,6.537014,3.24700875,12.330198750000001,9.083190000000002,baseline_IQR,False
Whole_State,Alpha.CP2,4.9651425,2.641361,9.168406000000001,6.527045000000001,baseline_IQR,False
Whole_State,Alpha.CP6,7.623535,4.651804,12.24491725,7.59311325,baseline_IQR,False
Whole_State,Alpha.T8,5.417658,3.5717585,8.06322825,4.49146975,baseline_IQR,False
Whole_State,Alpha.FT10,4.292072,2.73464675,6.41496175,3.680315,baseline_IQR,False
Whole_State,Alpha.FC6,5.725287097801045,3.7159022093665874,8.89197875,5.176076540633412,baseline_IQR,False
Whole_State,Alpha.C4,5.307022839549505,3.29775525,8.53174375,5.233988500000001,baseline_IQR,False
Whole_State,Alpha.FC2,4.0816055,2.56624975,6.40120875,3.8349590000000005,baseline_IQR,False
Whole_State,Alpha.F4,6.0828065,3.849186,9.7522245,5.903038500000001,baseline_IQR,False
Whole_State,Alpha.F8,6.3259665,4.1040095,9.612871,5.5088615,baseline_IQR,False
Whole_State,Alpha.Fp2,7.0002595,4.317759000000001,10.94772575,6.6299667499999995,baseline_IQR,False
Whole_State,BetaL.Cz,2.578196,1.72583625,3.81156825,2.085732,baseline_IQR,False
Whole_State,BetaL.Fz,1.536663,1.0224445,2.30578325,1.2833387500000002,baseline_IQR,False
Whole_State,BetaL.Fp1,1.5082365,1.0250435,2.2335397500000003,1.2084962500000003,baseline_IQR,False
Whole_State,BetaL.F7,1.183842,0.8001162500000001,1.779568,0.97945175,baseline_IQR,False
Whole_State,BetaL.F3,1.6035154999999999,1.06777875,2.3743842500000003,1.3066055000000003,baseline_IQR,False
Whole_State,BetaL.FC1,1.0800155,0.7264912499999999,1.5921572499999999,0.8656659999999999,baseline_IQR,False
Whole_State,BetaL.C3,1.0746905,0.7139821108024933,1.5960590000000001,0.8820768891975068,baseline_IQR,False
Whole_State,BetaL.FC5,1.068165,0.7024724999999999,1.5936635,0.891191,baseline_IQR,False
Whole_State,BetaL.FT9,0.7317895,0.489328,1.0979385,0.6086104999999999,baseline_IQR,False
Whole_State,BetaL.T7,0.688502,0.45204725,1.027227,0.5751797499999999,baseline_IQR,False
Whole_State,BetaL.CP5,1.0149995,0.68333975,1.5066255,0.8232857499999999,baseline_IQR,False
Whole_State,BetaL.CP1,1.169816,0.7801075,1.72448225,0.9443747500000002,baseline_IQR,False
Whole_State,BetaL.P3,1.3961265,0.9186945,2.04891475,1.1302202499999998,baseline_IQR,False
Whole_State,BetaL.P7,0.638953,0.42424,0.940844,0.5166040000000001,baseline_IQR,False
Whole_State,BetaL.PO9,0.8443265,0.5657325,1.22368675,0.65795425,baseline_IQR,False
