Session,Path,n_time,n_dim,n_channels,channels,Native_Flux_Definition,Standardised_Flux_Definition,L2_Flux_mean_per_s,L2_Flux_median_per_s,L2_Flux_p25_per_s,L2_Flux_p75_per_s,L2_Flux_IQR_per_s,L2_n_steps,L2_dt_s,COS_Flux_mean_per_s,COS_Flux_median_per_s,COS_Flux_p25_per_s,COS_Flux_p75_per_s,COS_Flux_IQR_per_s,COS_n_steps,COS_dt_s,STD_L2_Flux_mean_per_s,STD_L2_Flux_median_per_s,STD_L2_Flux_p25_per_s,STD_L2_Flux_p75_per_s,STD_L2_Flux_IQR_per_s,STD_L2_n_steps,STD_L2_dt_s,REG_L2_Flux_mean_per_s,REG_L2_Flux_median_per_s,REG_L2_Flux_p25_per_s,REG_L2_Flux_p75_per_s,REG_L2_Flux_IQR_per_s,REG_L2_n_steps,REG_L2_dt_s,REG_COS_Flux_mean_per_s,REG_COS_Flux_median_per_s,REG_COS_Flux_p25_per_s,REG_COS_Flux_p75_per_s,REG_COS_Flux_IQR_per_s,REG_COS_n_steps,REG_COS_dt_s,STD_REG_L2_Flux_mean_per_s,STD_REG_L2_Flux_median_per_s,STD_REG_L2_Flux_p25_per_s,STD_REG_L2_Flux_p75_per_s,STD_REG_L2_Flux_IQR_per_s,STD_REG_L2_n_steps,STD_REG_L2_dt_s
BASELINE_EC,C:\Users\Mike\Desktop\Influence Warfare - Course\Paper 01\NEW-BASELINE-resting-eyes-closed-2025-10-05.xlsx,14538,160,32,Cz;Fz;Fp1;F7;F3;FC1;C3;FC5;FT9;T7;CP5;CP1;P3;P7;PO9;O1;Pz;Oz;O2;PO10;P8;P4;CP2;CP6;T8;FT10;FC6;C4;FC2;F4;F8;Fp2,L2 state displacement in native POW units divided by per-step dt,L2 velocity after baseline-only median/IQR scaling,62.08542401707083,52.70753597852335,34.18680836925613,79.22731802275759,45.04050965350146,14537,0.124989987,0.050745366987128115,0.03858288129865136,0.022611045069116154,0.06386509052637532,0.041254045457259164,14537,0.124989987,22.854660232832916,20.129378130479065,15.840861969872774,26.20732078192572,10.366458812052946,14537,0.124989987,25.147934048963133,20.634420008124884,13.024089633346751,32.712347716964146,19.688258083617395,14537,0.124989987,0.04268306599235828,0.031321144116465485,0.017168063005024017,0.05510589500800154,0.037937832002977526,14537,0.124989987,10.083292031527836,9.222906354293588,7.085575792842739,12.072074307951851,4.986498515109112,14537,0.124989987
MODULATION_DATASET,C:\Users\Mike\Desktop\Influence Warfare - Course\Paper 01\NEW-CLEANED-CROP-XLSX-Influence-Paper-resting-eyes-closed-2025-10-09.xlsx,14538,160,32,Cz;Fz;Fp1;F7;F3;FC1;C3;FC5;FT9;T7;CP5;CP1;P3;P7;PO9;O1;Pz;Oz;O2;PO10;P8;P4;CP2;CP6;T8;FT10;FC6;C4;FC2;F4;F8;Fp2,L2 state displacement in native POW units divided by per-step dt,L2 velocity after baseline-only median/IQR scaling,44.105732992663086,38.86567758666867,27.30725119059867,55.04666358665071,27.73941239605204,14537,0.124989987,0.04860037025870454,0.03961562143279807,0.024469460750133582,0.061331167825581706,0.03686170707544813,14537,0.124989987,16.29793700272383,15.067534275879208,12.047119486514715,18.838361682518745,6.7912421960040295,14537,0.124989987,19.281520749297997,16.563238539926452,11.1006138765988,24.562053840049774,13.461439963450974,14537,0.124989987,0.040085938552707326,0.03180488425696748,0.018002551414098237,0.05244756157065756,0.03444501015655932,14537,0.124989987,7.604907854498094,7.1733127492709245,5.686234180380012,9.034294251725383,3.3480600713453708,14537,0.124989987
