Track,N_Matched,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,DeltaEntropy_Mean,DeltaEntropy_Median,DeltaEntropy_Q25,DeltaEntropy_Q75,DeltaLZC_Mean,DeltaLZC_Median,DeltaLZC_Q25,DeltaLZC_Q75,DeltaFlux_Mean,DeltaFlux_Median,DeltaFlux_Q25,DeltaFlux_Q75,Corr_DeltaEntropy_DeltaLZC,Corr_DeltaEntropy_DeltaFlux,Corr_DeltaLZC_DeltaFlux,N_Hplus_LZCminus_Fluxplus,N_Hplus_LZCminus_Fluxminus,Pct_Hplus_LZCminus,N_H-_LZC-_Flux-,N_H-_LZC-_Flux+,N_H-_LZC+_Flux-,N_H-_LZC+_Flux+,N_H+_LZC-_Flux-,N_H+_LZC-_Flux+,N_H+_LZC+_Flux-,N_H+_LZC+_Flux+,Region
RAW_RegionMedian,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.25436470476629847,-0.16415928300000004,-0.4559604640000001,-0.028203584999999975,0.021109656592099485,0.026535768999999987,-0.017690512699999994,0.05731785809999995,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.5818026374482119,0.16598943384205062,0.05663142209344402,8,15,12.707182320441989,33,6,82,20,15,8,5,9,Central
RAW_RegionMedian,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.22080819579116012,-0.16237456299999997,-0.32782247500000006,-0.037284531999999926,0.022966946473314917,0.017690512700000327,-0.008845256299999826,0.04864890979999997,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.5683355032438591,0.1312122417839025,-0.011813055657669424,8,16,13.259668508287293,20,7,94,23,16,8,6,7,Frontal
RAW_RegionMedian,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.17564504733977923,-0.13435119600000167,-0.3921169999999998,0.05986471399999993,-0.01419505166093918,-0.013267884499999993,-0.05288920230000016,0.026535768999999876,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.6065334924023139,0.4517613377965747,-0.23751701928488717,28,24,28.7292817679558,45,8,62,6,24,28,3,2,Occipital
RAW_RegionMedian,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.3181267939171272,-0.2842038979999999,-0.4767636179999988,-0.09806164699999997,0.014073121045138127,0.013267884399999985,-0.013267884500000049,0.044226281600000084,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.5722274308640903,0.3116078041759349,-0.07300771777257088,14,9,12.707182320441989,28,9,95,17,9,14,1,3,Parietal
RAW_RegionMedian,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.2542068388314917,-0.19717578300000005,-0.38135197949999844,-0.042477047049999994,0.023528621535773505,0.024324454899999903,-0.019895045700000002,0.06191679425000002,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.6096819120185073,0.04713504585999182,0.11779058624574495,6,15,11.602209944751381,31,7,83,28,15,6,6,3,Temporal
