Track,N_Matched,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,DeltaEntropy_Mean,DeltaEntropy_Median,DeltaEntropy_Q25,DeltaEntropy_Q75,DeltaLZC_Mean,DeltaLZC_Median,DeltaLZC_Q25,DeltaLZC_Q75,DeltaFlux_Mean,DeltaFlux_Median,DeltaFlux_Q25,DeltaFlux_Q75,Corr_DeltaEntropy_DeltaLZC,Corr_DeltaEntropy_DeltaFlux,Corr_DeltaLZC_DeltaFlux,N_Hplus_LZCminus_Fluxplus,N_Hplus_LZCminus_Fluxminus,Pct_Hplus_LZCminus,N_H-_LZC-_Flux-,N_H-_LZC-_Flux+,N_H-_LZC+_Flux-,N_H-_LZC+_Flux+,N_H+_LZC-_Flux-,N_H+_LZC-_Flux+,N_H+_LZC+_Flux-,N_H+_LZC+_Flux+,Analysis,Band
POW_BandMedian,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.5312607031160224,-0.4852647959999996,-0.7883144280000001,-0.2427445450000003,0.02225812411546951,0.0,-0.07902410119999925,0.07902410120000003,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.06308192850650508,0.3142718843037089,0.2679431197280141,2,2,2.2099447513812156,51,4,54,21,2,2,1,5,POW_BandMedian,
RAW_ChannelMedian,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,-0.23997928619751385,-0.1999556010000001,-0.32344371799999716,-0.06991012900000126,0.013853315431049734,0.011056570450000525,-0.013267884499999327,0.0355377435499995,-5.099788631830462,-4.734754845060504,-10.34247803699239,-0.2718717021076813,-0.5821378238638825,0.22184414919791157,-0.047656613540305676,15,10,13.812154696132596,26,11,99,14,10,15,1,4,RAW_ChannelMedian,
POW_Band_MatchingBandFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_MatchingBand_L2_Native,Script18_MatchingBand_L2_Native,True,False,-0.4017108970497236,-0.4115303560000001,-0.7701746460000001,0.03622276500000021,0.00743048848342517,0.0,-0.07902410120000003,0.15804820239999373,-12.449253224388947,-12.323822978187557,-25.671476606541063,-0.49318303955662657,-0.12023544698122086,0.6524867302935965,0.17184830625249117,12,9,11.602209944751381,49,0,52,9,9,12,3,13,POW_MatchingBandFlux,Alpha
POW_Band_MatchingBandFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_MatchingBand_L2_Native,Script18_MatchingBand_L2_Native,True,False,-0.47092014122651954,-0.4305518709999898,-0.7620401659999954,-0.18796765299999985,0.04278236226187839,0.07902410110000002,-0.07902410120000003,0.15804820239999995,-1.1086191096187812,-1.2258474986276244,-2.0057334976586345,-0.16348439903588918,-0.170339259752027,0.6319516245295148,0.09877437312495525,7,8,8.287292817679559,38,7,72,15,8,7,3,4,POW_MatchingBandFlux,BetaH
POW_Band_MatchingBandFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_MatchingBand_L2_Native,Script18_MatchingBand_L2_Native,True,False,-0.5828436605801108,-0.5476128619999998,-0.9289408299999997,-0.2716032789999998,0.01613742735414366,0.0,-0.07902410120000075,0.15804820239999995,-2.0058467968546982,-1.9929791111135398,-4.152094044105066,-0.16404970626353332,-0.11888931184927867,0.5281907662165577,0.22037483756675316,7,8,8.287292817679559,57,6,59,16,8,7,3,7,POW_MatchingBandFlux,BetaL
POW_Band_MatchingBandFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_MatchingBand_L2_Native,Script18_MatchingBand_L2_Native,True,False,-0.5455633487624307,-0.534176043000004,-0.931362987,-0.2342402189999997,0.013987782483977813,0.0,-0.07902410120000003,0.15804820229999994,-0.2664647890766033,-0.27774716426300394,-0.3968267729626801,-0.16765520966243563,-0.2999580776218597,0.5714847716494746,-0.03559872660667582,5,8,7.18232044198895,55,4,70,6,8,5,4,3,POW_MatchingBandFlux,Gamma
POW_Band_MatchingBandFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_MatchingBand_L2_Native,Script18_MatchingBand_L2_Native,True,False,-0.5903345846270718,-0.5752154590000003,-0.9364780490000038,-0.2540182310000034,0.03272395496574575,7.771561172376096e-16,-0.07902410119999997,0.1580482023999969,-4.228881834108812,-3.448662031325341,-6.711973376065604,-0.6270745588837272,-0.30178441335931855,0.5248515451627624,-0.07433664797770007,9,4,7.18232044198895,43,9,68,13,4,9,6,5,POW_MatchingBandFlux,Theta
POW_BandMedian_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.5312607031160224,-0.4852647959999996,-0.7883144280000001,-0.2427445450000003,0.02225812411546951,0.0,-0.07902410119999925,0.07902410120000003,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.06308192850650508,0.5909959334113909,0.15805319062514547,3,1,2.2099447513812156,51,4,69,6,1,3,3,3,POW_BandMedian_BaselineStandardisedFlux,
RAW_ChannelMedian_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.23997928619751385,-0.1999556010000001,-0.32344371799999716,-0.06991012900000126,0.013853315431049734,0.011056570450000525,-0.013267884499999327,0.0355377435499995,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.5821378238638825,0.3640279636381509,0.06483214148039945,8,17,13.812154696132596,33,4,109,4,17,8,3,2,RAW_ChannelMedian_BaselineStandardisedFlux,
