Track,Matched_Index,Progress_0_to_1,Baseline_Shannon_Entropy,Modulation_Shannon_Entropy,Delta_Shannon_Entropy_ModMinusBase,Baseline_Lempel_Ziv_Complexity,Modulation_Lempel_Ziv_Complexity,Delta_Lempel_Ziv_Complexity_ModMinusBase,Baseline_RegionalFlux_L2_per_s,Modulation_RegionalFlux_L2_per_s,Delta_RegionalFlux_L2_ModMinusBase,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,Band,Channel,Feature
POW_Feature,16,0.08888888888888889,3.25310123,2.601563304,-0.651537926,0.5531687083,0.6321928095,0.07902410120000003,18.326733642877187,18.902145706868122,0.5754120639909353,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,17,0.09444444444444444,3.276407081,2.666279299,-0.6101277819999997,0.6321928095,0.6321928095,0.0,12.903712182760625,17.904218414310932,5.0005062315503075,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,18,0.1,3.3545779,2.188130134,-1.1664477659999997,0.5531687083,0.4741446071,-0.07902410119999997,14.587284459738896,10.291073024087432,-4.296211435651465,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,19,0.10555555555555556,3.402943473,2.540862128,-0.862081345,0.6321928095,0.3951205059,-0.23707230360000003,13.075441788469846,15.613843415022771,2.5384016265529254,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,20,0.11111111111111112,3.831643966000001,2.5744810329999988,-1.2571629330000023,0.3951205059000006,0.4741446071000006,0.07902410120000003,16.63164983842619,12.109990910348325,-4.521658928077864,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,21,0.11666666666666667,4.133783409,2.121090391,-2.0126930180000002,0.6321928095,0.7112169107,0.07902410120000003,32.96273819672905,14.449259992659567,-18.513478204069482,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,22,0.12222222222222223,4.156521226999997,2.303448452,-1.8530727749999971,0.7902410118999997,0.4741446070999998,-0.31609640479999995,21.031422045397097,12.796834058483004,-8.234587986914093,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,23,0.1277777777777778,3.183940448000002,2.386800834000004,-0.797139613999998,0.7112169106999993,0.39512050590000036,-0.3160964047999989,17.1887039308281,18.383637043128733,1.1949331123006317,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,24,0.13333333333333333,3.631523291,3.162769518,-0.468753773,0.5531687083,0.4741446071,-0.07902410119999997,25.91609104728608,18.348322611521418,-7.567768435764663,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,25,0.1388888888888889,3.785240123,2.966919108,-0.818321015,0.6321928095,0.7902410119,0.15804820239999995,26.508612439841496,17.592726778767325,-8.91588566107417,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,26,0.14444444444444446,3.7813553709999974,2.8244179779999974,-0.956937393,0.869265112999998,0.6321928095000005,-0.23707230349999753,24.861268812819343,16.84502120368899,-8.016247609130353,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,27,0.15,3.276837015,2.325384597,-0.9514524179999997,0.4741446071,0.7112169107,0.23707230360000003,15.283014371896591,11.652510628441611,-3.6305037434549803,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
POW_Feature,28,0.15555555555555556,2.962090678,2.647547289,-0.31454338900000023,0.6321928095,0.7112169107,0.07902410120000003,12.40367616883346,14.977786822107225,2.574110653273765,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_Native,Script18_Regionalised_L2_Native,True,False,Alpha,C3,POW.C3.Alpha
