Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,O2,0.3584440393343782
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,PO9,0.14734055972247148
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fp2,PO10,0.32079436524355687
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,F3,0.765820388837186
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,Fz,0.6820706804977836
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,F4,0.6364125523124742
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,F8,0.5269780617805243
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,FC1,0.6655394467251017
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,FC2,0.6318312858655211
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,FC5,0.7849578897418426
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,FC6,0.5836191247046426
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,C3,0.6193552512993066
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,Cz,0.5608792934632981
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,C4,0.5411472067919088
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,FT9,0.7327629699082677
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,FT10,0.4137946769172178
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,T7,0.7475407970647258
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,T8,0.4555164010624465
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,CP1,0.4241678278061275
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,CP2,0.4395056107239299
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,CP5,0.5272475297796738
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,CP6,0.41035437837723593
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,P3,0.4013067343424022
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,Pz,0.4112814849745094
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,P4,0.4168647143235256
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,P7,0.10615064791244283
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,P8,0.2357161757289545
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,O1,0.28278201911383605
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,Oz,0.30283825179860785
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,O2,0.2931225649580636
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,PO9,0.044123383285347255
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F7,PO10,0.21748680079267224
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,Fz,0.9148361093175077
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,F4,0.8186683908856012
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,F8,0.6084114615471189
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,FC1,0.8804175352271584
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,FC2,0.8413110786169311
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,FC5,0.8733648500801847
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,FC6,0.7323628537522414
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,C3,0.7895244240400608
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,Cz,0.7818360943603946
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,C4,0.7184062999025286
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,FT9,0.5299606426620179
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,FT10,0.441191645272031
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,T7,0.7672207256144561
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,T8,0.5490189776400473
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,CP1,0.5756434331043577
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,CP2,0.5935394140781229
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,CP5,0.6637891258659335
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,CP6,0.5392248411862566
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,P3,0.5561800229245876
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,Pz,0.5619390530695548
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,P4,0.5640018062612251
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,P7,0.2501594677242911
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,P8,0.31338730616533705
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,O1,0.40320241293880116
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,Oz,0.41746154410218017
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,O2,0.4007762465862025
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,PO9,0.14215963485501162
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F3,PO10,0.27417366723089465
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,F4,0.8954212405580455
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,F8,0.6705285045477735
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,FC1,0.9165444912733177
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,FC2,0.9204835412422132
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,FC5,0.8279343346936162
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,FC6,0.8159958571155616
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,C3,0.8058383669677912
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,Cz,0.8401331223140975
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,C4,0.8077718319950632
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,FT9,0.4733273061306589
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,FT10,0.494406804789625
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,T7,0.7395652366117854
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,T8,0.63071500494786
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,CP1,0.6372463671080297
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,CP2,0.6595120139797603
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,CP5,0.6682402746709838
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,CP6,0.6286100814838649
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,P3,0.6060398750853553
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,Pz,0.6239087904445659
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,P4,0.6339765568423098
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,P7,0.2841895034599848
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,P8,0.3816453324292611
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,O1,0.4587061947679826
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,Oz,0.47711358248415636
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,O2,0.46329853200655335
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,PO9,0.2015995934350537
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,Fz,PO10,0.3352904539996454
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,F8,0.7854000547484975
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,FC1,0.8403251383816257
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,FC2,0.9087386359280041
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,FC5,0.7449402512036798
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,FC6,0.9066539343137842
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,C3,0.7334822498556619
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,Cz,0.7791904158884407
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,C4,0.8360514946457662
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,FT9,0.4480110954542827
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,FT10,0.6025950959228955
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,T7,0.6645991489744162
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,T8,0.7307227823664518
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,CP1,0.6102832736759729
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,CP2,0.6382119936503653
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,CP5,0.5920030362354275
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,CP6,0.6878718997941716
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,P3,0.5661183387804576
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,Pz,0.597916464494414
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,P4,0.6208047005796686
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,P7,0.23327679183953137
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,P8,0.4251454108707051
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,O1,0.4406156249025304
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,Oz,0.4647331557905939
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,O2,0.46201146785698394
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,PO9,0.2129073327999806
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F4,PO10,0.3763132420204382
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,FC1,0.6228458148007296
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,FC2,0.7053835637186775
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,FC5,0.5599737729882948
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,FC6,0.8461267932037275
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,C3,0.5376745914287371
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,Cz,0.56775489937114
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,C4,0.6896167551736989
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,FT9,0.41240627290858867
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,FT10,0.8017594996691499
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,T7,0.5070482155976478
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,T8,0.8006164957225345
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,CP1,0.47139485415387467
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,CP2,0.4977294046722533
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,CP5,0.41015236963393364
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,CP6,0.6391649975734633
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,P3,0.41711633772704865
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,Pz,0.4615175791611783
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,P4,0.49437798023250196
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,P7,0.10335712989414583
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,P8,0.42812139301738367
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,O1,0.34129297622411686
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,Oz,0.3743847259537297
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,O2,0.38223082397238695
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,PO9,0.18446716982863576
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,F8,PO10,0.39108541173956746
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,FC2,0.9156652665262046
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,FC5,0.8688578189864646
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,FC6,0.7898407056308467
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,C3,0.8942335756770442
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,Cz,0.8755721230506409
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,C4,0.8363120780567684
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,FT9,0.4651838077081252
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,FT10,0.4630415536482213
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,T7,0.7876389518516137
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,T8,0.6174241021633375
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,CP1,0.7335320877152743
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,CP2,0.7522247554091587
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,CP5,0.7699674437658515
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,CP6,0.6607463196889386
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,P3,0.7119374969975392
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,Pz,0.7212414107346846
BASELINE_EC,Raw EEG Phase-Locking Value,Theta,,FC1,P4,0.7207911141317657
