Dataset,Metric,Band,Envelope_Band,Channel_A,Channel_B,Value
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,F8,0.40936853939829193
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,FC1,0.4524275683964554
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,FC2,0.42580650134470466
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,FC5,0.6894359773436961
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,FC6,0.3888101516336578
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,C3,0.3939184795664085
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,Cz,0.3474596506191022
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,C4,0.29851222131476746
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,FT9,0.5882044625215072
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,FT10,0.26242517184780456
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,T7,0.5921669285605276
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,T8,0.2875935740746566
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,CP1,0.12000342846940425
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,CP2,0.16284788538481415
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,CP5,0.21072859152589601
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,CP6,0.18036036486372856
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,P3,0.009057388767753423
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,Pz,0.09629265769236327
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,P4,0.10582524258369183
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,P7,0.23749849529970052
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,F7,P8,0.03600553201523941
