Metric,Band,Envelope_Band,N_Edges,Mean_Baseline,Mean_Modulation,Mean_Delta,Median_Delta,Mean_Abs_Delta,Max_Abs_Delta
Band-Power Envelope Coherence Change,Gamma,Fast,496,0.12136510631351012,0.09884384560036306,-0.022521260713147053,-0.010847330810886464,0.0739670365285052,0.44505140519351793
Band-Power Envelope Coherence Change,Gamma,Medium,496,0.12135535673630286,0.09882754791503343,-0.02252780882126943,-0.010857223319859447,0.07394572926764928,0.44500402952207696
Band-Power Envelope Coherence Change,Gamma,Slow,496,0.1217813448877328,0.10022498562582159,-0.021556359261911212,-0.009979719148711213,0.07553389615460565,0.45348053503272595
Band-Power Envelope Coherence Change,Gamma,UltraSlow,496,0.11687136047174528,0.09013241746238006,-0.026738943009365208,-0.011027199083761517,0.06514604654164884,0.4210101471282558
