Metric,Band,Envelope_Band,N_Edges,Mean_Baseline,Mean_Modulation,Mean_Delta,Median_Delta,Mean_Abs_Delta,Max_Abs_Delta
Band-Power Envelope Coherence Change,Alpha,Fast,496,0.2667422383576413,0.2032753548726214,-0.0634668834850199,-0.04377582171854476,0.10466918997235555,0.5433163462620667
Band-Power Envelope Coherence Change,Alpha,Medium,496,0.2666983888341079,0.20327890089358258,-0.06341948794052532,-0.04376628323526449,0.10459044796831216,0.5432689538463926
Band-Power Envelope Coherence Change,Alpha,Slow,496,0.26735917798491227,0.20421291798970462,-0.06314625999520763,-0.045212970145181705,0.10544515150899993,0.5446883339445157
Band-Power Envelope Coherence Change,Alpha,UltraSlow,496,0.25470340242834416,0.20079939426012303,-0.05390400816822114,-0.028451653452275988,0.08978620567287166,0.5302108359046331
