Dataset,Metric,Band,Envelope_Band,N_Edges,Mean,Median,SD,Min,P10,P25,P75,P90,Max
BASELINE_EC,Band-Power Envelope Coherence,Theta,Fast,496,0.36594103227354335,0.35836684865155033,0.16807763768261416,0.06466554342274851,0.16937237730937754,0.22454710142405232,0.47167594225374965,0.5943472872266194,0.9155287158228811
BASELINE_EC,Band-Power Envelope Coherence,Theta,Medium,496,0.365921590215495,0.3583299326619718,0.16807331396200106,0.06467804368582757,0.16933491818259708,0.22453080156270183,0.47164666352272105,0.5942938167623646,0.9155304058461196
BASELINE_EC,Band-Power Envelope Coherence,Theta,Slow,496,0.3693003415202855,0.36140582934778315,0.168025794631517,0.06357142901317663,0.17417737927590507,0.22846806114858886,0.47248217016694566,0.5954207281234618,0.916100489684764
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,496,0.3514137234348492,0.336590375084707,0.1728753461918121,0.05972729443422895,0.1495307553262592,0.20585776186928573,0.45294414096194047,0.5945495844588147,0.9103044893471967
