Metric,Band,Envelope_Band,Channel_A,Channel_B,Baseline,Modulation,Delta,Abs_Delta,Percent_Change
Raw EEG Phase-Locking Value Change,Theta,,F3,O2,0.4007762465862025,0.1330213760096495,-0.267754870576553,0.267754870576553,-66.8090668689273
Raw EEG Phase-Locking Value Change,Theta,,F3,PO9,0.14215963485501162,0.35719169345211726,0.21503205859710564,0.21503205859710564,151.26098123170934
Raw EEG Phase-Locking Value Change,Theta,,F3,PO10,0.27417366723089465,0.04725526998277528,-0.22691839724811935,0.22691839724811935,-82.76447535605985
Raw EEG Phase-Locking Value Change,Theta,,Fz,F4,0.8954212405580455,0.8638032644412066,-0.03161797611683892,0.03161797611683892,-3.531072827481055
Raw EEG Phase-Locking Value Change,Theta,,Fz,F8,0.6705285045477735,0.5289832574594777,-0.14154524708829574,0.14154524708829574,-21.109504835108915
Raw EEG Phase-Locking Value Change,Theta,,Fz,FC1,0.9165444912733177,0.8712784683477309,-0.04526602292558679,0.04526602292558679,-4.938769842225614
Raw EEG Phase-Locking Value Change,Theta,,Fz,FC2,0.9204835412422132,0.893786496705458,-0.026697044536755254,0.026697044536755254,-2.900328288404483
Raw EEG Phase-Locking Value Change,Theta,,Fz,FC5,0.8279343346936162,0.6921150360916201,-0.13581929860199615,0.13581929860199615,-16.404597914429672
Raw EEG Phase-Locking Value Change,Theta,,Fz,FC6,0.8159958571155616,0.7280055795397368,-0.08799027757582478,0.08799027757582478,-10.783176998821894
Raw EEG Phase-Locking Value Change,Theta,,Fz,C3,0.8058383669677912,0.673129261801677,-0.13270910516611423,0.13270910516611423,-16.46845206259812
Raw EEG Phase-Locking Value Change,Theta,,Fz,Cz,0.8401331223140975,0.7708733986847454,-0.06925972362935218,0.06925972362935218,-8.243898709597394
Raw EEG Phase-Locking Value Change,Theta,,Fz,C4,0.8077718319950632,0.6870362183848173,-0.12073561361024587,0.12073561361024587,-14.94674719122711
Raw EEG Phase-Locking Value Change,Theta,,Fz,FT9,0.4733273061306589,0.17641925758421367,-0.2969080485464452,0.2969080485464452,-62.72785125658601
Raw EEG Phase-Locking Value Change,Theta,,Fz,FT10,0.494406804789625,0.28588290722243864,-0.20852389756718637,0.20852389756718637,-42.176583240175134
Raw EEG Phase-Locking Value Change,Theta,,Fz,T7,0.7395652366117854,0.42096558154007596,-0.31859965507170945,0.31859965507170945,-43.0793173204475
Raw EEG Phase-Locking Value Change,Theta,,Fz,T8,0.63071500494786,0.5445933545915645,-0.08612165035629549,0.08612165035629549,-13.654606229546575
Raw EEG Phase-Locking Value Change,Theta,,Fz,CP1,0.6372463671080297,0.4819425845434376,-0.15530378256459215,0.15530378256459215,-24.371073823362284
Raw EEG Phase-Locking Value Change,Theta,,Fz,CP2,0.6595120139797603,0.5345289534551054,-0.12498306052465491,0.12498306052465491,-18.950839086380995
Raw EEG Phase-Locking Value Change,Theta,,Fz,CP5,0.6682402746709838,0.3957017709087375,-0.2725385037622463,0.2725385037622463,-40.78450732357219
Raw EEG Phase-Locking Value Change,Theta,,Fz,CP6,0.6286100814838649,0.491922096726617,-0.13668798475724786,0.13668798475724786,-21.74447861774491
Raw EEG Phase-Locking Value Change,Theta,,Fz,P3,0.6060398750853553,0.3336799299837767,-0.27235994510157857,0.27235994510157857,-44.94092819605626
Raw EEG Phase-Locking Value Change,Theta,,Fz,Pz,0.6239087904445659,0.4536962626963786,-0.17021252774818735,0.17021252774818735,-27.281636411454066
Raw EEG Phase-Locking Value Change,Theta,,Fz,P4,0.6339765568423098,0.4468005400889958,-0.18717601675331402,0.18717601675331402,-29.524122735010007
Raw EEG Phase-Locking Value Change,Theta,,Fz,P7,0.2841895034599848,0.02902140168054906,-0.2551681017794357,0.2551681017794357,-89.78801070158616
Raw EEG Phase-Locking Value Change,Theta,,Fz,P8,0.3816453324292611,0.2586864058834037,-0.12295892654585738,0.12295892654585738,-32.21811354620671
Raw EEG Phase-Locking Value Change,Theta,,Fz,O1,0.4587061947679826,0.08069331016202787,-0.3780128846059547,0.3780128846059547,-82.40849783970256
Raw EEG Phase-Locking Value Change,Theta,,Fz,Oz,0.47711358248415636,0.1309285891476116,-0.34618499333654473,0.34618499333654473,-72.55819285925288
Raw EEG Phase-Locking Value Change,Theta,,Fz,O2,0.46329853200655335,0.14328058783317515,-0.3200179441733782,0.3200179441733782,-69.07380923211117
Raw EEG Phase-Locking Value Change,Theta,,Fz,PO9,0.2015995934350537,0.32519436328802426,0.12359476985297055,0.12359476985297055,61.30705312795544
Raw EEG Phase-Locking Value Change,Theta,,Fz,PO10,0.3352904539996454,0.03766988198405873,-0.29762057201558667,0.29762057201558667,-88.76500015592494
Raw EEG Phase-Locking Value Change,Theta,,F4,F8,0.7854000547484975,0.698151989894816,-0.08724806485368153,0.08724806485368153,-11.108741885894098
Raw EEG Phase-Locking Value Change,Theta,,F4,FC1,0.8403251383816257,0.7561213806045363,-0.08420375777708944,0.08420375777708944,-10.020378295388934
Raw EEG Phase-Locking Value Change,Theta,,F4,FC2,0.9087386359280041,0.8688954439942149,-0.03984319193378916,0.03984319193378916,-4.384450089227392
Raw EEG Phase-Locking Value Change,Theta,,F4,FC5,0.7449402512036798,0.5773447761313751,-0.16759547507230466,0.16759547507230466,-22.49784124317389
Raw EEG Phase-Locking Value Change,Theta,,F4,FC6,0.9066539343137842,0.8716888153690947,-0.034965118944689455,0.034965118944689455,-3.8565010994137885
Raw EEG Phase-Locking Value Change,Theta,,F4,C3,0.7334822498556619,0.5587997414869644,-0.17468250836869748,0.17468250836869748,-23.815505883485567
Raw EEG Phase-Locking Value Change,Theta,,F4,Cz,0.7791904158884407,0.6930209418383472,-0.08616947405009356,0.08616947405009356,-11.058846758509247
Raw EEG Phase-Locking Value Change,Theta,,F4,C4,0.8360514946457662,0.7767709173887525,-0.059280577257013745,0.059280577257013745,-7.090541388497946
Raw EEG Phase-Locking Value Change,Theta,,F4,FT9,0.4480110954542827,0.20604921035418328,-0.24196188510009942,0.24196188510009942,-54.00801175576921
Raw EEG Phase-Locking Value Change,Theta,,F4,FT10,0.6025950959228955,0.44605832939092155,-0.15653676653197396,0.15653676653197396,-25.97710595241941
Raw EEG Phase-Locking Value Change,Theta,,F4,T7,0.6645991489744162,0.3406357009678104,-0.3239634480066058,0.3239634480066058,-48.745691069050224
Raw EEG Phase-Locking Value Change,Theta,,F4,T8,0.7307227823664518,0.6947638039106404,-0.03595897845581142,0.03595897845581142,-4.921015099509826
Raw EEG Phase-Locking Value Change,Theta,,F4,CP1,0.6102832736759729,0.4434205921909823,-0.16686268148499062,0.16686268148499062,-27.341840860214297
Raw EEG Phase-Locking Value Change,Theta,,F4,CP2,0.6382119936503653,0.5491369321395237,-0.08907506151084155,0.08907506151084155,-13.95697078667562
Raw EEG Phase-Locking Value Change,Theta,,F4,CP5,0.5920030362354275,0.2849654814983908,-0.3070375547370367,0.3070375547370367,-51.86418581389406
Raw EEG Phase-Locking Value Change,Theta,,F4,CP6,0.6878718997941716,0.60906219830449,-0.07880970148968158,0.07880970148968158,-11.457031681809273
Raw EEG Phase-Locking Value Change,Theta,,F4,P3,0.5661183387804576,0.2798100477005127,-0.2863082910799449,0.2863082910799449,-50.573929771770935
Raw EEG Phase-Locking Value Change,Theta,,F4,Pz,0.597916464494414,0.43881332418727226,-0.1591031403071418,0.1591031403071418,-26.6095934390561
Raw EEG Phase-Locking Value Change,Theta,,F4,P4,0.6208047005796686,0.48898151773603804,-0.1318231828436306,0.1318231828436306,-21.234243671245135
Raw EEG Phase-Locking Value Change,Theta,,F4,P7,0.23327679183953137,0.08000361820023351,-0.15327317363929788,0.15327317363929788,-65.70442452960896
Raw EEG Phase-Locking Value Change,Theta,,F4,P8,0.4251454108707051,0.36185203659026927,-0.06329337428043585,0.06329337428043585,-14.887465008927165
Raw EEG Phase-Locking Value Change,Theta,,F4,O1,0.4406156249025304,0.07906155190512527,-0.36155407299740516,0.36155407299740516,-82.05657098006576
Raw EEG Phase-Locking Value Change,Theta,,F4,Oz,0.4647331557905939,0.14833473280374856,-0.3163984229868453,0.3163984229868453,-68.08174089679382
Raw EEG Phase-Locking Value Change,Theta,,F4,O2,0.46201146785698394,0.17654437955555383,-0.2854670883014301,0.2854670883014301,-61.78787934108092
Raw EEG Phase-Locking Value Change,Theta,,F4,PO9,0.2129073327999806,0.25975591465139164,0.04684858185141105,0.04684858185141105,22.004212459616763
Raw EEG Phase-Locking Value Change,Theta,,F4,PO10,0.3763132420204382,0.11869202971603017,-0.25762121230440804,0.25762121230440804,-68.45924712115664
Raw EEG Phase-Locking Value Change,Theta,,F8,FC1,0.6228458148007296,0.4261860134616522,-0.19665980133907746,0.19665980133907746,-31.574395567223302
Raw EEG Phase-Locking Value Change,Theta,,F8,FC2,0.7053835637186775,0.5244013945630357,-0.1809821691556418,0.1809821691556418,-25.657270521236793
Raw EEG Phase-Locking Value Change,Theta,,F8,FC5,0.5599737729882948,0.337844126459462,-0.22212964652883277,0.22212964652883277,-39.66786611155733
Raw EEG Phase-Locking Value Change,Theta,,F8,FC6,0.8461267932037275,0.7426165843869765,-0.10351020881675099,0.10351020881675099,-12.233415801055736
Raw EEG Phase-Locking Value Change,Theta,,F8,C3,0.5376745914287371,0.2670150722104706,-0.2706595192182665,0.2706595192182665,-50.338908241703564
Raw EEG Phase-Locking Value Change,Theta,,F8,Cz,0.56775489937114,0.37679761212061375,-0.19095728725052624,0.19095728725052624,-33.633754189005764
Raw EEG Phase-Locking Value Change,Theta,,F8,C4,0.6896167551736989,0.5686421776436412,-0.12097457753005769,0.12097457753005769,-17.54229093514222
Raw EEG Phase-Locking Value Change,Theta,,F8,FT9,0.41240627290858867,0.30698464799665814,-0.10542162491193052,0.10542162491193052,-25.562565808812902
Raw EEG Phase-Locking Value Change,Theta,,F8,FT10,0.8017594996691499,0.7540233420142313,-0.047736157654918676,0.047736157654918676,-5.953924795978999
Raw EEG Phase-Locking Value Change,Theta,,F8,T7,0.5070482155976478,0.1906805987297257,-0.3163676168679221,0.3163676168679221,-62.39399077561604
Raw EEG Phase-Locking Value Change,Theta,,F8,T8,0.8006164957225345,0.7451592486029955,-0.05545724711953892,0.05545724711953892,-6.926817947897797
Raw EEG Phase-Locking Value Change,Theta,,F8,CP1,0.47139485415387467,0.21010789707234848,-0.26128695708152616,0.26128695708152616,-55.42847037448478
Raw EEG Phase-Locking Value Change,Theta,,F8,CP2,0.4977294046722533,0.33915977886872345,-0.15856962580352985,0.15856962580352985,-31.858601142511432
Raw EEG Phase-Locking Value Change,Theta,,F8,CP5,0.41015236963393364,0.04377725282563994,-0.3663751168082937,0.3663751168082937,-89.32658785691969
Raw EEG Phase-Locking Value Change,Theta,,F8,CP6,0.6391649975734633,0.5382737790181155,-0.10089121855534788,0.10089121855534788,-15.7848472520199
Raw EEG Phase-Locking Value Change,Theta,,F8,P3,0.41711633772704865,0.06608239748232335,-0.3510339402447253,0.3510339402447253,-84.15732218919553
Raw EEG Phase-Locking Value Change,Theta,,F8,Pz,0.4615175791611783,0.2324202583963904,-0.2290973207647879,0.2290973207647879,-49.63999880160122
Raw EEG Phase-Locking Value Change,Theta,,F8,P4,0.49437798023250196,0.33326152620083893,-0.16111645403166303,0.16111645403166303,-32.58973103047415
Raw EEG Phase-Locking Value Change,Theta,,F8,P7,0.10335712989414583,0.2245930223323559,0.12123589243821006,0.12123589243821006,117.29804471387212
Raw EEG Phase-Locking Value Change,Theta,,F8,P8,0.42812139301738367,0.3719932396369033,-0.05612815338048038,0.05612815338048038,-13.110336062603938
Raw EEG Phase-Locking Value Change,Theta,,F8,O1,0.34129297622411686,0.010151180139863445,-0.3311417960842534,0.3311417960842534,-97.02566977727739
Raw EEG Phase-Locking Value Change,Theta,,F8,Oz,0.3743847259537297,0.08163198893507502,-0.2927527370186547,0.2927527370186547,-78.19569462212411
Raw EEG Phase-Locking Value Change,Theta,,F8,O2,0.38223082397238695,0.12907385416630876,-0.25315696980607816,0.25315696980607816,-66.23143763632382
Raw EEG Phase-Locking Value Change,Theta,,F8,PO9,0.18446716982863576,0.10729912713925596,-0.0771680426893798,0.0771680426893798,-41.83294120090122
Raw EEG Phase-Locking Value Change,Theta,,F8,PO10,0.39108541173956746,0.24800911813243348,-0.14307629360713398,0.14307629360713398,-36.584410799350316
Raw EEG Phase-Locking Value Change,Theta,,FC1,FC2,0.9156652665262046,0.8643179098394124,-0.051347356686792245,0.051347356686792245,-5.607655828378283
Raw EEG Phase-Locking Value Change,Theta,,FC1,FC5,0.8688578189864646,0.7240914286876192,-0.14476639029884542,0.14476639029884542,-16.661689304668688
Raw EEG Phase-Locking Value Change,Theta,,FC1,FC6,0.7898407056308467,0.6776708505320812,-0.11216985509876554,0.11216985509876554,-14.201579419634411
Raw EEG Phase-Locking Value Change,Theta,,FC1,C3,0.8942335756770442,0.8096097296150452,-0.08462384606199902,0.08462384606199902,-9.463282118201434
Raw EEG Phase-Locking Value Change,Theta,,FC1,Cz,0.8755721230506409,0.8623203912285619,-0.01325173182207906,0.01325173182207906,-1.5134940312978207
Raw EEG Phase-Locking Value Change,Theta,,FC1,C4,0.8363120780567684,0.7014798343379813,-0.1348322437187871,0.1348322437187871,-16.12224040002861
Raw EEG Phase-Locking Value Change,Theta,,FC1,FT9,0.4651838077081252,0.08570285380477428,-0.3794809539033509,0.3794809539033509,-81.57656126789614
Raw EEG Phase-Locking Value Change,Theta,,FC1,FT10,0.4630415536482213,0.19771953772366044,-0.26532201592456084,0.26532201592456084,-57.299828456892534
Raw EEG Phase-Locking Value Change,Theta,,FC1,T7,0.7876389518516137,0.4379630149664618,-0.3496759368851519,0.3496759368851519,-44.39546013603308
Raw EEG Phase-Locking Value Change,Theta,,FC1,T8,0.6174241021633375,0.5031792716803288,-0.11424483048300871,0.11424483048300871,-18.50346141051449
Raw EEG Phase-Locking Value Change,Theta,,FC1,CP1,0.7335320877152743,0.6179331732667579,-0.11559891444851644,0.11559891444851644,-15.759217133714126
Raw EEG Phase-Locking Value Change,Theta,,FC1,CP2,0.7522247554091587,0.6365740534158564,-0.1156507019933023,0.1156507019933023,-15.374487633074006
Raw EEG Phase-Locking Value Change,Theta,,FC1,CP5,0.7699674437658515,0.5390394295172777,-0.2309280142485738,0.2309280142485738,-29.99191928416124
Raw EEG Phase-Locking Value Change,Theta,,FC1,CP6,0.6607463196889386,0.5059887105639371,-0.15475760912500147,0.15475760912500147,-23.421637701721465
Raw EEG Phase-Locking Value Change,Theta,,FC1,P3,0.7119374969975392,0.48169856793792193,-0.23023892905961724,0.23023892905961724,-32.33976718891842
Raw EEG Phase-Locking Value Change,Theta,,FC1,Pz,0.7212414107346846,0.5777350536564914,-0.14350635707819326,0.14350635707819326,-19.897132214304236
Raw EEG Phase-Locking Value Change,Theta,,FC1,P4,0.7207911141317657,0.5289093962810516,-0.19188171785071406,0.19188171785071406,-26.620988257027367
Raw EEG Phase-Locking Value Change,Theta,,FC1,P7,0.37381767535812993,0.11478078421236207,-0.2590368911457679,0.2590368911457679,-69.29498207852312
