Dataset,Metric,Band,Envelope_Band,N_Edges,Mean,Median,SD,Min,P10,P25,P75,P90,Max
BASELINE_EC,Band-Power Envelope Coherence,Alpha,Fast,496,0.2667422383576413,0.13961975991631714,0.27190159478141274,0.004718646104336958,0.019355441751776725,0.057834117040309795,0.41964295770848187,0.7424269383449692,0.9800504701510095
BASELINE_EC,Band-Power Envelope Coherence,Alpha,Medium,496,0.2666983888341079,0.13937879030761907,0.2719294539728742,0.004703932275750761,0.0193104362011594,0.05781194042600464,0.4197178608749105,0.742442973914625,0.980057575024838
BASELINE_EC,Band-Power Envelope Coherence,Alpha,Slow,496,0.26735917798491227,0.1364806821793381,0.27245726416638444,0.00478710197695178,0.018749923123235958,0.05810881330444174,0.4223271218006542,0.744792837013922,0.9807023880186425
BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,496,0.25470340242834416,0.1232869497012846,0.27754421427905135,0.002340300108326538,0.011834050965844434,0.039066152793375546,0.42471498736311075,0.7345303575110693,0.9803194226144213
BASELINE_EC,Band-Power Envelope Coherence,BetaH,Fast,496,0.2786234221821592,0.1954877182252166,0.2375917186898501,0.006868431290526544,0.031604644784212654,0.09195470307673004,0.4219716364284012,0.6566953840619659,0.9505362256503578
BASELINE_EC,Band-Power Envelope Coherence,BetaH,Medium,496,0.27860487018775376,0.19553262425541212,0.23758989650890014,0.006866461977365465,0.031595527116104444,0.09195403576355587,0.42192952537997397,0.6566690207333998,0.9505316027741626
BASELINE_EC,Band-Power Envelope Coherence,BetaH,Slow,496,0.2801809187819402,0.19591553705542264,0.23902484019077092,0.006891601813506048,0.03149451577763446,0.09132903182232982,0.42334502219625914,0.6591814402222775,0.9523676723692248
BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,496,0.2682674345164577,0.19449237301377686,0.23468787841508532,0.006688165094537021,0.03051196156609278,0.07343318446383418,0.39752703482325985,0.6369157657963526,0.943520360027886
BASELINE_EC,Band-Power Envelope Coherence,BetaL,Fast,496,0.31668655108884736,0.2230659631781824,0.2663248495937814,0.00979237191945512,0.041845311167595794,0.09049835289605401,0.5335051174585178,0.7360389105498771,0.951837209120918
BASELINE_EC,Band-Power Envelope Coherence,BetaL,Medium,496,0.3166910313229522,0.22308241783384844,0.26631820706710496,0.009792692147608337,0.041859364557913885,0.09048448720737141,0.5335281969582266,0.7360302526944849,0.9518333754924042
BASELINE_EC,Band-Power Envelope Coherence,BetaL,Slow,496,0.31814624273365083,0.22415165478813898,0.26723718088590015,0.009387713791275955,0.04224532429439028,0.09482416934045554,0.5325813645982769,0.7408920809368333,0.9527712881568564
BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,496,0.3105799910767196,0.2158131673454955,0.26322843645939253,0.01103035345917566,0.04185878361638454,0.08320374071455497,0.5271910176443625,0.7296847385032411,0.9484528525615628
BASELINE_EC,Band-Power Envelope Coherence,Gamma,Fast,496,0.12136510631351012,0.0657391887300725,0.13398543763424187,0.001505521960500203,0.010918733601425073,0.021997981369416768,0.17919695922369733,0.32642214826170907,0.6363172406084661
BASELINE_EC,Band-Power Envelope Coherence,Gamma,Medium,496,0.12135535673630286,0.065732961241671,0.1339835121380219,0.0015087959097872979,0.010914906910918905,0.021994022245677404,0.17922574803790678,0.32634570959270237,0.6362858668300158
BASELINE_EC,Band-Power Envelope Coherence,Gamma,Slow,496,0.1217813448877328,0.0668883907386046,0.13461292635612362,0.0015475702337233433,0.010815845638118795,0.02209462734469651,0.1796680892294767,0.32764664252663905,0.6379729036125809
BASELINE_EC,Band-Power Envelope Coherence,Gamma,UltraSlow,496,0.11687136047174528,0.06321492094223492,0.13292183377076905,0.0011131792478383858,0.009134330564936,0.01982996632011952,0.16959520081556093,0.31298136900614665,0.6300900917663953
BASELINE_EC,Band-Power Envelope Coherence,Theta,Fast,496,0.36594103227354335,0.35836684865155033,0.16807763768261416,0.06466554342274851,0.16937237730937754,0.22454710142405232,0.47167594225374965,0.5943472872266194,0.9155287158228811
BASELINE_EC,Band-Power Envelope Coherence,Theta,Medium,496,0.365921590215495,0.3583299326619718,0.16807331396200106,0.06467804368582757,0.16933491818259708,0.22453080156270183,0.47164666352272105,0.5942938167623646,0.9155304058461196
BASELINE_EC,Band-Power Envelope Coherence,Theta,Slow,496,0.3693003415202855,0.36140582934778315,0.168025794631517,0.06357142901317663,0.17417737927590507,0.22846806114858886,0.47248217016694566,0.5954207281234618,0.916100489684764
BASELINE_EC,Band-Power Envelope Coherence,Theta,UltraSlow,496,0.3514137234348492,0.336590375084707,0.1728753461918121,0.05972729443422895,0.1495307553262592,0.20585776186928573,0.45294414096194047,0.5945495844588147,0.9103044893471967
