Dataset,Metric,Band,Envelope_Band,N_Edges,Mean,Median,SD,Min,P10,P25,P75,P90,Max
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Alpha,,496,0.3590091379096987,0.2746895137551916,0.25453836392761825,0.006960617396118819,0.08125970393764323,0.159245832070522,0.54590843381053,0.7729152604740721,0.9664376897425544
MODULATION_DATASET,Raw EEG Band-Limited Coherence,BetaH,,496,0.25015775045466665,0.1763963385193557,0.2345058127995618,0.0030001230103323274,0.01942549759757244,0.04903913312551951,0.3880317498219138,0.6269490748028157,0.8890928729299343
MODULATION_DATASET,Raw EEG Band-Limited Coherence,BetaL,,496,0.27910281981511514,0.20302520376156202,0.2578258485812282,0.0035039044865031984,0.01712357414155529,0.04963034462795878,0.460780321062608,0.6948255683640376,0.931700549274356
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Gamma,,496,0.11428431827137837,0.06818901483173377,0.11926251789724118,0.0034968228959764364,0.010443709611809045,0.02263035937306976,0.16871190252240847,0.30153677191769995,0.6817278176363685
MODULATION_DATASET,Raw EEG Band-Limited Coherence,Theta,,496,0.2893127888226309,0.2200927853638262,0.25106748786572397,0.003817987194598137,0.02148040879725046,0.0704234387146987,0.46081088493878347,0.658567064415023,0.9026975610672743
MODULATION_DATASET,Raw EEG Phase-Locking Value,Alpha,,496,0.4464569037117781,0.42452063882020885,0.24622240592759687,0.022978686302298375,0.14348320465097236,0.22258509539570845,0.6441935821826893,0.7999343834956039,0.9643049327846841
MODULATION_DATASET,Raw EEG Phase-Locking Value,BetaH,,496,0.36715261949830114,0.34503595430930023,0.22695659513903407,0.009201890962400844,0.08618431663206233,0.17369262679514888,0.5394519684629299,0.7039932000276969,0.8929125752227819
MODULATION_DATASET,Raw EEG Phase-Locking Value,BetaL,,496,0.3842373588206524,0.36403152457789445,0.23893751266893917,0.0163587182554378,0.09104731109597325,0.1729866464236674,0.5730733244365456,0.7361409194154773,0.9233619669058385
MODULATION_DATASET,Raw EEG Phase-Locking Value,Gamma,,496,0.25793081087416986,0.22716002826007808,0.1652647939157683,0.011935827187786009,0.06857921406824,0.11980550482751826,0.3659090013573201,0.5118165199427713,0.7598311809985664
MODULATION_DATASET,Raw EEG Phase-Locking Value,Theta,,496,0.39150917128346874,0.3743954258787585,0.23736131855407983,0.009057388767753423,0.08153596257514112,0.19158448181628296,0.5747194091279741,0.7262512501170555,0.9057985011533856
