Metric,Band,Envelope_Band,Channel_A,Channel_B,Baseline,Modulation,Delta,Abs_Delta,Percent_Change
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,O1,0.02482701957688925,0.004927383846559747,-0.019899635730329504,0.019899635730329504,-80.15313988334506
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,Pz,0.12940800539411879,0.01641042422556873,-0.11299758116855005,0.11299758116855005,-87.31884926624907
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,Oz,0.04760082458863517,0.0038126263595129484,-0.04378819822912222,0.04378819822912222,-91.9904195096166
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,O2,0.038466997615171035,0.01157199981243387,-0.026894997802737165,0.026894997802737165,-69.91707039836668
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,PO10,0.01242498517374675,0.006356757806280544,-0.006068227367466207,0.006068227367466207,-48.8389103295512
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,P8,0.027566903322016903,0.017008472150512394,-0.010558431171504509,0.010558431171504509,-38.30111437678888
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,P4,0.14129200937382352,0.007504681539888606,-0.1337873278339349,0.1337873278339349,-94.68853081419977
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,CP2,0.12118429172847679,0.002292548663619114,-0.11889174306485768,0.11889174306485768,-98.10821301100992
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,CP6,0.04193808675205395,0.03800119610334652,-0.0039368906487074334,0.0039368906487074334,-9.387387345500736
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,T8,0.048328469045830214,0.009694475298619918,-0.0386339937472103,0.0386339937472103,-79.94044609725465
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,FT10,0.021838784833003104,0.020033374817034284,-0.0018054100159688204,0.0018054100159688204,-8.266989348420417
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,FC6,0.05700799817151067,0.014299511027625979,-0.04270848714388469,0.04270848714388469,-74.91665821240491
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,C4,0.051177052266827276,0.005894865277552697,-0.04528218698927458,0.04528218698927458,-88.48142865513628
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,FC2,0.1108471048233008,0.0196399364712191,-0.0912071683520817,0.0912071683520817,-82.28195810569277
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,F4,0.026404516848676906,0.005461832167219833,-0.020942684681457074,0.020942684681457074,-79.3147808819175
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,F8,0.012239322010775412,0.05362586520262243,0.041386543191847015,0.041386543191847015,338.14408310697763
Band-Power Envelope Coherence Change,Gamma,UltraSlow,T7,Fp2,0.03349541312667414,0.025318947850516162,-0.008176465276157976,0.008176465276157976,-24.410701385398443
Band-Power Envelope Coherence Change,Gamma,UltraSlow,CP5,CP1,0.22211054917770345,0.12348837544984993,-0.09862217372785352,0.09862217372785352,-44.402291603425425
Band-Power Envelope Coherence Change,Gamma,UltraSlow,CP5,P3,0.30413861844605017,0.07929796328812302,-0.22484065515792714,0.22484065515792714,-73.92703245208259
Band-Power Envelope Coherence Change,Gamma,UltraSlow,CP5,P7,0.07639065589581312,0.1482737088726072,0.07188305297679409,0.07188305297679409,94.09927449089218
Band-Power Envelope Coherence Change,Gamma,UltraSlow,CP5,PO9,0.05194268047054875,0.05659570059455977,0.0046530201240110175,0.0046530201240110175,8.95799000332541
Band-Power Envelope Coherence Change,Gamma,UltraSlow,CP5,O1,0.12258453613001934,0.06805117642857846,-0.05453335970144088,0.05453335970144088,-44.486328718982996
Band-Power Envelope Coherence Change,Gamma,UltraSlow,CP5,Pz,0.28567446722747564,0.1452149441165691,-0.14045952311090654,0.14045952311090654,-49.16768532872139
Band-Power Envelope Coherence Change,Gamma,UltraSlow,CP5,Oz,0.13055989363055312,0.10407426375923029,-0.02648562987132283,0.02648562987132283,-20.28619136767186
Band-Power Envelope Coherence Change,Gamma,UltraSlow,CP5,O2,0.08211867290386987,0.07137456084173985,-0.010744112062130023,0.010744112062130023,-13.08364064127941
Band-Power Envelope Coherence Change,Gamma,UltraSlow,CP5,PO10,0.05127889084872599,0.04923038363733032,-0.00204850721139567,0.00204850721139567,-3.9948352577258683
Band-Power Envelope Coherence Change,Gamma,UltraSlow,CP5,P8,0.06564626596149795,0.09074908794733295,0.025102821985835008,0.025102821985835008,38.23952759256408
Band-Power Envelope Coherence Change,Gamma,UltraSlow,CP5,P4,0.19968455196767546,0.033536714616486156,-0.1661478373511893,0.1661478373511893,-83.20515318485177
Band-Power Envelope Coherence Change,Gamma,UltraSlow,CP5,CP2,0.2301899457869192,0.028308310569218564,-0.20188163521770064,0.20188163521770064,-87.70219504051545
Band-Power Envelope Coherence Change,Gamma,UltraSlow,CP5,CP6,0.12734884157958112,0.019129675419331603,-0.10821916616024951,0.10821916616024951,-84.97852420009856
