Source_File,Dataset,Metric,Band,Envelope_Band,N_Edges,Mean,Median,SD,Min,P10,P25,P75,P90,Max,Mean_Baseline,Mean_Modulation,Mean_Delta,Median_Delta,Mean_Abs_Delta,Max_Abs_Delta
BASELINE_EC__POW_Alpha__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Alpha,Fast,496,0.2667422383576413,0.1396197599163171,0.2719015947814127,0.0047186461043369,0.0193554417517767,0.0578341170403097,0.4196429577084818,0.7424269383449692,0.9800504701510095,,,,,,
BASELINE_EC__POW_Alpha__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Alpha,Medium,496,0.2666983888341079,0.139378790307619,0.2719294539728742,0.0047039322757507,0.0193104362011594,0.0578119404260046,0.4197178608749105,0.742442973914625,0.980057575024838,,,,,,
BASELINE_EC__POW_Alpha__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Alpha,Slow,496,0.2673591779849122,0.1364806821793381,0.2724572641663844,0.0047871019769517,0.0187499231232359,0.0581088133044417,0.4223271218006542,0.744792837013922,0.9807023880186424,,,,,,
BASELINE_EC__POW_Alpha__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Alpha,UltraSlow,496,0.2547034024283441,0.1232869497012846,0.2775442142790513,0.0023403001083265,0.0118340509658444,0.0390661527933755,0.4247149873631107,0.7345303575110693,0.9803194226144212,,,,,,
BASELINE_EC__POW_BetaH__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaH,Fast,496,0.2786234221821592,0.1954877182252166,0.2375917186898501,0.0068684312905265,0.0316046447842126,0.09195470307673,0.4219716364284012,0.6566953840619659,0.9505362256503578,,,,,,
BASELINE_EC__POW_BetaH__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaH,Medium,496,0.2786048701877537,0.1955326242554121,0.2375898965089001,0.0068664619773654,0.0315955271161044,0.0919540357635558,0.4219295253799739,0.6566690207333998,0.9505316027741626,,,,,,
BASELINE_EC__POW_BetaH__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaH,Slow,496,0.2801809187819402,0.1959155370554226,0.2390248401907709,0.006891601813506,0.0314945157776344,0.0913290318223298,0.4233450221962591,0.6591814402222775,0.9523676723692248,,,,,,
BASELINE_EC__POW_BetaH__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaH,UltraSlow,496,0.2682674345164577,0.1944923730137768,0.2346878784150853,0.006688165094537,0.0305119615660927,0.0734331844638341,0.3975270348232598,0.6369157657963526,0.943520360027886,,,,,,
BASELINE_EC__POW_BetaL__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaL,Fast,496,0.3166865510888473,0.2230659631781824,0.2663248495937814,0.0097923719194551,0.0418453111675957,0.090498352896054,0.5335051174585178,0.7360389105498771,0.951837209120918,,,,,,
BASELINE_EC__POW_BetaL__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaL,Medium,496,0.3166910313229522,0.2230824178338484,0.2663182070671049,0.0097926921476083,0.0418593645579138,0.0904844872073714,0.5335281969582266,0.7360302526944849,0.9518333754924042,,,,,,
BASELINE_EC__POW_BetaL__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaL,Slow,496,0.3181462427336508,0.2241516547881389,0.2672371808859001,0.0093877137912759,0.0422453242943902,0.0948241693404555,0.5325813645982769,0.7408920809368333,0.9527712881568564,,,,,,
BASELINE_EC__POW_BetaL__Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,BetaL,UltraSlow,496,0.3105799910767196,0.2158131673454955,0.2632284364593925,0.0110303534591756,0.0418587836163845,0.0832037407145549,0.5271910176443625,0.7296847385032411,0.9484528525615628,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Alpha,Fast,496,0.2667422383576413,0.1396197599163171,0.2719015947814127,0.0047186461043369,0.0193554417517767,0.0578341170403097,0.4196429577084818,0.7424269383449692,0.9800504701510095,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Alpha,Medium,496,0.2666983888341079,0.139378790307619,0.2719294539728742,0.0047039322757507,0.0193104362011594,0.0578119404260046,0.4197178608749105,0.742442973914625,0.980057575024838,,,,,,
BASELINE_EC__POW_Envelope_Coherence_Summary.csv,BASELINE_EC,Band-Power Envelope Coherence,Alpha,Slow,496,0.2673591779849122,0.1364806821793381,0.2724572641663844,0.0047871019769517,0.0187499231232359,0.0581088133044417,0.4223271218006542,0.744792837013922,0.9807023880186424,,,,,,
