Time,dt_s,step_distance_l2_regional,v_l2_regional_per_s
2025-10-09 15:29:43.947309971,0.124989987,1.8489738538035099,14.79297580696212
2025-10-09 15:29:44.072200060,0.124890089,2.3168678858320764,18.551254982547707
2025-10-09 15:29:44.197190046,0.124989986,2.698152441228582,21.58694890347921
2025-10-09 15:29:44.322079897,0.124889851,2.642600789562623,21.159451856201056
2025-10-09 15:29:44.447069883,0.124989986,2.234533048315967,17.87769660455812
2025-10-09 15:29:44.572060108,0.124990225,1.7340434458785916,13.873432469447843
2025-10-09 15:29:44.697050095,0.124989987,1.4766534085240692,11.814173630757072
2025-10-09 15:29:44.821939945,0.12488985,1.7900950340120212,14.333390856118582
2025-10-09 15:29:44.947030067,0.125090122,2.014856743400445,16.107241013006966
2025-10-09 15:29:45.071919918,0.124889851,2.0508277341083527,16.42109200777534
2025-10-09 15:29:45.197010040,0.125090122,2.1461318477302944,17.156685223556618
2025-10-09 15:29:45.322000027,0.124989987,2.4861844996451903,19.891069351380846
2025-10-09 15:29:45.447089911,0.125089884,2.5320184756957733,20.241592643061153
2025-10-09 15:29:45.571980000,0.124890089,2.233893253197431,17.88687373901568
2025-10-09 15:29:45.696969986,0.124989986,1.814458028601378,14.516827200871742
2025-10-09 15:29:45.821959972,0.124989986,1.6719618101195521,13.37676612044386
2025-10-09 15:29:45.946949959,0.124989987,1.8803528338993987,15.044027757994716
2025-10-09 15:29:46.071939945,0.124989986,1.7024140394326819,13.620403473224503
2025-10-09 15:29:46.197040081,0.125100136,1.241911752550478,9.927341346379334
2025-10-09 15:29:46.321929932,0.124889851,1.100466355428461,8.81149546273749
2025-10-09 15:29:46.447020054,0.125090122,1.3307390347307961,10.638242360422321
2025-10-09 15:29:46.572010040,0.124989986,1.7770606001957976,14.217623803844555
2025-10-09 15:29:46.697000027,0.124989987,2.108465343327582,16.869074026926512
2025-10-09 15:29:46.821990013,0.124989986,2.180798247182268,17.44778375431027
2025-10-09 15:29:46.947079897,0.125089884,2.057526232277671,16.448382287073436
2025-10-09 15:29:47.071969986,0.124890089,1.7681247656219004,14.157446597879359
2025-10-09 15:29:47.197060108,0.125090122,1.3902297844956244,11.113825474529671
2025-10-09 15:29:47.322050095,0.124989987,1.1498641780948524,9.19965035355074
2025-10-09 15:29:47.447149992,0.125099897,1.0719712277420275,8.568921745331474
2025-10-09 15:29:47.571939945,0.124789953,1.0270336315945305,8.230098713111389
2025-10-09 15:29:47.696929932,0.124989987,0.8268615632593826,6.615422427873224
2025-10-09 15:29:47.821919918,0.124989986,0.43333174580452805,3.4669317092693173
2025-10-09 15:29:47.946909904,0.124989986,0.6255884881455619,5.005108874446645
2025-10-09 15:29:48.071899891,0.124989987,0.7914890757393624,6.332419858075211
2025-10-09 15:29:48.196990013,0.125090122,0.8548234164052538,6.833660426082675
2025-10-09 15:29:48.321990013,0.125,0.8039082793965056,6.431266235172044
2025-10-09 15:29:48.446870089,0.124880076,0.1681966172699946,1.3468651097713504
2025-10-09 15:29:48.571969986,0.125099897,0.2003748646898023,1.6017188622449652
2025-10-09 15:29:48.696959972,0.124989986,0.20415139038123925,1.6333419733420824
2025-10-09 15:29:48.821949959,0.124989987,0.1808235085101462,1.4467039548547693
2025-10-09 15:29:48.946939945,0.124989986,0.17886721504858452,1.4310523648557296
2025-10-09 15:29:49.071929932,0.124989987,0.1828352507406034,1.4627991819905013
2025-10-09 15:29:49.196919918,0.124989986,0.18283187210914698,1.462772162476656
2025-10-09 15:29:49.321919918,0.125,0.1826867697356937,1.4614941578855496
2025-10-09 15:29:49.446909904,0.124989986,0.18361654575151132,1.4690500545500607
2025-10-09 15:29:49.571899891,0.124989987,0.18043296286853264,1.4435793394276666
2025-10-09 15:29:49.696890116,0.124990225,0.15766440227526715,1.2614138607660492
2025-10-09 15:29:49.821880102,0.124989986,0.15289058070727585,1.22322264047038
2025-10-09 15:29:49.946870089,0.124989987,0.15939944563035063,1.2752977214914873
2025-10-09 15:29:50.071860075,0.124989986,0.18246133172600407,1.459807601914637
2025-10-09 15:29:50.196850061,0.124989986,0.18841173266101222,1.5074146232883987
