Time,dt_s,step_distance_cos_regional,v_cos_regional_per_s
2025-10-05 15:47:51.063610077,0.124780178,0.015326889000157995,0.12283111986070411
2025-10-05 15:47:51.188699961,0.125089884,0.01072333281630189,0.0857250200687842
2025-10-05 15:47:51.313689947,0.124989986,0.006893638164346183,0.05515352377386604
2025-10-05 15:47:51.438770056,0.125080109,0.006390412056444195,0.051090553946065036
2025-10-05 15:47:51.563560009,0.124789953,0.006395271794858326,0.05124829075669518
2025-10-05 15:47:51.688640118,0.125080109,0.006970013699825195,0.05572439739259578
2025-10-05 15:47:51.813529968,0.12488985,0.004577136236338375,0.03664938532905897
2025-10-05 15:47:51.938620090,0.125090122,0.003530943707563461,0.028227198527821892
2025-10-05 15:47:52.063600063,0.124979973,0.001309936965120273,0.010481174972891642
2025-10-05 15:47:52.188689947,0.125089884,0.0031359501466428075,0.02506957434417964
2025-10-05 15:47:52.313570023,0.124880076,0.004453667678076201,0.035663556755652526
2025-10-05 15:47:52.438659906,0.125089883,0.0017928712375812061,0.01433266379808834
2025-10-05 15:47:52.563640118,0.124980212,0.0006267331544905774,0.005014659076515068
2025-10-05 15:47:52.688730001,0.125089883,0.0005702338064224044,0.004558592531599093
2025-10-05 15:47:52.813610077,0.124880076,0.0005143714982553949,0.004118923648440083
2025-10-05 15:47:52.938699961,0.125089884,0.0004690745545108399,0.0037498999880025458
2025-10-05 15:47:53.063590049,0.124890088,0.0005053811622874882,0.004046607464056621
2025-10-05 15:47:53.188669920,0.125079871,0.0004688589321686365,0.0037484763009440303
2025-10-05 15:47:53.313560009,0.124890089,0.00042306180985551833,0.0033874730432413925
2025-10-05 15:47:53.438750029,0.12519002,0.0003552804008708499,0.0028379291006651315
2025-10-05 15:47:53.563529968,0.124779939,0.00028352643823947865,0.002272211707360096
2025-10-05 15:47:53.688620090,0.125090122,0.00022983522687902713,0.0018373571246419213
2025-10-05 15:47:53.813509941,0.124889851,0.00020233337576225363,0.0016200946205168717
2025-10-05 15:47:53.938590050,0.125080109,0.0001934102165006557,0.00154629075755487
2025-10-05 15:47:54.063580036,0.124989986,0.00017541422848765809,0.0014034262591857405
2025-10-05 15:47:54.188659906,0.12507987,0.0001590633513590678,0.0012716942491151277
2025-10-05 15:47:54.313549995,0.124890089,0.0001437650858630013,0.001151132864217923
2025-10-05 15:47:54.438640118,0.125090123,0.00013066824322582882,0.00104459281110331
2025-10-05 15:47:54.563519955,0.124879837,0.0001243011611630207,0.0009953661387548153
2025-10-05 15:47:54.688610077,0.125090122,0.00011186408746588494,0.0008942679539946803
2025-10-05 15:47:54.813499928,0.124889851,0.00010095270220666919,0.000808333915032609
2025-10-05 15:47:54.938580036,0.125080108,9.250654899883859e-05,0.0007395784228043567
2025-10-05 15:47:55.063469887,0.124889851,7.875899413500864e-05,0.0006306276571265078
2025-10-05 15:47:55.188549995,0.125080108,8.205353825241346e-05,0.0006560078941762143
2025-10-05 15:47:55.313440084,0.124890089,7.745636511247156e-05,0.0006201962520218202
2025-10-05 15:47:55.438529968,0.125089884,7.128692293878469e-05,0.0005698855947358995
2025-10-05 15:47:55.563410044,0.124880076,6.664005183865118e-05,0.0005336323773429733
2025-10-05 15:47:55.688499928,0.125089884,6.038658046569889e-05,0.00048274551494267024
2025-10-05 15:47:55.813689947,0.125190019,5.513806677259758e-05,0.00044043500602550093
2025-10-05 15:47:55.938770056,0.125080109,5.080779367705457e-05,0.0004062020259116865
2025-10-05 15:47:56.063460112,0.124690056,4.669483869701452e-05,0.00037448727023600437
2025-10-05 15:47:56.188549995,0.125089883,4.427278270313639e-05,0.00035392776491074333
2025-10-05 15:47:56.313430071,0.124880076,4.0484432592080566e-05,0.0003241864826546115
2025-10-05 15:47:56.438519955,0.125089884,3.767846248314832e-05,0.00030121110739177214
2025-10-05 15:47:56.563400030,0.124880075,3.4870308706413944e-05,0.00027923036326182497
2025-10-05 15:47:56.688489914,0.125089884,3.252378126061828e-05,0.0002600032889999185
2025-10-05 15:47:56.813369989,0.124880075,3.0162190739591033e-05,0.000241529249078294
2025-10-05 15:47:56.938460112,0.125090123,2.8120168776957222e-05,0.00022479927353622655
2025-10-05 15:47:57.063250064,0.124789952,2.6118641578087853e-05,0.00020930083840474476
2025-10-05 15:47:57.188339949,0.125089885,2.44877876492966e-05,0.00019576153299122944
2025-10-05 15:47:57.313119888,0.124779939,2.2757801131367827e-05,0.0001823834930017703
2025-10-05 15:47:57.438210011,0.125090123,2.138524094386085e-05,0.00017095866908581464
2025-10-05 15:47:57.563090086,0.124880075,1.994706492192133e-05,0.0001597297641110588
2025-10-05 15:47:57.688189983,0.125099897,1.879199755305816e-05,0.00015021593145722703
2025-10-05 15:47:57.813280106,0.125090123,1.761338389405509e-05,0.00014080555260190359
2025-10-05 15:47:57.938100100,0.124819994,1.645580835385463e-05,0.00013183631745611706
2025-10-05 15:47:58.062910079,0.124809979,1.545740935504636e-05,0.00012384754391350677
2025-10-05 15:47:58.187999964,0.125089885,1.4604865190892546e-05,0.00011675496536664452
2025-10-05 15:47:58.312890053,0.124890089,1.3695018936554781e-05,0.00010965657119961522
2025-10-05 15:47:58.438090086,0.125200033,1.2957183715522902e-05,0.00010349185543363956
2025-10-05 15:47:58.562979937,0.124889851,1.214468035537486e-05,9.724313271360104e-05
2025-10-05 15:47:58.688060045,0.125080108,1.1450539409540994e-05,9.15456469668302e-05
2025-10-05 15:47:58.812849998,0.124789953,1.0737592165188659e-05,8.604532582193263e-05
2025-10-05 15:47:58.937849998,0.125,1.0173812313052366e-05,8.139049850441893e-05
2025-10-05 15:47:59.062829971,0.124979973,9.607874337458355e-06,7.687531135455082e-05
2025-10-05 15:47:59.187920094,0.125090123,9.098049520539497e-06,7.273195758660736e-05
2025-10-05 15:47:59.313009977,0.125089883,8.606464100391342e-06,6.880223958952253e-05
2025-10-05 15:47:59.438090086,0.125080109,8.149370635202047e-06,6.515321021348044e-05
2025-10-05 15:47:59.562880039,0.124789953,0.003616170989922174,0.02897806195922018
2025-10-05 15:47:59.688070059,0.12519002,0.001803194919782758,0.014403663485178433
2025-10-05 15:47:59.812949896,0.124879837,0.005484085338252731,0.04391489827339166
2025-10-05 15:47:59.938139915,0.125190019,0.013554413811988852,0.10827072254049942
2025-10-05 15:48:00.062930107,0.124790192,0.017578802252598336,0.1408668579706836
2025-10-05 15:48:00.188420057,0.12548995,0.010278752567590699,0.08190897014135952
2025-10-05 15:48:00.313100100,0.124680043,0.003928235519076173,0.031506530031243034
2025-10-05 15:48:00.438189983,0.125089883,0.0018724755614565325,0.014969040793303263
2025-10-05 15:48:00.562979937,0.124789954,0.0023891490353452616,0.019145363539001398
2025-10-05 15:48:00.688070059,0.125090122,0.0032165161739977632,0.025713590510350316
2025-10-05 15:48:00.812849998,0.124779939,0.004634241306281539,0.03713931376646641
2025-10-05 15:48:00.937939882,0.125089884,0.004570842737219971,0.036540466671309495
2025-10-05 15:48:01.062829971,0.124890089,0.0033805005882600048,0.027067805102292824
2025-10-05 15:48:01.188119888,0.125289917,0.002570735507896549,0.02051829524235816
2025-10-05 15:48:01.312999964,0.124880076,0.0020053177609064,0.016057947954054734
2025-10-05 15:48:01.438189983,0.125190019,0.0012010101108039795,0.009593497312305539
2025-10-05 15:48:01.562969923,0.12477994,0.001907663181649144,0.015288220058842342
2025-10-05 15:48:01.687959909,0.124989986,0.0018811493436455828,0.015050400466846863
2025-10-05 15:48:01.812849998,0.124890089,0.0021433301165239005,0.017161731036350696
2025-10-05 15:48:01.937930107,0.125080109,0.003778329925932855,0.030207280407253685
2025-10-05 15:48:02.062720059,0.124789952,0.007067883020217214,0.0566382381509147
2025-10-05 15:48:02.187799931,0.125079872,0.010102594406615761,0.08076914570727863
2025-10-05 15:48:02.312690020,0.124890089,0.008170193029628181,0.06541906643711481
2025-10-05 15:48:02.437880039,0.125190019,0.00588182461967135,0.04698317538933634
2025-10-05 15:48:02.562760115,0.124880076,0.0033983402010651087,0.027212829379324757
2025-10-05 15:48:02.688050032,0.125289917,0.0042560491976004755,0.03396960664919648
2025-10-05 15:48:02.812939882,0.12488985,0.004954048216947005,0.03966734059610933
2025-10-05 15:48:02.938129902,0.12519002,0.00635126395972796,0.05073298941663208
2025-10-05 15:48:03.063019991,0.124890089,0.005242426649799237,0.04197632247503032
2025-10-05 15:48:03.188009977,0.124989986,0.0028313792720905395,0.02265284894175874
2025-10-05 15:48:03.312890053,0.124880076,0.002691644937791171,0.02155383808215468
2025-10-05 15:48:03.437880039,0.124989986,0.004236144965041322,0.033891874866209856
2025-10-05 15:48:03.562870026,0.124989987,0.006465492587744759,0.051728084328425114
2025-10-05 15:48:03.687959909,0.125089883,0.008993710151904755,0.07189798196473454
2025-10-05 15:48:03.812849998,0.124890089,0.010462942109316864,0.08377720116219041
2025-10-05 15:48:03.937930107,0.125080109,0.011025952628316293,0.08815112743718742
2025-10-05 15:48:04.062819957,0.12488985,0.008929844678124743,0.07150176478012218
2025-10-05 15:48:04.187910080,0.125090123,0.00794593750664807,0.06352170192244572
2025-10-05 15:48:04.312900066,0.124989986,0.0043475757767744705,0.034783392781358266
2025-10-05 15:48:04.437779903,0.124879837,0.002616347322677348,0.020950918783448992
2025-10-05 15:48:04.562669992,0.124890089,0.002980410251568477,0.023864265574896636
2025-10-05 15:48:04.687760115,0.125090123,0.006576266764109051,0.05257223037592705
2025-10-05 15:48:04.812839985,0.12507987,0.010225899439834873,0.08175495737111713
2025-10-05 15:48:04.937829971,0.124989986,0.013860102577368583,0.11088970421493273
2025-10-05 15:48:05.062720059,0.124890088,0.010062985826094772,0.08057473565151761
2025-10-05 15:48:05.187910080,0.125190021,0.004329150092683531,0.03458063237071852
2025-10-05 15:48:05.312789917,0.124879837,0.0014656032299593669,0.011736107807054289
2025-10-05 15:48:05.437779903,0.124989986,0.0014805249906113538,0.01184514886345658
2025-10-05 15:48:05.562669992,0.124890089,0.004835524322615359,0.038718239063912904
2025-10-05 15:48:05.687649965,0.124979973,0.00701176280391036,0.056103091044117606
2025-10-05 15:48:05.812540054,0.124890089,0.006255583205460491,0.05008870804360217
2025-10-05 15:48:05.937629938,0.125089884,0.005129616725690678,0.04100744649895652
2025-10-05 15:48:06.062720059,0.125090121,0.004072859852580657,0.032559404531878715
2025-10-05 15:48:06.187700033,0.124979974,0.0019115815242962686,0.015295102592166236
2025-10-05 15:48:06.312589884,0.124889851,0.001988387698790617,0.015921131163737372
2025-10-05 15:48:06.437669992,0.125080108,0.003911994334208191,0.03127591106819472
2025-10-05 15:48:06.562659979,0.124989987,0.006816781147929163,0.05453861794488516
2025-10-05 15:48:06.687750101,0.125090122,0.006638150544503563,0.05306694436274963
2025-10-05 15:48:06.812639952,0.124889851,0.007312143917818981,0.05854874402739884
2025-10-05 15:48:06.937619925,0.124979973,0.015097289299653038,0.12079766811641925
2025-10-05 15:48:07.062710047,0.125090122,0.019290962774678233,0.1542165157907371
2025-10-05 15:48:07.187599897,0.12488985,0.01521710207965754,0.12184418573372889
2025-10-05 15:48:07.312580109,0.124980212,0.009438784217639773,0.07552222921209138
2025-10-05 15:48:07.437680006,0.125099897,0.0037918634391184147,0.03031068394179745
2025-10-05 15:48:07.562560081,0.124880075,0.0005279631295798115,0.004227761150686461
2025-10-05 15:48:07.687649965,0.125089884,0.0019035087429584152,0.015217127733193957
2025-10-05 15:48:07.812750101,0.125100136,0.009015545205343423,0.07206662993030977
2025-10-05 15:48:07.937949896,0.125199795,0.025503230121136533,0.2037002546301017
2025-10-05 15:48:08.062839985,0.124890089,0.031865412407784066,0.2551476475269712
2025-10-05 15:48:08.187629938,0.124789953,0.016429243825857642,0.13165518081297492
2025-10-05 15:48:08.312710047,0.125080109,0.0048050064155654715,0.03841543194981923
2025-10-05 15:48:08.437599897,0.12488985,0.0017859474738430858,0.014300181110339118
2025-10-05 15:48:08.562789917,0.12519002,0.003272907351308585,0.026143516482452712
2025-10-05 15:48:08.687580109,0.124790192,0.008226078635356071,0.06591927220815616
2025-10-05 15:48:08.812560081,0.124979972,0.015169931029249906,0.12137889604623936
2025-10-05 15:48:08.937449932,0.124889851,0.0169228018518367,0.1355018179326413
2025-10-05 15:48:09.062639952,0.12519002,0.010097622419077634,0.08065836573137086
2025-10-05 15:48:09.187520027,0.124880075,6.403347832539819e-05,0.0005127597683249164
2025-10-05 15:48:09.312410116,0.124890089,6.689091669376257e-05,0.0005355982786893728
2025-10-05 15:48:09.437289953,0.124879837,6.23560145266433e-05,0.000499328122334459
2025-10-05 15:48:09.562180042,0.124890089,5.909918291002736e-05,0.00047320955075968725
2025-10-05 15:48:09.687269926,0.125089884,7.47207098336089e-05,0.0005973361509681222
2025-10-05 15:48:09.812150002,0.124880076,7.514974297273547e-05,0.0006017752821733986
2025-10-05 15:48:09.937340021,0.125190019,6.636380596092284e-05,0.0005301046081071593
2025-10-05 15:48:10.062319994,0.124979973,6.429792410100887e-05,0.000514465818463642
2025-10-05 15:48:10.187309980,0.124989986,6.249779105982345e-05,0.0005000223862719966
2025-10-05 15:48:10.312190056,0.124880076,6.061442815885609e-05,0.0004853810960113132
2025-10-05 15:48:10.437289953,0.125099897,5.7306726888861625e-05,0.0004580877223972585
2025-10-05 15:48:10.562170029,0.124880076,5.337303995633924e-05,0.00042739435837898783
2025-10-05 15:48:10.687259912,0.125089883,5.202864863207424e-05,0.0004159301086889196
2025-10-05 15:48:10.812150002,0.12489009,4.987745094164886e-05,0.00039937076626054847
2025-10-05 15:48:10.937230110,0.125080108,5.383985956730619e-05,0.0004304430211021739
2025-10-05 15:48:11.062119961,0.124889851,4.77290409643949e-05,0.00038216909206173125
