Track,N_Matched,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,DeltaEntropy_Mean,DeltaEntropy_Median,DeltaEntropy_Q25,DeltaEntropy_Q75,DeltaLZC_Mean,DeltaLZC_Median,DeltaLZC_Q25,DeltaLZC_Q75,DeltaFlux_Mean,DeltaFlux_Median,DeltaFlux_Q25,DeltaFlux_Q75,Corr_DeltaEntropy_DeltaLZC,Corr_DeltaEntropy_DeltaFlux,Corr_DeltaLZC_DeltaFlux,N_Hplus_LZCminus_Fluxplus,N_Hplus_LZCminus_Fluxminus,Pct_Hplus_LZCminus,N_H-_LZC-_Flux-,N_H-_LZC-_Flux+,N_H-_LZC+_Flux-,N_H-_LZC+_Flux+,N_H+_LZC-_Flux-,N_H+_LZC-_Flux+,N_H+_LZC+_Flux-,N_H+_LZC+_Flux+,Region
RAW_RegionMedian_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.25436470476629847,-0.16415928300000004,-0.4559604640000001,-0.028203584999999975,0.021109656592099485,0.026535768999999987,-0.017690512699999994,0.05731785809999995,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.5818026374482119,0.23244645427128358,0.1581118014221148,3,20,12.707182320441989,36,3,94,8,20,3,10,4,Central
RAW_RegionMedian_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.22080819579116012,-0.16237456299999997,-0.32782247500000006,-0.037284531999999926,0.022966946473314917,0.017690512700000327,-0.008845256299999826,0.04864890979999997,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.5683355032438591,0.3420884997125082,0.08279657789717931,5,19,13.259668508287293,24,3,109,8,19,5,10,3,Frontal
RAW_RegionMedian_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.17564504733977923,-0.13435119600000167,-0.3921169999999998,0.05986471399999993,-0.01419505166093918,-0.013267884499999993,-0.05288920230000016,0.026535768999999876,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.6065334924023139,0.42696322337075837,-0.02102328627260052,12,40,28.7292817679558,51,2,65,3,40,12,3,2,Occipital
RAW_RegionMedian_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.3181267939171272,-0.2842038979999999,-0.4767636179999988,-0.09806164699999997,0.014073121045138127,0.013267884399999985,-0.013267884500000049,0.044226281600000084,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.5722274308640903,0.384556602196983,0.009558590986803782,7,16,12.707182320441989,31,6,107,5,16,7,3,1,Parietal
RAW_RegionMedian_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.2542068388314917,-0.19717578300000005,-0.38135197949999844,-0.042477047049999994,0.023528621535773505,0.024324454899999903,-0.019895045700000002,0.06191679425000002,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.6096819120185073,0.21145777366276786,0.14002760112809481,2,19,11.602209944751381,34,4,101,10,19,2,6,3,Temporal
