Track,Matched_Index,Progress_0_to_1,Baseline_Shannon_Entropy,Modulation_Shannon_Entropy,Delta_Shannon_Entropy_ModMinusBase,Baseline_Lempel_Ziv_Complexity,Modulation_Lempel_Ziv_Complexity,Delta_Lempel_Ziv_Complexity_ModMinusBase,Baseline_RegionalFlux_L2_per_s,Modulation_RegionalFlux_L2_per_s,Delta_RegionalFlux_L2_ModMinusBase,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,Channel
RAW_Channel_BaselineStandardisedFlux,49,0.27222222222222225,1.0648581430000004,1.0152414629999995,-0.04961668000000086,0.5393767933,0.36695306430000224,-0.17242372899999775,8.467295750943954,4.849586241136654,-3.6177095098073,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,50,0.2777777777777778,1.101181656,0.961738136,-0.13944352000000004,0.5395606358,0.5882095456,0.04864890980000003,9.53489186839859,5.592403704289109,-3.9424881641094816,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,51,0.2833333333333333,1.066546197,1.019725788,-0.046820409000000174,0.4997569823,0.517447495,0.017690512699999994,8.886539231148056,6.1660767538958545,-2.7204624772522017,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,52,0.2888888888888889,2.4984759449999854,1.0032747659999999,-1.4952011789999855,0.30073871500000227,0.5262927513000003,0.22555403629999804,7.626420263913108,7.2993436081722,-0.3270766557409077,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,53,0.29444444444444445,1.017951948,0.9740903005,-0.0438616475000001,0.5262927513,0.5572511484,0.030958397100000035,8.128036450127523,6.973012480167028,-1.155023969960495,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,54,0.3,1.020744201,0.9754228914,-0.045321309600000026,0.5570612783,0.5880091271,0.03094784880000001,6.1360652753499885,6.453693052911321,0.31762777756133254,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,55,0.3055555555555556,1.106878571,0.9347638433,-0.17211472770000003,0.4820664697,0.5439832639,0.06191679419999996,11.631943569612513,6.070362639788442,-5.561580929824071,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,56,0.3111111111111111,1.013782357,1.064779109,0.05099675200000009,0.4953343542,0.5484058921,0.05307153790000002,8.627766030768603,7.175515979941768,-1.4522500508268354,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,57,0.31666666666666665,1.033469558,0.9282950893,-0.10517446869999991,0.5218701231,0.5749416611,0.053071537999999974,8.945071415216677,5.495092653538983,-3.449978761677695,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,58,0.32222222222222224,1.010587112,1.041682446,0.031095333999999974,0.5307153794,0.4953343542,-0.03538102520000003,5.514816241680505,5.349609603845645,-0.16520663783486,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,59,0.3277777777777778,1.075903098,0.9188155844,-0.15708751359999995,0.5084289445,0.5482190358,0.0397900913,9.114657383893178,5.9058253087373345,-3.2088320751558435,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,60,0.33333333333333337,1.054963444000002,0.9529471360000062,-0.10201630799999573,0.5086022385999996,0.5793642891999982,0.07076205059999852,6.836316975578816,5.484052980545152,-1.3522639950336641,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,61,0.3388888888888889,1.253363986,1.574423958,0.3210599719999998,0.4732212133,0.3891912783,-0.084029935,13.61806697859809,5.573505611194732,-8.044561367403357,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,62,0.34444444444444444,1.189290779,1.663641162,0.474350383,0.4997569823,0.274202946,-0.22555403629999998,10.612664486593935,7.141175849814035,-3.4714886367799007,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,63,0.35000000000000003,1.0281682730000015,1.031418555,0.003250281999998439,0.5041796104999996,0.44226281620000035,-0.061916794299999245,7.441943376755928,7.161874266902358,-0.2800691098535699,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
RAW_Channel_BaselineStandardisedFlux,64,0.35555555555555557,1.177163487,1.028895332,-0.148268155,0.4553754894,0.4774810957,0.022105606300000025,10.265136124209345,5.849595865342913,-4.415540258866432,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,CP2
