Track,N_Matched,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,DeltaEntropy_Mean,DeltaEntropy_Median,DeltaEntropy_Q25,DeltaEntropy_Q75,DeltaLZC_Mean,DeltaLZC_Median,DeltaLZC_Q25,DeltaLZC_Q75,DeltaFlux_Mean,DeltaFlux_Median,DeltaFlux_Q25,DeltaFlux_Q75,Corr_DeltaEntropy_DeltaLZC,Corr_DeltaEntropy_DeltaFlux,Corr_DeltaLZC_DeltaFlux,N_Hplus_LZCminus_Fluxplus,N_Hplus_LZCminus_Fluxminus,Pct_Hplus_LZCminus,N_H-_LZC-_Flux-,N_H-_LZC-_Flux+,N_H-_LZC+_Flux-,N_H-_LZC+_Flux+,N_H+_LZC-_Flux-,N_H+_LZC-_Flux+,N_H+_LZC+_Flux-,N_H+_LZC+_Flux+,Channel
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.5303027893662987,-0.4294090209,-0.7653421094999966,-0.2085100901,0.030248025930773585,0.026715090800000008,-0.026535768999999987,0.07960730690000006,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.7189109612024918,0.1874571882404212,0.10693846760556057,2,16,9.94475138121547,44,4,99,9,16,2,3,2,C3
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.2121068874403317,-0.12878442200000384,-0.3090995619999972,0.008857206999999923,0.03977611365121547,0.03980365340000003,-0.004422628199999945,0.0884525632,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.7098320982676516,0.2226617382802485,0.10144513821149397,5,25,16.574585635359117,21,1,105,6,25,5,9,7,C4
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.3734121424889502,-0.369272064,-0.555078497,-0.15122346399999986,0.045323498928563494,0.053071537899999965,-4.440892098500626e-16,0.09729781950000022,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.5469374878686439,0.33621759110340355,0.01969801329313864,4,12,8.839779005524862,29,1,111,9,12,4,7,4,CP1
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.15046312896519345,-0.10201630799999573,-0.2542326543000004,0.035741019999988355,0.002002331153425389,0.004422628099999992,-0.04881165559999995,0.0661827043,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.7295885845812066,0.20693662726399584,-0.04807522618588128,11,38,27.07182320441989,38,1,80,6,38,11,6,1,CP2
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.44417773668397803,-0.3597960498,-0.5495420609999999,-0.22509220600000002,0.024578710039613302,0.017524753000000004,-0.022113140799999542,0.07076205059999996,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.6108487974047901,0.24137255841024083,0.046161674860929564,0,9,4.972375690607735,51,9,96,8,9,0,2,2,CP5
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.2810681263685084,-0.20237375400000013,-0.37194247,-0.064593962,0.004446513095801083,0.00019137699999993707,-0.03078510299999998,0.03980365349999887,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.5604432175683575,0.3407875832213621,0.10322777118724127,5,19,13.259668508287293,50,6,82,5,19,5,4,3,CP6
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.3587622159779008,-0.36659325099999984,-0.5028005010000016,-0.176870753,0.0035180055246961587,0.008674976000000001,-0.030958397100000035,0.03980365349999998,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.6382315683885458,0.20510969792477632,0.1939272487943314,2,17,10.497237569060774,53,9,91,7,17,2,1,1,Cz
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.303396777353591,-0.29618346299999154,-0.46096985200000007,-0.11130223900000003,-0.0021256437823756968,0.0044226282000000006,-0.03538102529999998,0.039803653500000036,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.7392242736273933,0.19043686390750567,0.1275237511951103,5,22,14.917127071823204,46,8,89,4,22,5,3,1,F3
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.2982181682110492,-0.15575794639999996,-0.3663841939999999,-0.010046599000000045,0.0367469045550828,0.022113140800000042,-0.017690512699999994,0.07058122189999999,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.760047081978677,0.18274951326822544,0.08557723259070432,6,22,15.469613259668508,33,1,96,6,22,6,10,5,F4
RAW_Channel_BaselineStandardisedFlux,181,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,-0.30302338538674034,-0.28527465399999996,-0.4550467059999974,-0.093882566,0.022405554478895053,0.02653576890000009,-0.02634439200000005,0.06651120969999857,-2.1543862699997556,-2.06020293314394,-3.334312054245281,-0.9316628330253263,-0.7436999878366845,0.22972545212775158,0.03140669903220783,5,23,15.469613259668508,32,4,101,9,23,5,2,0,F7
