Track,Matched_Index,Progress_0_to_1,Baseline_Shannon_Entropy,Modulation_Shannon_Entropy,Delta_Shannon_Entropy_ModMinusBase,Baseline_Lempel_Ziv_Complexity,Modulation_Lempel_Ziv_Complexity,Delta_Lempel_Ziv_Complexity_ModMinusBase,Baseline_RegionalFlux_L2_per_s,Modulation_RegionalFlux_L2_per_s,Delta_RegionalFlux_L2_ModMinusBase,Matched_Progress_Min,Matched_Progress_Max,Baseline_Observed_Progress_Min,Baseline_Observed_Progress_Max,Modulation_Observed_Progress_Min,Modulation_Observed_Progress_Max,Baseline_Flux_Source,Modulation_Flux_Source,Direct_Window_Positions_Identical,Interpolation_Required,Region
RAW_RegionMedian_BaselineStandardisedFlux,13,0.07222222222222223,1.792513668000001,1.0532156660000005,-0.7392980020000004,0.46879858519999956,0.44226281619999996,-0.026535768999999598,8.669971358571694,6.649421438013679,-2.0205499205580146,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,14,0.07777777777777778,2.151916217,1.228896563,-0.9230196540000002,0.2962151242,0.4200065194,0.12379139519999999,8.522422783668382,6.81206417535628,-1.7103586083121023,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,15,0.08333333333333334,1.2724932460000034,1.162337597,-0.1101556490000033,0.4687985851999998,0.4997569823,0.0309583971000002,8.466150430475835,5.659204682450456,-2.806945748025379,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,16,0.08888888888888889,2.59048088,1.120487581,-1.469993299,0.3891912783,0.490911726,0.1017204477,8.584580111019093,5.985329020110994,-2.5992510909080995,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,17,0.09444444444444444,3.119900287,1.150239613,-1.969660674,0.1547919857,0.5218701231,0.36707813740000006,7.845724232101585,6.5338976523863375,-1.3118265797152473,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,18,0.1,1.47582044,1.101965877,-0.37385456299999986,0.4157270472,0.4953343542,0.07960730700000002,7.917459329395642,5.93764303724686,-1.979816292148782,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,19,0.10555555555555556,1.17524479,1.116978605,-0.05826618500000014,0.4686388532,0.4819022169,0.01326336370000003,9.209915754710622,5.875603700465341,-3.334312054245281,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,20,0.11111111111111112,1.2056856910000002,1.0487095320000004,-0.15697615899999984,0.4776438415,0.5218701230999999,0.04422628159999992,6.7470512788254675,5.41752875816107,-1.3295225206643977,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,21,0.11666666666666667,1.291751651,1.183418947,-0.10833270399999995,0.4864890978,0.4820664697,-0.004422628099999992,12.014819106666135,6.046064882257117,-5.968754224409018,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,22,0.12222222222222223,1.3092803060000011,1.3355564359999996,0.02627612999999851,0.5086022385999998,0.46437595700000006,-0.044226281599999695,8.91674478317899,5.562139648795342,-3.3546051343836476,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,23,0.1277777777777778,1.7741880979999984,1.1275942180000005,-0.646593879999998,0.43341755990000036,0.4776438415000001,0.04422628159999975,6.423954541958057,7.372523095137562,0.9485685531795047,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,24,0.13333333333333333,1.47569945,1.225989027,-0.24971042300000001,0.499586702,0.4951655807,-0.004421121299999997,8.004681362980376,6.5893897660132215,-1.4152915969671547,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,25,0.1388888888888889,1.481122483,1.318528431,-0.162594052,0.4422628162,0.4555307007,0.013267884499999993,11.625539532984241,6.661293313561886,-4.964246219422355,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,26,0.14444444444444446,1.912955071999998,1.1459848769999994,-0.7669701949999985,0.4422628162,0.5086022386,0.06633942239999996,9.554982469627628,6.5009592334885475,-3.0540232361390807,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,27,0.15,1.496053667,0.9954124011,-0.5006412659,0.4466854444,0.4997569823,0.053071537899999965,8.226973470050938,4.689900651891135,-3.5370728181598032,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,28,0.15555555555555556,1.668018964,1.35915498,-0.30886398400000004,0.490911726,0.464375957,-0.026535768999999987,7.402352147807115,6.123251347999369,-1.279100799807746,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,29,0.16111111111111112,1.238573165,1.207290635,-0.03128253000000014,0.5041796105,0.517271187,0.013091576499999924,7.731065149527386,7.656940065185053,-0.07412508434233267,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,30,0.16666666666666669,1.1140654410000026,1.254472078999999,0.14040663799999642,0.4907444595,0.4953343542000001,0.004589894700000097,8.061913072084835,6.464490951864839,-1.5974221202199956,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,31,0.17222222222222222,1.656286705,1.092795018,-0.5634916870000002,0.4864890978,0.517447495,0.030958397199999987,6.661067772399489,6.271493807677006,-0.3895739647224836,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,32,0.17777777777777778,1.472069193,1.218597821,-0.25347137200000014,0.4776438415,0.4422628162,-0.03538102529999998,8.70056707956278,6.203521876015952,-2.497045203546829,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,33,0.18333333333333335,1.1330292580000005,0.7716880237000009,-0.36134123429999965,0.4953343542,0.3272744840000009,-0.16805987019999907,9.441000087208447,5.460584852218386,-3.980415234990061,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,34,0.18888888888888888,1.237795244,0.9430709368,-0.2947243072,0.4951655807,0.517271187,0.02210560629999997,8.758548617192861,4.737091565947035,-4.021457051245826,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,35,0.19444444444444445,1.166657556,1.263480251,0.09682269499999996,0.4820664697,0.4289949317,-0.053071537999999974,8.256950065011573,6.469827721326405,-1.7871223436851675,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,36,0.2,1.811476588,1.397053073,-0.4144235150000002,0.5351380076,0.4732212133,-0.06191679429999997,9.260218102398852,6.782798696815867,-2.4774194055829852,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,37,0.20555555555555557,1.3060139969999995,1.227608814,-0.07840518299999943,0.5041796105000002,0.5130248668,0.008845256299999882,7.731822051865989,5.41609698622655,-2.3157250656394393,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,38,0.2111111111111111,1.207641908,1.230170422,0.022528514,0.517447495,0.5041796105,-0.013267884499999938,7.029095994594433,5.965091014051618,-1.0640049805428156,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,39,0.21666666666666667,1.144834384,1.180654853,0.03582046900000013,0.4730599744,0.552640157,0.0795801826,8.466013340702638,6.742925067161837,-1.7230882735408013,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,40,0.22222222222222224,1.4579624769999993,1.15433436,-0.30362811699999925,0.4953343542,0.5395606358,0.04422628160000003,10.67199577411899,6.018647315002817,-4.653348459116173,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,41,0.22777777777777777,1.314647288,1.160259858,-0.15438742999999988,0.490911726,0.5307153794,0.03980365340000003,8.331689205082688,7.046571069063084,-1.2851181360196033,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,42,0.23333333333333334,1.238822643,1.124478771,-0.11434387200000007,0.490911726,0.5218701231,0.030958397100000035,7.077516334753785,5.224494327003017,-1.8530220077507682,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,43,0.2388888888888889,1.192411549,1.50199223,0.3095806809999999,0.517447495,0.4422628162,-0.07518467879999996,8.39261779444811,7.225932332000674,-1.166685462447436,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,44,0.24444444444444446,2.075763807999996,1.4322121309999991,-0.6435516769999969,0.38476865010000066,0.4819022169000001,0.09713356679999946,7.579098666501842,6.551430489944234,-1.027668176557608,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,45,0.25,1.308379148,1.234614596,-0.0737645520000001,0.517271187,0.5086022386,-0.008668948399999987,7.893393256507348,5.850809031489258,-2.04258422501809,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,46,0.2555555555555556,1.4598327849999986,1.386966101999999,-0.07286668299999954,0.45995332890000007,0.5351380075999997,0.07518467869999967,10.18524217926677,5.480932262112288,-4.7043099171544815,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,47,0.2611111111111111,1.317621469,1.29173807,-0.02588339900000003,0.464375957,0.5130248668,0.04864890980000003,9.895498172281428,6.846986019504646,-3.048512152776782,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
RAW_RegionMedian_BaselineStandardisedFlux,48,0.26666666666666666,1.661001037,1.1552202,-0.5057808369999999,0.3936139064,0.4732212133,0.07960730690000001,8.43304489855059,6.03112437291831,-2.4019205256322795,0.0,1.0,0.0,1.0,0.0,1.0,Script18_Regionalised_L2_BaselineStandardised,Script18_Regionalised_L2_BaselineStandardised,True,False,Central
