Time,v_l2_per_s,threshold_per_s
2025-10-05 15:50:38.925580025,232.96249601414812,187.82906493902772
2025-10-05 15:50:39.050369978,188.4803696772947,187.82906493902772
2025-10-05 15:51:38.670919895,209.49146775685512,187.82906493902772
2025-10-05 15:51:38.795909882,200.53249603699157,187.82906493902772
2025-10-05 15:51:39.420670033,221.3344385361302,187.82906493902772
2025-10-05 15:51:39.545660019,205.4310432278324,187.82906493902772
2025-10-05 15:53:53.910200119,261.5753836104431,187.82906493902772
2025-10-05 15:53:54.035099983,368.2354793161126,187.82906493902772
2025-10-05 15:53:54.160290003,401.1605856629731,187.82906493902772
2025-10-05 15:53:54.285180092,313.5064519380551,187.82906493902772
2025-10-05 15:53:54.660059929,344.54792411238424,187.82906493902772
2025-10-05 15:53:54.784950018,412.6280967906614,187.82906493902772
2025-10-05 15:53:54.910039902,366.7715530453618,187.82906493902772
2025-10-05 15:53:55.035130024,246.5316378117084,187.82906493902772
2025-10-05 15:55:41.151859999,208.2723497279149,187.82906493902772
2025-10-05 15:57:09.895040035,218.65646710428996,187.82906493902772
2025-10-05 15:57:10.020129919,211.51446190571804,187.82906493902772
2025-10-05 15:57:10.520100117,203.96436594829012,187.82906493902772
2025-10-05 15:57:10.645100117,213.2547883842374,187.82906493902772
2025-10-05 15:58:09.390510082,209.85281781759912,187.82906493902772
2025-10-05 15:58:09.515399933,191.56280061080804,187.82906493902772
2025-10-05 15:58:10.015269995,231.53819757064704,187.82906493902772
2025-10-05 15:58:10.140369892,229.07015931785094,187.82906493902772
2025-10-05 15:58:13.764950037,188.697778403519,187.82906493902772
2025-10-05 15:58:13.890039921,198.99122820326963,187.82906493902772
2025-10-05 15:58:14.515000105,204.31378811745307,187.82906493902772
2025-10-05 15:59:18.634989977,189.6798588058098,187.82906493902772
2025-10-05 15:59:19.885010004,189.8881649501222,187.82906493902772
2025-10-05 15:59:20.009999990,206.0092298962537,187.82906493902772
2025-10-05 15:59:20.134890079,192.57322638533964,187.82906493902772
2025-10-05 15:59:22.884530067,196.38967976675406,187.82906493902772
2025-10-05 15:59:23.009520054,213.69398927812009,187.82906493902772
2025-10-05 15:59:23.634380102,191.57613088991107,187.82906493902772
2025-10-05 15:59:34.008749962,219.04412659490026,187.82906493902772
2025-10-05 15:59:34.133739948,216.50204620766934,187.82906493902772
2025-10-05 15:59:34.758699894,200.80508608684423,187.82906493902772
2025-10-05 15:59:47.382730007,215.7804038827606,187.82906493902772
2025-10-05 15:59:47.507920027,256.45646932256415,187.82906493902772
2025-10-05 15:59:47.632920027,251.48228815699989,187.82906493902772
2025-10-05 15:59:48.132590055,233.76905610562247,187.82906493902772
2025-10-05 15:59:48.257879972,253.8854064208133,187.82906493902772
2025-10-05 15:59:48.382869959,226.07250160785068,187.82906493902772
2025-10-05 16:00:53.377700090,200.19980146521377,187.82906493902772
