Time,v_l2,threshold
2025-10-09 15:30:17.194489956,18.399276641166086,15.393921423133069
2025-10-09 15:30:17.319380045,17.96922158384052,15.393921423133069
2025-10-09 15:30:17.819449902,17.265137198848983,15.393921423133069
2025-10-09 15:30:17.944540024,19.216865757014308,15.393921423133069
2025-10-09 15:30:18.069430113,15.969205224263792,15.393921423133069
2025-10-09 15:30:33.443340063,17.45128498875584,15.393921423133069
2025-10-09 15:30:33.568229914,28.88249892001017,15.393921423133069
2025-10-09 15:30:33.693320036,36.302082109482754,15.393921423133069
2025-10-09 15:30:33.818219900,33.53954450580513,15.393921423133069
2025-10-09 15:30:33.943310022,20.054253166879924,15.393921423133069
2025-10-09 15:30:34.193289995,22.440298046649808,15.393921423133069
2025-10-09 15:30:34.318180084,34.60680394825011,15.393921423133069
2025-10-09 15:30:34.443269968,35.88190606455152,15.393921423133069
2025-10-09 15:30:34.568160057,28.162065610350837,15.393921423133069
2025-10-09 15:30:34.693249941,17.521136088092405,15.393921423133069
2025-10-09 15:35:17.045969963,18.28091208477982,15.393921423133069
2025-10-09 15:35:17.170860052,26.370134164405748,15.393921423133069
2025-10-09 15:35:17.295949936,30.27599212769172,15.393921423133069
2025-10-09 15:35:17.420840025,25.755343208080657,15.393921423133069
2025-10-09 15:35:17.795919895,21.023127045023937,15.393921423133069
2025-10-09 15:35:17.920809984,29.138762826623584,15.393921423133069
2025-10-09 15:35:18.045900106,28.67612303695918,15.393921423133069
2025-10-09 15:35:18.170799971,21.731425600036047,15.393921423133069
2025-10-09 15:35:20.920530081,15.489109500335037,15.393921423133069
2025-10-09 15:35:21.045619965,17.254710975966823,15.393921423133069
2025-10-09 15:35:21.170409918,16.479092287200167,15.393921423133069
2025-10-09 15:35:21.795480013,16.941666100541436,15.393921423133069
2025-10-09 15:35:21.920370102,16.80414129227367,15.393921423133069
2025-10-09 15:37:55.533400059,21.936320893576386,15.393921423133069
2025-10-09 15:37:55.658390045,25.822432332449846,15.393921423133069
2025-10-09 15:37:55.783279896,22.421103103285706,15.393921423133069
2025-10-09 15:37:56.158560038,18.509692126748682,15.393921423133069
2025-10-09 15:37:56.283449888,25.660889517731643,15.393921423133069
2025-10-09 15:37:56.408339977,25.29076934668388,15.393921423133069
2025-10-09 15:37:56.533339977,19.21078483618408,15.393921423133069
2025-10-09 15:39:08.527539968,15.531873194781431,15.393921423133069
2025-10-09 15:39:08.652539968,16.94099374824665,15.393921423133069
2025-10-09 15:42:00.764329910,27.926000869436677,15.393921423133069
2025-10-09 15:42:00.889329910,34.81575972548494,15.393921423133069
2025-10-09 15:42:01.014319897,38.78212869282194,15.393921423133069
2025-10-09 15:42:01.139410019,26.099813170664806,15.393921423133069
2025-10-09 15:42:01.389300108,16.818759714103358,15.393921423133069
2025-10-09 15:42:01.514290094,32.958752327187256,15.393921423133069
2025-10-09 15:42:01.639179945,38.62480181522221,15.393921423133069
2025-10-09 15:42:01.764169931,33.51308432670778,15.393921423133069
2025-10-09 15:42:01.889070034,21.60284372317587,15.393921423133069
2025-10-09 15:42:08.388870001,15.636075253531718,15.393921423133069
2025-10-09 15:42:08.513859987,15.634656739618496,15.393921423133069
2025-10-09 15:44:08.504240036,16.362175019639228,15.393921423133069
2025-10-09 15:44:29.127680063,16.01818755480254,15.393921423133069
2025-10-09 15:44:29.252670049,16.574534573411675,15.393921423133069
2025-10-09 15:47:02.115439892,18.955926792076507,15.393921423133069
2025-10-09 15:47:02.240540028,22.063836711337334,15.393921423133069
2025-10-09 15:47:02.365329981,18.92593418784029,15.393921423133069
2025-10-09 15:47:02.740410089,15.876091352504785,15.393921423133069
2025-10-09 15:47:02.865299940,20.952736996473348,15.393921423133069
2025-10-09 15:47:02.990390062,20.20053208490828,15.393921423133069
2025-10-09 15:48:48.357259989,22.565526444121286,15.393921423133069
2025-10-09 15:48:48.482249975,26.7240372645639,15.393921423133069
2025-10-09 15:48:48.607249975,23.858910002657037,15.393921423133069
2025-10-09 15:48:48.982320070,16.81572588635167,15.393921423133069
2025-10-09 15:48:49.107320070,24.7185555849615,15.393921423133069
2025-10-09 15:48:49.232310057,25.474929210048842,15.393921423133069
2025-10-09 15:48:49.357300043,20.748330701840715,15.393921423133069
2025-10-09 15:48:52.481810093,17.006789826508406,15.393921423133069
2025-10-09 15:48:52.606899977,21.88775665752313,15.393921423133069
2025-10-09 15:48:52.731889963,23.16054296898606,15.393921423133069
2025-10-09 15:48:52.856889963,15.786485319986058,15.393921423133069
2025-10-09 15:48:53.231859922,22.461415429188897,15.393921423133069
2025-10-09 15:48:53.356760025,25.459744827223503,15.393921423133069
2025-10-09 15:48:53.481750011,21.888178513105952,15.393921423133069
2025-10-09 15:49:10.355420113,15.425157881695574,15.393921423133069
2025-10-09 15:49:10.480509996,16.685883506363215,15.393921423133069
2025-10-09 15:49:20.229820013,15.851654793022586,15.393921423133069
2025-10-09 15:49:20.354710102,17.01208038169756,15.393921423133069
2025-10-09 15:49:20.479899883,15.573687429342383,15.393921423133069
2025-10-09 15:49:32.979039907,16.59787195985612,15.393921423133069
2025-10-09 15:49:33.604000092,15.867125461494691,15.393921423133069
2025-10-09 15:49:33.729089975,16.87483368987896,15.393921423133069
2025-10-09 15:49:33.854079962,15.57428071515269,15.393921423133069
2025-10-09 15:51:29.594520092,16.24428382029651,15.393921423133069
2025-10-09 15:51:29.719710112,16.557205080572416,15.393921423133069
2025-10-09 15:51:44.218529940,15.674906228994832,15.393921423133069
2025-10-09 15:51:46.843369961,17.480674657488397,15.393921423133069
2025-10-09 15:51:46.968359947,17.407668555542898,15.393921423133069
2025-10-09 15:51:47.468329906,15.990992086869499,15.393921423133069
2025-10-09 15:51:47.593219995,19.12259303660097,15.393921423133069
2025-10-09 15:51:47.718219995,16.336481499953532,15.393921423133069
2025-10-09 15:51:48.217989922,16.883244640349645,15.393921423133069
2025-10-09 15:51:48.343080044,15.8383797626374,15.393921423133069
2025-10-09 15:51:50.842930079,19.326550912622743,15.393921423133069
2025-10-09 15:51:50.967920065,21.195097536234083,15.393921423133069
2025-10-09 15:51:51.093009949,18.154062211897312,15.393921423133069
2025-10-09 15:51:55.092969894,16.03278282993938,15.393921423133069
2025-10-09 15:51:55.217859983,17.731583421168903,15.393921423133069
2025-10-09 15:51:55.342849970,15.892991617657199,15.393921423133069
2025-10-09 15:52:08.716639996,15.495852906357138,15.393921423133069
2025-10-09 15:52:26.714940071,18.80911191382725,15.393921423133069
2025-10-09 15:52:26.840229988,22.202713306449507,15.393921423133069
2025-10-09 15:52:26.965219975,21.57455537286101,15.393921423133069
2025-10-09 15:52:27.090209961,17.17343938075163,15.393921423133069
