Time,v_l2_per_s,threshold_per_s
2025-10-09 15:30:17.194489956,147.20600491914672,122.08391477482478
2025-10-09 15:30:17.319380045,143.88028487865452,122.08391477482478
2025-10-09 15:30:17.819449902,138.24291614255333,122.08391477482478
2025-10-09 15:30:17.944540024,153.6241667188901,122.08391477482478
2025-10-09 15:30:18.069430113,127.86607289761635,122.08391477482478
2025-10-09 15:35:20.920530081,124.12120898359574,122.08391477482478
2025-10-09 15:35:21.045619965,137.93850009459456,122.08391477482478
2025-10-09 15:35:21.170409918,132.05463974491732,122.08391477482478
2025-10-09 15:35:21.795480013,135.42510031436268,122.08391477482478
2025-10-09 15:35:21.920370102,134.55143980459226,122.08391477482478
2025-10-09 15:39:08.527539968,124.36457562228983,122.08391477482478
2025-10-09 15:39:08.652539968,135.5279499859732,122.08391477482478
2025-10-09 15:41:32.641249895,122.78786862860973,122.08391477482478
2025-10-09 15:42:08.388870001,125.0986229283448,122.08391477482478
2025-10-09 15:42:08.513859987,125.08727490871544,122.08391477482478
2025-10-09 15:44:08.504240036,131.01259796235095,122.08391477482478
2025-10-09 15:44:13.878910065,122.3574997681286,122.08391477482478
2025-10-09 15:44:29.127680063,128.15576725324652,122.08391477482478
2025-10-09 15:44:29.252670049,132.60689999126552,122.08391477482478
2025-10-09 15:48:48.232270002,122.30308314860113,122.08391477482478
2025-10-09 15:48:48.357259989,180.53867342286614,122.08391477482478
2025-10-09 15:48:48.482249975,213.8094268173124,122.08391477482478
2025-10-09 15:48:48.607249975,190.8712800212563,122.08391477482478
2025-10-09 15:48:48.982320070,134.53658508571777,122.08391477482478
2025-10-09 15:48:49.107320070,197.74844467969203,122.08391477482478
2025-10-09 15:48:49.232310057,203.81576013804082,122.08391477482478
2025-10-09 15:48:49.357300043,165.99994420225562,122.08391477482478
2025-10-09 15:49:10.355420113,123.50986379468088,122.08391477482478
2025-10-09 15:49:10.480509996,133.3911512761045,122.08391477482478
2025-10-09 15:49:20.229820013,126.81323834418069,122.08391477482478
2025-10-09 15:49:20.354710102,136.21641651402427,122.08391477482478
2025-10-09 15:49:20.479899883,124.40062842942734,122.08391477482478
2025-10-09 15:49:32.979039907,132.6875648277337,122.08391477482478
2025-10-09 15:49:33.604000092,126.94717266827695,122.08391477482478
2025-10-09 15:49:33.729089975,134.90166658704894,122.08391477482478
2025-10-09 15:49:33.854079962,124.6042270182226,122.08391477482478
2025-10-09 15:51:29.594520092,130.0686383552542,122.08391477482478
2025-10-09 15:51:29.719710112,132.25658946753435,122.08391477482478
2025-10-09 15:51:44.218529940,125.40929561817484,122.08391477482478
2025-10-09 15:51:46.843369961,139.85660033302025,122.08391477482478
2025-10-09 15:51:46.968359947,139.27250584333132,122.08391477482478
2025-10-09 15:51:47.468329906,127.93818607891916,122.08391477482478
2025-10-09 15:51:47.593219995,153.11537680624897,122.08391477482478
2025-10-09 15:51:47.718219995,130.69185199962826,122.08391477482478
2025-10-09 15:51:48.217989922,135.06595712279713,122.08391477482478
2025-10-09 15:51:48.343080044,126.61575118327409,122.08391477482478
2025-10-09 15:51:50.842930079,154.73606865338408,122.08391477482478
2025-10-09 15:51:50.967920065,169.5743652314201,122.08391477482478
2025-10-09 15:51:51.093009949,145.128140113211,122.08391477482478
2025-10-09 15:51:55.092969894,128.15984037092676,122.08391477482478
2025-10-09 15:51:55.217859983,141.97750648707523,122.08391477482478
2025-10-09 15:51:55.342849970,127.15411849476548,122.08391477482478
2025-10-09 15:52:08.716639996,123.86783006295609,122.08391477482478
2025-10-09 15:52:26.714940071,150.5932458184382,122.08391477482478
2025-10-09 15:52:26.840229988,177.21069530638692,122.08391477482478
2025-10-09 15:52:26.965219975,172.6102697559366,122.08391477482478
2025-10-09 15:52:27.090209961,137.39852231643286,122.08391477482478
2025-10-09 15:52:27.714979887,145.34413402072366,122.08391477482478
2025-10-09 15:52:27.840070009,151.11741246260422,122.08391477482478
2025-10-09 15:52:27.964960098,136.94020724489087,122.08391477482478
2025-10-09 15:52:34.714550018,126.45160567740524,122.08391477482478
2025-10-09 15:52:34.839639902,123.9157192513631,122.08391477482478
2025-10-09 15:52:35.589400053,134.1356460956617,122.08391477482478
2025-10-09 15:52:35.714489937,132.374801454806,122.08391477482478
2025-10-09 15:52:36.964410067,152.02929956931993,122.08391477482478
2025-10-09 15:52:37.089400053,171.73560734646497,122.08391477482478
2025-10-09 15:52:37.214400053,160.90188063801168,122.08391477482478
2025-10-09 15:52:37.714370012,126.27809974449173,122.08391477482478
2025-10-09 15:52:37.839359999,160.53159589240977,122.08391477482478
2025-10-09 15:52:37.964349985,158.45328976298586,122.08391477482478
2025-10-09 15:52:38.089339972,128.27233884930286,122.08391477482478
2025-10-09 15:52:41.588929892,135.8965339140648,122.08391477482478
2025-10-09 15:52:41.713920116,124.19353977727793,122.08391477482478
2025-10-09 15:52:42.213890076,156.0764815649981,122.08391477482478
2025-10-09 15:52:42.338880062,149.58003576568106,122.08391477482478
2025-10-09 15:52:49.463249922,124.41167870886672,122.08391477482478
2025-10-09 15:52:49.588340044,136.96123887360824,122.08391477482478
2025-10-09 15:52:49.713330030,122.90911204829892,122.08391477482478
2025-10-09 15:53:05.712059975,127.11819556954512,122.08391477482478
2025-10-09 15:53:05.837150097,129.71039881096996,122.08391477482478
2025-10-09 15:53:10.836539984,126.75432875433476,122.08391477482478
2025-10-09 15:53:11.461610079,123.66779858497235,122.08391477482478
2025-10-09 15:53:11.586499929,122.93584831270546,122.08391477482478
2025-10-09 15:53:14.086450100,127.50495907350532,122.08391477482478
2025-10-09 15:53:14.211539984,134.5376089993458,122.08391477482478
2025-10-09 15:53:14.336529970,125.327746469781,122.08391477482478
2025-10-09 15:53:21.585989952,140.23547004941207,122.08391477482478
2025-10-09 15:53:21.710979939,134.9443608988741,122.08391477482478
2025-10-09 15:53:22.210949898,132.2469098313835,122.08391477482478
2025-10-09 15:53:22.335839987,138.88729489082422,122.08391477482478
2025-10-09 15:53:30.210059881,124.0380217015023,122.08391477482478
2025-10-09 15:53:31.834959984,141.41982160401201,122.08391477482478
2025-10-09 15:53:31.959959984,145.6912792707418,122.08391477482478
2025-10-09 15:53:32.084949970,123.09300119661046,122.08391477482478
2025-10-09 15:53:33.584860086,130.76137121956418,122.08391477482478
2025-10-09 15:53:33.709850073,125.15057405242985,122.08391477482478
2025-10-09 15:53:34.209919930,142.82926672721604,122.08391477482478
2025-10-09 15:53:34.334909916,174.43253017070683,122.08391477482478
2025-10-09 15:53:34.459899902,168.15058177670022,122.08391477482478
2025-10-09 15:53:34.584800005,130.64566243765307,122.08391477482478
2025-10-09 15:53:35.209759951,138.57790997914114,122.08391477482478
2025-10-09 15:53:35.334850073,134.89938100779688,122.08391477482478
2025-10-09 15:53:35.959810019,131.9072893267733,122.08391477482478
2025-10-09 15:53:39.709480047,122.39082000525637,122.08391477482478
2025-10-09 15:53:49.458689928,130.26528092041178,122.08391477482478
2025-10-09 15:53:52.333410025,122.71668891043682,122.08391477482478
2025-10-09 15:53:52.458400011,129.07807512921445,122.08391477482478
2025-10-09 15:53:53.083270073,151.63302829991332,122.08391477482478
2025-10-09 15:53:53.208260059,158.6108937809882,122.08391477482478
2025-10-09 15:53:53.333250046,137.65313268203116,122.08391477482478
2025-10-09 15:53:53.708230019,142.36740837866074,122.08391477482478
2025-10-09 15:53:53.833220005,155.75297594182481,122.08391477482478
2025-10-09 15:53:53.958309889,141.32193523837287,122.08391477482478
2025-10-09 15:53:55.958290100,122.24418012757992,122.08391477482478
2025-10-09 15:53:56.083280087,130.22004570385533,122.08391477482478
2025-10-09 15:53:56.208280087,124.20774690318463,122.08391477482478
2025-10-09 15:54:05.082429886,129.3605418565146,122.08391477482478
2025-10-09 15:54:07.332299948,146.26650810208582,122.08391477482478
2025-10-09 15:54:07.457190037,146.65972650370526,122.08391477482478
2025-10-09 15:54:07.582279921,126.07715900292017,122.08391477482478
2025-10-09 15:54:19.456459999,188.2916132316982,122.08391477482478
2025-10-09 15:54:19.581549883,222.91936805464715,122.08391477482478
2025-10-09 15:54:19.706439972,203.51760652994304,122.08391477482478
2025-10-09 15:54:19.831530094,127.08683921583815,122.08391477482478
2025-10-09 15:54:20.081520081,146.15849215916663,122.08391477482478
2025-10-09 15:54:20.206409931,212.11218496353683,122.08391477482478
2025-10-09 15:54:20.331500053,215.34870014755109,122.08391477482478
2025-10-09 15:54:20.456399918,167.58492528986775,122.08391477482478
2025-10-09 15:54:23.206130028,138.32320320803302,122.08391477482478
2025-10-09 15:54:23.331120014,123.83032436921673,122.08391477482478
2025-10-09 15:54:33.830280066,124.15189341279311,122.08391477482478
2025-10-09 15:54:33.955270052,151.7447170166211,122.08391477482478
2025-10-09 15:54:34.080260038,157.2818666912589,122.08391477482478
2025-10-09 15:54:34.205159903,140.69868947348337,122.08391477482478
2025-10-09 15:54:51.578900099,125.95252905230276,122.08391477482478
2025-10-09 15:54:51.703789949,131.6230360533951,122.08391477482478
2025-10-09 15:54:52.328649998,152.3291780232751,122.08391477482478
2025-10-09 15:54:52.453739882,165.45103036663764,122.08391477482478
