Progress_0_to_1,Baseline_Entropy_raw,Modulation_Entropy_raw,Delta_Entropy_ModMinusBase,Baseline_RegionalFlux_L2_per_s,Modulation_RegionalFlux_L2_per_s,Delta_RegionalFlux_L2_ModMinusBase
0.0,4.948552418271135,4.453349875989707,-0.49520254228142857,8.284180721482999,14.79297580696212,6.508795085479122
6.879471656576775e-05,4.917506244991521,4.492272106727161,-0.42523413826435963,9.412898285090801,18.55368604866813,9.140787763577329
0.0001375894331315355,4.87652651800475,4.553882221137178,-0.3226442968675727,9.192683185497202,21.586605598708264,12.393922413211062
0.00020638414969730324,4.840604024662764,4.624946250948482,-0.21565777371428219,8.70102874134296,21.154184161253845,12.453155419910885
0.000275178866263071,4.813343661739375,4.690057706939356,-0.1232859548000187,7.849689242023145,17.87126283470487,10.021573592681722
0.0003439735828288387,4.795950291144556,4.727988083257277,-0.06796220788727858,7.787929311295687,13.870124460263257,6.08219514896757
0.0004127682993946065,4.7825198247945195,4.73305067695005,-0.04946914784446932,6.46739069717995,11.818227746772045,5.350837049592095
0.00048156301596037425,4.773206754648522,4.7161362965270754,-0.057070458121446954,6.900649189230263,14.337663699806898,7.437014510576635
0.000550357732526142,4.771830678681469,4.692783504162751,-0.07904717451871779,6.860324630625597,16.107747082940637,9.247422452315039
0.0006191524490919097,4.789420405155165,4.673584118078549,-0.11583628707661653,6.296622741932277,16.422866229195396,10.12624348726312
0.0006879471656576774,4.814981639301174,4.661722162643517,-0.1532594766576576,5.098470700789152,17.161099414466086,12.062628713676935
0.0007567418822234452,4.830562353270142,4.653416507043651,-0.177145846226491,3.168584330371054,19.891635311876556,16.7230509815055
0.000825536598789213,4.821174848674948,4.640993102644594,-0.18018174603035408,2.0450675937072056,20.23966436371311,18.194596770005905
0.0008943313153549807,4.8272820877872125,4.614927725537987,-0.21235436224922566,2.045046714293283,17.881417388764508,15.836370674471224
0.0009631260319207485,4.830658770693317,4.572593487149646,-0.25806528354367053,2.046203628995303,14.514979549713965,12.468775920718663
0.0010319207484865162,4.831956128542458,4.52293614824276,-0.30901998029969846,2.0433185529879894,13.379470830478853,11.336152277490864
0.001100715465052284,4.831683962108709,4.478697119256373,-0.35298684285233595,2.1950557329640503,15.041716039804344,12.846660306840294
0.0011695101816180517,4.830205732305232,4.445969573000379,-0.38423615930485244,2.2246467568723953,13.614406006802948,11.389759249930552
0.0012383048981838194,4.827789600173627,4.4241969475037335,-0.40359265266989386,2.2365577839659285,9.926508559789669,7.689950775823741
0.001307099614749587,4.824661409946607,4.414374946675917,-0.4102864632706904,2.17297496523087,8.814321844699736,6.641346879468866
0.0013758943313153548,4.820954957137924,4.418770184270592,-0.402184772867332,2.0670132606595564,10.640922944654852,8.573909683995296
0.0014446890478811228,4.816838411985217,4.43918163883289,-0.37765677315232704,1.9820152729477063,14.219613672318516,12.23759839937081
0.0015134837644468905,4.812374656579888,4.48013152483062,-0.33224313174926845,1.9724661724285695,16.869509252630692,14.897043080202122
0.0015822784810126582,4.807675171121049,4.5349556397725115,-0.2727195313485371,2.028191421457252,17.447031157592455,15.418839736135205
0.001651073197578426,4.802780052140453,4.5894825561122925,-0.21329749602816062,2.039737387654349,16.448426237195907,14.408688849541559
0.0017198679141441936,4.7977588411849466,4.6293950049305534,-0.1683638362543931,2.03975597354556,14.155144981995358,12.115389008449798
0.0017886626307099614,4.792635203984746,4.651813670581265,-0.14082153340348125,2.0397559704621884,11.113955483642528,9.07419951318034
0.001857457347275729,4.787470418956,4.663176128346293,-0.12429429060970687,2.0353836087591684,9.19972916085295,7.164345552093781
0.001926252063841497,4.782259236408045,4.6667725663175785,-0.11548667009046643,2.058622964458425,8.569500838917152,6.5108778744587275
0.0019950467804072647,4.777058442352106,4.655739256437566,-0.12131918591454038,2.0442149637039306,8.228995828441445,6.1847808647375135
0.0020638414969730325,4.771851767806854,4.62852180195253,-0.14332996585432412,2.0266335976574115,6.613266918347659,4.586633320690247
0.0021326362135388,4.766687140691811,4.601309824868141,-0.16537731582366977,2.0266082114760544,3.467987212420281,1.4413790009442264
0.002201430930104568,4.761544664490767,4.592816674016628,-0.16872799047413878,1.9840562647528361,5.006021787004353,3.0219655222515165
0.0022702256466703356,4.756465116444423,4.608985351670763,-0.1474797647736601,2.035119861175496,6.332765121745009,4.297645260569513
0.0023390203632361033,4.751425245056336,4.640579003288619,-0.1108462417677174,2.056580173188842,6.833605236133181,4.77702506294434
0.002407815079801871,4.746462092819091,4.67552637140332,-0.07093572141577109,2.0565011337599235,6.431342171420962,4.374841037661039
0.0024766097963676388,4.741548653069171,4.703987289541712,-0.03756136352745898,2.0489441717708012,1.3470413674391029,-0.7019028043316984
0.0025454045129334065,4.736721123552412,4.7196859523343235,-0.017035171218088507,2.0405710501076584,1.6016716131398643,-0.4388994369677941
0.002614199229499174,4.7319615750693504,4.734466826136512,0.002505251067161929,2.0347338454109924,1.6333361555484294,-0.4013976898625631
0.002682993946064942,4.727268401466652,4.748348602499993,0.02108020103334063,2.034712923211357,1.446737996456842,-0.5879749267545149
0.0027517886626307097,4.7226406552357,4.761383678096393,0.03874302286069309,2.0345508088443984,1.4310551947664214,-0.603495614077977
0.002820583379196478,4.718118401018611,4.773589984942223,0.0554715839236124,2.0319130792012063,1.4627934920887966,-0.5691195871124097
0.0028893780957622455,4.7136511067501825,4.7849702406495025,0.07131913389931999,2.0322212060156337,1.4627721672764118,-0.5694490387392219
0.0029581728123280132,4.70927565532808,4.79551408083794,0.08623842550986005,2.0322217856250644,1.4614944852478549,-0.5707273003772095
0.003026967528893781,4.704962403753744,4.8052037159227305,0.10024131216898624,2.0322217962003255,1.469048130935763,-0.5631736652645625
