Session,Metric,Band,Flux_mean_per_s,Flux_median_per_s,Flux_p25_per_s,Flux_p75_per_s,Flux_IQR_per_s,n_steps,dt_s
BASELINE_EC,COS,Theta,0.04598925159504546,0.027816913570325903,0.014796073327088748,0.051724216223020154,0.03692814289593141,14537,0.124989987
BASELINE_EC,COS,Alpha,0.036750046838792676,0.025495837705962643,0.013452517026132451,0.04750703231064809,0.03405451528451564,14537,0.124989987
BASELINE_EC,COS,BetaL,0.035133889815701126,0.02617025577664133,0.014533737349694324,0.04532584042228836,0.03079210307259404,14537,0.124989987
BASELINE_EC,COS,BetaH,0.021516951206993915,0.016593778145112852,0.009835670121516087,0.02731305245989564,0.017477382338379553,14537,0.124989987
BASELINE_EC,COS,Gamma,0.017190921974481875,0.013723776641241248,0.00918319338981176,0.02050873924802042,0.011325545858208661,14537,0.124989987
